player,Overall,Nationality,Team,Archetype,Position1,Position2,Height,Weight,Jersey,Year(s) in the NBA,Prior to NBA,Rank current,Rank all,Outside Scoring,Athleticism,Inside Scoring,Playmaking,Defending,Rebounding,Intangibles,Potential,Total Attributes,Close Shot,Mid-Range Shot,Three-Point Shot,Free Throw,Shot IQ,Offensive Consistency,Speed,Acceleration,Strength,Vertical,Stamina,Hustle,Overall Durability,Layup,Standing Dunk,Driving Dunk,Post Hook,Post Fade,Post Control,Draw Foul,Hands,Pass Accuracy,Ball Handle,Speed with Ball,Pass IQ,Pass Vision,Interior Defense,Perimeter Defense,Steal,Block,Lateral Quickness,Help Defense IQ,Pass Perception,Defensive Consistency,Offensive Rebound,Defensive Rebound,Team_Category
Enes Kanter,76,Turkey,Boston Celtics,Glass-Cleaning Finisher,C,-,208,113,11,9,Turkey,217,1,73,71,75,45,41,91,25,76,2374,88,72,55,71,80,70,62,25,88,60,86,95,82,79,85,60,79,80,80,55,85,40,50,33,64,36,52,26,38,78,28,39,45,25,93,89,Current
Robert Williams III,74,United States,Boston Celtics,Glass Cleaner,C,-,203,108,44,2,Texas A&M,261,1,61,75,66,43,72,81,25,80,2482,82,44,25,64,98,50,75,62,83,75,80,70,81,72,90,75,60,50,65,44,75,37,48,38,55,38,76,40,84,94,64,83,78,60,77,85,Current
Brad Wanamaker,73,United States,Boston Celtics,3PT Specialist,PG,SG,191,95,9,2,Pittsburgh,338,1,81,75,58,76,50,40,55,73,2460,63,72,80,93,97,80,79,79,33,75,92,85,80,85,40,54,31,46,40,74,95,79,79,79,79,66,33,57,63,47,67,42,58,30,33,47,Current
Vincent Poirier,73,France,Boston Celtics,Glass Cleaner,C,-,213,115,77,1,France,340,1,65,71,62,46,54,81,40,73,2321,89,71,55,70,65,40,50,48,85,68,80,80,86,62,70,60,60,64,61,54,66,54,40,44,55,36,70,52,30,75,44,69,44,50,82,79,Current
Javonte Green,72,United States,Boston Celtics,Mid-Range Slasher,SF,SG,193,99,43,1,Radford,392,1,72,73,54,61,65,57,45,72,2432,74,72,65,82,65,75,72,74,46,85,80,75,82,82,25,85,30,32,28,69,80,60,72,69,68,34,50,68,83,56,69,65,80,50,48,65,Current
Grant Williams,71,United States,Boston Celtics,Interior Finisher,PF,C,198,108,12,1,Tennessee,399,1,66,73,60,59,63,56,75,77,2444,87,70,64,73,60,40,58,60,73,66,88,85,80,60,50,60,59,58,66,44,81,69,66,54,72,35,68,58,42,71,70,69,60,65,57,54,Current
Semi Ojeleye,71,United States,Boston Celtics,3PT Specialist,SF,PF,198,108,37,3,SMU,422,1,60,82,67,53,52,47,75,73,2395,50,54,80,62,75,40,82,84,68,85,85,85,87,72,75,75,57,55,64,55,80,54,71,55,58,29,65,59,37,37,69,57,58,35,39,54,Current
Romeo Langford,70,United States,Boston Celtics,Mid-Range Slasher,SG,SF,193,97,45,1,Indiana,438,1,60,77,55,65,55,46,70,78,2335,71,72,65,72,45,35,84,84,42,81,92,75,80,73,35,65,35,58,37,54,80,70,79,80,69,27,42,65,41,58,76,69,50,35,50,41,Current
Tacko Fall,70,Senegal,Boston Celtics,Finisher,C,-,226,130,99,1,Central Florida,441,1,46,52,56,38,53,79,75,76,2011,68,48,30,40,55,35,25,25,79,27,70,55,80,69,85,65,50,47,50,39,45,44,40,25,54,29,70,25,56,80,25,74,48,45,76,82,Current
Carsen Edwards,70,United States,Boston Celtics,Mid-Range Shot Creator,PG,-,180,90,4,1,Purdue,442,1,72,71,51,72,48,46,70,76,2314,65,82,73,84,65,60,81,81,39,74,85,56,80,70,25,65,25,60,30,52,80,75,86,85,74,38,31,59,43,47,70,54,48,35,35,56,Current
Tremont Waters,69,United States,Boston Celtics,Offense Initiator,PG,-,178,77,51,1,LSU,467,1,62,77,43,78,62,39,40,75,2326,60,69,75,81,50,35,91,91,34,75,80,87,80,73,25,30,28,40,25,42,78,76,82,90,77,67,30,77,80,32,80,60,78,55,34,44,Current
Kevin Durant,95,United States,Brooklyn Nets,2-Way Scoring Machine,SF,PF,208,108,7,3,Texas,5,124,94,80,80,80,73,51,80,98,3026,98,98,86,89,97,98,80,80,63,77,94,75,88,94,60,85,70,88,82,70,91,75,92,80,78,73,68,85,37,66,85,85,75,85,32,69,Current
Kyrie Irving,90,United States  /  Australia,Brooklyn Nets,Offensive Threat,PG,-,188,87,11,9,Duke,14,318,91,80,63,89,64,49,40,91,2794,91,94,83,92,90,98,85,91,37,81,97,87,80,96,25,30,35,70,64,89,96,88,99,85,89,83,32,73,56,52,76,75,86,60,42,56,Current
Caris LeVert,83,United States,Brooklyn Nets,Inside-Out Scorer,SG,SF,198,92,22,4,Michigan,59,750,82,76,69,75,61,47,95,84,2702,70,75,82,72,95,95,72,77,54,80,90,80,78,87,60,75,52,54,49,76,95,75,79,72,80,71,45,74,53,37,77,70,68,60,43,51,Current
Spencer Dinwiddie,83,United States,Brooklyn Nets,Slashing Playmaker,PG,SG,196,95,26,6,Colorado,61,759,82,73,62,86,59,41,85,83,2648,74,66,76,78,98,98,82,82,45,75,95,56,77,92,35,45,40,48,42,94,98,88,88,82,90,81,42,74,37,47,77,68,59,70,33,48,Current
Jarrett Allen,81,United States,Brooklyn Nets,Glass-Cleaning Lockdown,C,-,211,107,31,3,Texas,79,832,69,80,75,35,66,84,55,82,2576,76,54,39,62,98,85,75,72,84,79,86,80,82,74,85,75,66,60,74,78,85,25,35,35,48,34,82,41,38,81,53,83,67,80,82,86,Current
DeAndre Jordan,80,United States,Brooklyn Nets,Paint Beast,C,-,211,119,6,2,Texas A&M,91,866,50,81,69,41,66,89,40,82,2450,74,25,25,68,65,40,65,53,88,83,92,95,94,57,97,85,54,40,61,69,90,25,30,33,66,49,80,57,33,74,62,82,60,80,80,97,Current
Joe Harris,77,United States,Brooklyn Nets,Sharpshooter,SF,SG,198,98,12,6,Virginia,161,1,81,69,49,55,53,47,70,78,2299,67,89,85,75,85,85,59,65,36,67,90,85,83,66,25,45,30,48,32,55,88,60,66,59,50,40,34,66,36,42,69,58,63,55,41,52,Current
Jamal Crawford,75,United States,Brooklyn Nets,Mid-Range Shot Creator,SG,SF,196,83,11,0,Michigan,230,1,77,68,54,76,50,35,40,78,2335,69,90,76,85,80,60,77,77,40,75,82,51,77,78,25,50,25,57,50,69,78,75,90,77,64,73,43,57,41,45,66,50,60,35,28,42,Current
Timothe Luwawu-Cabarrot,74,France,Brooklyn Nets,3PT Specialist,SF,SG,201,95,9,4,France,276,1,68,75,58,65,60,47,60,76,2437,40,65,80,84,74,65,79,79,42,84,85,78,81,83,40,75,35,51,38,60,82,75,74,73,74,30,55,75,38,42,76,77,74,45,43,50,Current
Garrett Temple,74,United States,Brooklyn Nets,3-Level Scorer,SG,SF,196,88,17,0,LSU,283,1,73,68,51,66,64,43,80,75,2414,71,72,75,77,84,60,57,62,44,69,85,79,82,76,25,30,37,55,46,57,85,75,75,57,74,50,46,78,41,53,76,77,74,70,34,51,Current
Nicolas Claxton,73,U.S. Virgin Islands,Brooklyn Nets,Interior Big,C,PF,211,98,33,1,Georgia,301,1,71,76,69,46,54,66,85,79,2465,80,64,67,64,92,60,63,62,71,79,90,85,80,75,75,75,62,54,62,66,80,40,49,44,48,48,70,49,28,74,54,70,44,45,73,59,Current
Taurean Prince,73,United States,Brooklyn Nets,3-Level Scorer,PF,SF,201,99,2,4,Baylor,317,1,72,79,63,60,65,54,60,76,2545,68,74,77,80,70,60,80,78,60,84,84,85,81,76,75,75,52,45,51,45,85,68,70,69,55,38,64,74,43,51,76,68,81,60,38,69,Current
Tyler Johnson,72,United States,Brooklyn Nets,Slasher,SG,PG,191,86,16,5,-,374,1,76,71,56,72,54,42,35,75,2382,89,73,71,75,85,60,73,70,30,82,80,84,81,86,30,75,35,42,30,70,78,85,78,72,75,52,35,72,38,53,70,62,58,40,35,48,Current
Chris Chiozza,72,United States,Brooklyn Nets,3PT Specialist,PG,-,180,79,9,1,Florida,384,1,65,71,42,74,59,47,98,73,2340,55,73,81,76,57,50,73,76,42,68,80,79,81,70,25,30,35,30,30,40,78,79,78,70,72,73,31,68,78,42,71,65,75,45,37,56,Current
Dzanan Musa,71,Bosnia & Herzegovina,Brooklyn Nets,Mid-Range Slasher,SF,SG,206,94,13,2,Bosnia and Herzegovina,396,1,65,73,60,62,53,54,45,79,2339,66,74,58,75,65,50,72,71,52,75,85,70,84,75,40,65,52,54,60,57,75,66,74,67,60,42,58,63,43,30,71,64,60,35,50,57,Current
Rodions Kurucs,71,Latvia,Brooklyn Nets,Stretch Four,PF,SF,206,95,0,2,Latvia,404,1,70,71,51,56,51,54,70,76,2263,60,70,82,78,70,60,70,69,50,74,80,65,87,70,40,65,35,38,30,45,85,54,68,66,55,38,49,62,46,37,72,59,40,40,43,65,Current
Justin Anderson,71,United States,Brooklyn Nets,Perimeter Defender,SF,SG,198,104,1,5,Virginia,433,1,65,84,52,58,67,56,40,71,2437,63,60,66,74,78,50,73,75,75,97,88,90,87,58,50,70,38,42,39,36,81,65,68,66,58,33,48,74,66,63,76,72,70,65,51,61,Current
Donta Hall,70,United States,Brooklyn Nets,Prospect,PF,C,206,103,42,0,Alabama,463,1,60,73,56,53,62,66,50,70,2333,62,60,66,75,65,30,66,65,65,75,90,70,81,70,45,70,58,34,49,50,75,58,62,54,57,34,70,66,32,67,66,70,65,60,66,65,Current
Lance Thomas,69,United States,Brooklyn Nets,Mid-Range Finisher,PF,SF,203,108,42,9,-,489,1,69,69,59,53,59,48,40,70,2310,69,78,69,75,70,50,56,57,55,72,80,80,83,68,55,65,55,57,54,59,59,60,61,47,68,30,68,70,37,45,70,68,59,55,38,58,Current
Jeremiah Martin,67,United States,Brooklyn Nets,Inside-Out Playmaker,PG,SG,188,83,0,0,Memphis,539,1,62,74,52,74,48,36,55,70,2263,74,68,70,72,50,40,75,75,55,75,87,70,82,74,25,70,32,36,58,45,75,75,78,75,74,70,31,65,37,35,69,50,65,35,34,37,Current
Devonte’ Graham,79,United States,Charlotte Hornets,3PT Playmaker,PG,SG,185,83,4,2,Kansas,105,909,79,78,56,84,56,41,60,81,2559,60,73,81,82,84,95,82,82,34,79,95,92,83,85,25,60,30,32,36,84,95,88,86,82,86,80,30,70,42,40,76,65,68,55,35,46,Current
Terry Rozier,79,United States,Charlotte Hornets,3PT Playmaker,PG,SG,185,86,3,5,Louisville,108,913,84,80,61,83,57,45,95,80,2686,79,67,84,87,90,95,82,82,62,81,90,80,82,75,40,70,45,53,48,68,90,86,86,82,89,70,55,75,42,35,77,59,65,50,36,54,Current
Cody Zeller,78,United States,Charlotte Hornets,Glass Cleaner,C,PF,213,108,40,7,Indiana,139,976,76,76,74,49,55,81,55,78,2561,82,70,61,68,94,80,70,40,75,80,89,95,84,68,75,75,72,68,79,75,79,68,40,31,64,43,60,37,43,56,54,76,60,55,83,79,Current
PJ Washington,77,United States,Charlotte Hornets,Stretch Four,PF,C,201,104,25,1,Kentucky,145,991,76,76,71,58,57,55,80,84,2565,68,75,81,65,84,80,75,75,68,69,85,80,79,74,65,80,62,65,79,60,80,55,70,63,60,43,62,52,43,62,67,64,62,40,42,67,Current
Miles Bridges,77,United States,Charlotte Hornets,Mid-Range Finisher,SF,PF,198,101,0,2,Michigan State,150,1,79,79,72,64,57,56,40,82,2611,69,81,76,81,78,90,75,72,73,82,88,75,85,79,60,91,59,60,80,70,79,66,76,71,69,38,60,59,37,62,70,62,59,45,47,65,Current
Bismack Biyombo,76,DR Congo,Charlotte Hornets,Paint Defender,C,-,203,115,8,9,Republic of the Congo,208,1,63,71,59,39,63,80,80,76,2358,64,72,25,60,94,65,48,48,80,63,79,95,83,60,85,68,48,45,54,75,35,25,35,25,74,34,82,50,31,82,55,85,54,65,81,78,Current
Malik Monk,75,United States,Charlotte Hornets,3-Level Scorer,SG,PG,191,90,1,3,Kentucky,228,1,78,77,59,72,57,46,75,78,2535,85,77,73,82,70,80,80,81,48,88,88,72,80,75,40,80,25,62,45,55,88,75,75,76,68,64,45,68,38,52,73,69,68,45,36,56,Current
Willy Hernangomez,75,Spain,Charlotte Hornets,Glass Cleaner,C,-,211,108,9,5,Spain,253,1,73,66,64,38,54,85,50,75,2328,86,74,60,63,92,65,44,46,74,49,80,90,80,54,75,65,70,64,72,62,48,30,35,31,40,52,70,41,41,56,48,66,61,50,80,89,Current
Nicolas Batum,73,France,Charlotte Hornets,Well-Rounded Wing,SF,SG,206,90,5,2,France,306,1,68,72,59,72,61,59,40,77,2466,79,74,70,87,60,35,68,64,42,82,88,80,83,74,55,60,40,63,62,35,80,75,71,68,78,67,66,73,49,55,70,68,50,60,51,67,Current
Cody Martin,72,United States,Charlotte Hornets,Slasher,SF,SG,196,92,11,1,Nevada,356,1,69,68,51,64,57,55,98,76,2359,74,69,63,65,79,65,58,58,58,74,85,65,80,73,25,65,45,44,38,40,75,64,70,57,69,61,48,62,66,47,66,67,65,35,47,63,Current
Jalen McDaniels,70,United States,Charlotte Hornets,Stretch Four,PF,-,208,86,6,1,San Diego State,448,1,63,69,63,53,52,63,60,75,2303,74,70,78,74,50,30,57,56,60,73,80,80,80,67,60,65,62,68,59,55,68,55,62,54,59,33,59,55,42,57,60,55,50,35,52,74,Current
Dwayne Bacon,70,United States,Charlotte Hornets,Inside-Out Scorer,SF,SG,198,99,7,3,Florida State,457,1,68,76,62,59,50,49,50,73,2350,69,59,70,66,72,70,72,72,56,79,88,88,80,76,50,65,50,52,68,50,85,62,70,67,52,44,38,60,49,32,66,58,60,35,36,61,Current
Caleb Martin,69,United States,Charlotte Hornets,3PT Specialist,SG,SF,196,92,10,1,Nevada,470,1,69,67,51,54,57,46,85,74,2270,72,67,84,73,50,70,55,55,58,74,85,65,80,73,25,50,45,44,38,59,75,54,63,54,57,42,52,60,56,60,65,60,65,35,41,50,Current
Ray Spalding,69,United States,Charlotte Hornets,Rim Protector,PF,C,208,97,26,2,Louisville,486,1,55,67,63,47,61,71,25,71,2262,74,70,50,64,40,30,57,55,60,58,80,75,82,66,85,75,50,54,60,36,78,50,50,50,56,30,69,52,60,82,56,70,65,35,72,70,Current
Kobi Simmons,66,United States,Charlotte Hornets,Floor-Spacing Slasher,PG,SG,196,77,23,3,Arizona,547,1,62,75,53,67,46,39,60,70,2238,75,50,71,78,48,50,82,84,53,77,85,64,82,74,25,70,37,42,44,56,77,60,76,84,52,63,35,48,42,42,69,50,55,30,37,41,Current
Zach LaVine,85,United States,Chicago Bulls,Floor-Spacing Slasher,SG,SF,198,90,8,6,UCLA,40,638,82,82,71,79,57,48,95,86,2757,60,71,82,80,98,98,84,84,44,97,98,85,83,88,60,95,44,58,38,87,95,77,87,81,82,70,49,65,59,52,71,64,45,50,35,60,Current
Lauri Markkanen,80,Finland,Chicago Bulls,Inside-Out Scorer,PF,C,213,108,24,3,Arizona,84,854,78,67,75,53,54,61,85,84,2520,69,66,78,82,85,85,63,60,61,62,85,58,80,68,70,70,73,80,74,78,85,55,65,42,70,34,66,49,42,55,55,66,54,45,46,75,Current
Wendell Carter Jr.,79,United States,Chicago Bulls,Glass Cleaner,C,-,206,115,34,2,Duke,99,898,73,75,79,51,63,82,60,84,2655,66,80,52,74,85,80,68,55,78,68,85,90,81,74,80,75,79,79,79,78,85,56,50,47,70,31,78,47,41,67,50,80,70,70,78,85,Current
Otto Porter Jr.,78,United States,Chicago Bulls,3PT Specialist,SF,PF,203,89,22,7,Georgetown,137,974,79,74,65,67,64,51,70,78,2602,96,73,83,75,75,70,68,67,60,73,93,80,79,75,45,70,65,67,58,52,84,70,77,66,79,44,63,73,66,56,76,66,64,45,45,56,Current
Coby White,77,United States,Chicago Bulls,Offense Initiator,PG,SG,193,86,0,1,North Carolina,143,988,77,80,55,78,55,48,98,84,2572,67,71,79,79,85,80,85,86,56,81,90,85,80,74,30,65,34,45,49,65,80,77,86,85,77,63,49,64,42,32,79,66,64,45,34,61,Current
Thaddeus Young,76,United States,Chicago Bulls,Inside-Out Scorer,PF,-,203,99,21,3,Georgia Tech,182,1,73,78,71,52,74,61,70,79,2678,82,60,79,58,95,65,72,63,70,83,88,85,85,74,55,79,79,74,68,60,80,36,67,50,65,43,78,73,86,53,78,75,89,60,56,66,Current
Kris Dunn,76,United States,Chicago Bulls,2-Way Tempo Pusher,PG,-,191,92,32,4,Providence,199,1,69,78,55,79,77,49,25,77,2614,84,79,65,74,60,50,84,80,56,83,85,75,84,81,40,55,39,60,42,44,82,75,86,84,84,68,40,85,96,52,87,83,93,80,34,63,Current
Denzel Valentine,76,United States,Chicago Bulls,Mid-Range Specialist,SF,SG,193,95,45,4,Michigan State,200,1,82,71,51,67,57,50,90,76,2451,85,85,77,84,88,75,64,61,58,65,88,75,85,76,40,35,35,52,58,40,69,75,75,62,69,55,60,50,80,51,65,47,72,30,34,65,Current
Tomas Satoransky,76,Czech Republic,Chicago Bulls,Mid-Range Facilitator,PG,SG,201,95,31,8,Czech Republic,215,1,84,73,55,80,62,49,55,76,2580,80,84,75,88,95,80,76,77,46,79,80,75,80,79,30,65,30,45,48,65,80,88,76,76,85,73,50,71,63,35,75,70,72,60,46,52,Current
Daniel Gafford,75,United States,Chicago Bulls,Rim Protector,C,-,208,107,12,1,Arkansas,227,1,66,75,73,41,63,59,98,78,2501,84,65,29,53,95,70,75,70,66,80,80,75,80,72,85,75,69,67,67,75,70,37,42,44,52,30,70,57,37,93,59,70,50,65,67,50,Current
Chandler Hutchison,75,United States,Chicago Bulls,Inside-Out Scorer,SF,PF,201,89,15,2,Boise State,233,1,74,75,58,60,62,59,75,77,2491,80,70,74,59,84,75,80,71,69,77,80,65,83,78,40,75,30,45,48,66,80,65,70,69,62,34,40,70,76,52,70,65,75,45,42,75,Current
Luke Kornet,73,United States,Chicago Bulls,Rim Protector,C,PF,218,113,2,2,Vanderbilt,332,1,76,64,69,44,56,51,90,73,2390,77,56,70,83,98,70,38,37,66,62,85,85,77,60,75,60,69,68,69,68,85,50,43,33,60,36,74,32,36,82,34,73,54,60,45,57,Current
Shaquille Harrison,73,United States,Chicago Bulls,Perimeter Lockdown,SG,SF,201,86,3,2,Tulsa,341,1,60,77,54,73,77,56,25,73,2518,61,49,77,78,50,45,73,75,45,89,90,85,81,79,40,70,34,40,33,52,84,79,77,71,79,60,40,80,90,76,83,79,89,75,48,64,Current
Cristiano Felicio,72,Brazil,Chicago Bulls,Mid-Range Finisher,C,-,208,119,6,5,CCSE Prep Academy (CA),390,1,58,76,64,37,47,75,94,72,2268,54,74,25,69,72,55,61,62,79,78,75,94,82,55,85,78,58,48,60,66,59,33,35,43,44,31,69,37,40,37,50,65,45,35,88,61,Current
Ryan Arcidiacono,70,United States,Chicago Bulls,Sharpshooter,PG,-,191,90,51,3,Villanova,459,1,70,69,45,75,51,44,50,73,2258,37,85,83,71,85,60,70,72,40,66,80,74,82,76,25,30,27,38,38,45,78,85,79,70,85,56,35,65,42,32,68,66,62,40,36,52,Current
Adam Mokoka,68,France,Chicago Bulls,Inside-Out Scorer,SG,SF,196,86,20,1,France,514,1,63,77,53,59,56,48,50,70,2287,72,64,70,64,70,35,79,79,48,82,84,85,82,72,35,75,33,48,43,39,75,60,69,72,62,30,40,69,59,42,76,50,68,40,29,67,Current
Max Strus,68,United States,Chicago Bulls,3PT Shooter,SF,SG,196,97,28,1,DePaul,518,1,68,72,53,62,48,37,35,70,2214,64,69,77,84,60,55,77,76,40,74,80,75,85,68,35,65,42,54,48,44,70,62,74,74,60,38,45,57,40,44,65,50,50,35,29,44,Current
Andre Drummond,85,United States,Cleveland Cavaliers,Paint Beast,C,-,208,126,3,8,Connecticut,44,643,61,79,77,54,75,94,35,86,2710,78,47,50,58,62,70,60,58,95,79,89,90,81,84,95,85,80,55,84,45,85,52,45,49,70,52,83,52,86,81,52,84,90,75,91,97,Current
Kevin Love,82,United States,Cleveland Cavaliers,3-Level Scorer,PF,C,203,113,0,2,UCLA,65,787,87,74,76,58,55,77,45,85,2660,88,96,81,85,90,80,66,38,85,70,88,96,77,72,75,50,77,87,87,73,90,65,52,33,77,61,69,50,36,47,54,75,57,50,60,93,Current
Collin Sexton,80,United States,Cleveland Cavaliers,Scoring Machine,SG,PG,185,86,2,2,Alabama,86,858,84,82,53,78,54,42,60,84,2547,81,86,82,85,75,95,89,89,58,84,95,75,81,85,30,75,25,38,28,68,75,78,86,88,76,60,45,63,43,32,76,60,69,45,40,43,Current
Larry Nance Jr.,79,United States,Cleveland Cavaliers,Mid-Range Finisher,PF,C,201,104,22,5,Wyoming,118,931,81,78,72,60,62,74,60,79,2690,82,84,79,68,95,75,65,60,69,86,88,97,83,82,85,85,58,54,69,65,78,69,64,49,70,46,68,48,56,52,61,75,84,55,64,83,Current
