name,overall,position,secondary_position,height,weight,shooting,inside_scoring,athleticism,playmaking,defense,rebounding
Reggie Jackson,79,PG,,6'3,208,79,53,77,79,57,37
Josh Richardson,79,SF,SG,6'6,200,82,55,72,68,66,37
Spencer Dinwiddie,79,SG,,6'6,210,84,54,64,80,55,35
Serge Ibaka,79,C,PF,6'10,235,84,68,70,40,66,75
Gordon Hayward,79,SF,PF,6'8,225,78,58,72,71,58,48
Rudy Gay,79,PF,SF,6'8,230,79,69,74,62,52,59
Brandon Ingram,79,SF,,6'9,190,77,67,69,65,55,44
Patrick Beverley,78,PG,SG,6'1,185,67,40,76,71,71,50
Lonzo Ball,78,PG,,6'6,190,60,49,72,79,67,47
P.J. Tucker,78,PF,C,6'6,245,76,57,73,52,73,52
Tristan Thompson,78,C,,6'10,238,60,62,67,36,53,82
Mitchell Robinson,78,C,,7'1,240,58,59,63,36,69,80
Thaddeus Young,78,PF,,6'8,221,75,71,74,50,69,63
Jeremy Lamb,78,SG,SF,6'5,185,83,55,69,65,57,53
Joe Ingles,78,SF,PF,6'8,226,75,49,62,64,66,39
Andrew Wiggins,78,SF,SG,6'8,194,73,63,79,62,59,42
Ja Morant,78,PG,,6'3,175,73,51,75,78,56,41
Brook Lopez,78,C,,7'0,270,82,74,57,37,57,43
Gary Harris,78,SG,,6'4,210,77,54,72,65,66,40
Terrence Ross,78,SG,SF,6'7,206,85,60,70,60,58,42
Goran Dragic,78,PG,,6'3,190,78,52,72,79,57,40
Fred VanVleet,78,PG,,6'0,195,80,45,69,81,64,37
Shai Gilgeous-Alexander,78,SG,,6'6,181,76,63,77,78,66,41
JaVale McGee,78,C,,7'0,270,72,64,65,30,61,81
Bam Adebayo,78,C,,6'10,255,73,67,79,38,59,77
Harrison Barnes,78,SF,PF,6'8,225,75,67,78,63,56,44
Jaylen Brown,78,SG,SF,6'7,220,74,58,75,66,69,48
Jarrett Allen,78,C,,6'11,237,66,71,77,34,64,78
Joe Harris,77,SF,SG,6'6,218,83,45,65,52,50,42
Andre Iguodala,77,SF,,6'6,215,58,52,70,69,70,42
Larry Nance Jr.,77,C,PF,6'9,230,74,69,75,57,64,78
Evan Fournier,77,SG,SF,6'7,205,80,49,66,69,55,38
Terry Rozier III,77,PG,SG,6'1,190,77,61,75,79,59,49
Caris LeVert,77,SG,SF,6'7,204,76,65,71,70,60,45
JaMychal Green,77,PF,,6'9,227,76,64,66,41,52,71
Kelly Olynyk,77,PF,C,7'0,240,79,66,56,44,48,53
Jordan Clarkson,77,SG,,6'5,194,81,50,72,70,45,41
Bogdan Bogdanovic,77,SF,SG,6'6,205,77,60,68,65,51,38
Jabari Parker,77,PF,SF,6'8,245,75,74,75,59,55,59
R.J. Barrett,77,SF,SG,6'7,210,73,59,75,70,53,53
Justise Winslow,77,SF,,6'7,225,74,55,75,66,65,50
Bobby Portis,77,C,PF,6'11,250,82,64,68,46,53,79
Marcus Morris Sr,77,PF,SF,6'9,235,80,62,69,45,56,55
Wendell Carter Jr.,77,C,PF,6'10,255,74,73,72,51,63,72
Ricky Rubio,76,PG,,6'4,190,74,44,64,77,60,41
Jeff Teague,76,PG,,6'2,195,73,49,73,78,58,31
Dejounte Murray,76,PG,,6'5,170,68,52,62,73,70,63
Willie Cauley-Stein,76,C,,7'0,240,66,68,73,39,60,70
Dennis Schroder,76,PG,,6'1,172,77,46,75,76,53,39
Derrick White,76,PG,,6'4,190,79,46,69,77,60,42
Thomas Bryant,76,C,,6'11,248,81,64,68,42,54,72
Will Barton,76,SF,,6'6,190,73,57,69,69,60,48
Kelly Oubre Jr.,76,SF,,6'7,205,76,50,70,60,59,47
Danny Green,75,SG,SF,6'6,215,69,45,64,55,63,39
Eric Gordon,75,SG,SF,6'4,215,74,58,77,59,56,32
Ed Davis,75,C,PF,6'10,225,51,58,65,34,46,84
Davis Bertans,75,PF,,6'10,225,78,53,59,41,49,44
Nerlens Noel,75,C,,6'11,220,57,65,67,34,68,75
Isaiah Thomas,75,PG,,5'9,185,71,46,77,77,45,34
J.J. Barea,75,PG,,6'0,185,78,42,66,81,43,40
Meyers Leonard,75,C,,7'1,255,82,50,57,36,47,65
Monte Morris,75,PG,,6'3,175,81,42,66,79,46,36
D.J. Augustin,75,PG,,6'0,183,79,45,69,75,46,37
Cody Zeller,75,C,,7'0,240,73,68,71,39,54,70
Jeff Green,75,PF,,6'9,235,74,68,66,53,53,42
Dario Saric,75,PF,,6'10,223,72,62,64,59,49,57
Rajon Rondo,75,PG,,6'1,186,63,44,74,77,59,46
Jalen Brunson,75,PG,,6'3,190,78,55,71,77,51,39
Andre Roberson,75,SG,SF,6'7,210,48,58,73,61,77,57
Delon Wright,75,SG,,6'5,183,72,45,73,78,62,49
De'Andre Hunter,75,SF,PF,6'7,225,68,55,69,56,60,49
Avery Bradley,75,SG,SF,6'2,180,69,44,70,61,65,35
Austin Rivers,75,PG,SG,6'4,200,71,52,75,72,62,36
Landry Shamet,75,SG,SF,6'5,188,76,48,73,68,44,33
Dion Waiters,75,SG,SF,6'4,215,73,58,72,70,54,36
Malik Beasley,75,SG,SF,6'5,195,80,62,71,54,50,38
Jakob Poeltl,75,C,,7'0,230,64,65,59,42,49,78
Nemanja Bjelica,75,PF,SF,6'10,234,77,56,63,48,51,60
Jahlil Okafor,75,C,,6'11,275,69,74,64,44,45,71
Dennis Smith Jr.,75,PG,SG,6'3,195,70,51,72,76,56,38
Kevon Looney,75,C,,6'9,220,70,60,70,52,58,75
Dwight Powell,75,C,PF,6'11,240,76,70,69,51,59,67
Kevin Huerter,75,SG,,6'7,190,74,51,72,69,52,42
Mason Plumlee,75,C,,6'11,235,65,70,63,54,59,73
Taj Gibson,75,PF,,6'9,232,75,63,62,31,55,69
Darius Garland,75,PG,,6'2,175,75,47,78,77,51,39
Coby White,75,PG,SG,6'5,191,76,51,77,77,58,39
Jarrett Culver,75,SG,,6'7,194,72,57,75,69,57,53
Dewayne Dedmon,75,C,,7'0,245,76,53,63,35,66,75
Nicolas Batum,75,SF,,6'8,200,73,55,64,64,62,45
Jerami Grant,75,PF,SF,6'9,220,71,62,72,46,64,46
Miles Bridges,75,SF,PF,6'7,225,72,65,75,61,56,54
Ersan Ilyasova,75,PF,C,6'10,235,71,59,58,43,52,61
Wesley Matthews,75,SG,SF,6'5,220,74,63,69,63,61,34
Al-Farouq Aminu,75,PF,,6'9,220,71,57,67,50,65,61
Collin Sexton,75,PG,SG,6'2,190,78,47,80,75,51,37
Gerald Green,75,SF,SG,6'7,205,76,61,69,53,51,41
Willy Hernangomez,75,C,,6'11,240,69,60,60,32,51,85
Marvin Williams,75,PF,,6'9,237,75,61,68,52,55,52
Gorgui Dieng,75,C,,6'11,252,75,67,66,38,62,74
DeMarre Carroll,75,SF,PF,6'8,215,72,60,65,51,63,52
Kevin Knox II,75,SF,PF,6'9,215,71,63,74,57,54,46
Trevor Ariza,75,SF,PF,6'8,215,62,55,70,62,64,44
Elfrid Payton,75,PG,,6'4,185,73,46,74,77,59,50
Michael Kidd-Gilchrist,75,PF,SF,6'7,232,67,60,75,57,68,58
Jonathan Isaac,75,SF,PF,6'10,210,67,59,73,53,63,55
Alex Len,75,C,,7'1,250,72,65,62,31,55,73
Ivica Zubac,75,C,,7'1,240,69,64,57,37,46,80
Tim Hardaway Jr.,75,SG,SF,6'6,205,76,54,68,66,49,37
Mohamed Bamba,75,C,,7'0,221,64,67,72,36,62,74
Jae Crowder,75,PF,SF,6'6,235,66,63,75,61,66,48
Daniel Theis,75,C,PF,6'8,243,76,69,75,44,62,73
Kentavious Caldwell-Pope,75,SG,SF,6'5,205,75,52,72,65,60,38
Emmanuel Mudiay,75,PG,SG,6'5,200,77,53,73,75,52,39
Rodney Hood,75,SG,SF,6'8,206,77,58,62,61,55,34
Shabazz Napier,75,PG,,6'1,180,77,45,74,78,55,39
Frank Kaminsky III,75,C,PF,7'0,242,78,69,66,45,47,60
Taurean Prince,75,SF,PF,6'8,220,74,58,73,55,60,39
Josh Jackson,75,SF,PF,6'8,200,72,59,74,55,62,48
Michael Porter Jr.,75,SF,PF,6'10,210,72,59,73,58,56,60
Kyle Korver,74,SG,SF,6'7,212,80,40,55,54,50,38
T.J. McConnell,74,PG,,6'2,190,77,44,65,73,60,37
Pau Gasol,74,C,,7'0,250,73,69,52,51,50,69
Bryn Forbes,74,SG,PG,6'3,190,83,46,63,57,43,37
Noah Vonleh,74,PF,C,6'9,250,72,63,66,47,47,67
Markieff Morris,74,PF,C,6'10,245,71,66,64,43,51,55
George Hill,74,PG,SG,6'3,188,74,47,73,71,60,39
Patrick Mills,74,PG,,6'0,180,78,41,71,76,48,37
Luke Kennard,74,SG,SF,6'5,206,84,48,63,57,42,42
Bismack Biyombo,74,C,,6'9,255,57,53,64,35,59,77
Aron Baynes,74,C,,6'10,260,76,59,58,38,55,75
Robin Lopez,74,C,,7'0,275,74,68,59,37,57,59
Boban Marjanovic,74,C,,7'3,290,70,57,42,36,51,84
John Henson,74,C,,6'11,219,66,67,63,36,61,76
Wayne Ellington,74,SG,,6'5,200,79,50,68,62,48,36
Richaun Holmes,74,C,PF,6'10,235,70,68,66,43,55,75
Mikal Bridges,74,SG,SF,6'7,210,71,51,73,59,67,38
Damyean Dotson,74,SG,SF,6'6,210,73,52,69,59,49,42
Mike Scott,74,PF,,6'8,237,73,66,63,38,53,52
Marco Belinelli,74,SG,SF,6'5,210,82,51,58,60,50,39
Juan Hernangomez,74,SF,PF,6'9,230,68,61,68,50,55,57
Cameron Reddish,74,SF,,6'8,208,70,54,72,62,59,37
Kris Dunn,74,PG,,6'4,205,74,51,73,76,61,41
Allonzo Trier,74,SG,,6'5,200,72,54,68,68,47,42
James Johnson,74,PF,,6'8,240,70,63,69,68,59,44
Tyler Johnson,74,PG,SG,6'4,190,78,54,68,73,54,42
Dante Exum,74,PG,SG,6'6,190,69,45,74,77,60,40
Rondae Hollis-Jefferson,74,PF,SF,6'7,217,62,67,80,50,61,63
Josh Hart,74,SG,SF,6'5,215,68,57,75,65,61,44
Wilson Chandler,74,SF,PF,6'9,225,69,58,67,51,58,49
Cedi Osman,74,SF,PF,6'8,215,72,50,66,61,57,44
Tomas Satoransky,74,SG,,6'7,210,69,51,69,76,58,44
Trey Lyles,74,PF,,6'10,234,71,67,63,47,48,56
Malik Monk,74,SG,,6'3,200,73,57,74,68,55,39
Damian Jones,74,C,,7'0,245,68,67,74,37,57,58
Kent Bazemore,74,SG,SF,6'5,201,68,53,73,66,65,45
Mario Hezonja,74,SF,PF,6'8,225,71,54,69,58,57,49
Jake Layman,74,SF,,6'9,215,75,51,69,52,54,48
Rodions Kurucs,74,SF,,6'9,210,72,52,66,52,50,53
Robert Williams,73,C,PF,6'10,240,55,63,70,37,59,72
Seth Curry,73,PG,SG,6'2,185,82,41,69,64,45,36
Kyle O'Quinn,73,C,,6'10,250,69,57,60,46,54,74
Jaxson Hayes,73,C,,7'0,219,59,65,67,32,61,64
Quinn Cook,73,PG,,6'2,179,78,42,63,69,41,42
Ish Smith,73,PG,,6'0,175,72,42,68,79,49,39
E'Twaun Moore,73,SG,SF,6'4,191,77,49,69,61,46,35
Norman Powell,73,SG,SF,6'4,215,72,47,72,62,64,41
Reggie Bullock,73,SG,SF,6'7,205,77,47,64,59,46,36
Michael Carter-Williams,73,SG,,6'6,190,62,57,68,73,69,54
Cory Joseph,73,PG,SG,6'3,193,71,44,65,75,63,42
Evan Turner,73,SF,,6'7,220,64,53,70,70,55,50
Doug McDermott,73,SF,,6'8,225,76,60,55,46,43,31
Ivan Rabb,73,PF,C,6'10,220,65,59,63,36,43,71
Maurice Harkless,73,SF,PF,6'9,220,61,53,67,48,66,51
Jordan Bell,73,PF,C,6'9,224,63,56,72,39,61,59
Maxi Kleber,73,C,PF,6'11,240,78,61,58,41,54,59
Markelle Fultz,73,PG,SG,6'4,200,64,54,75,77,55,50
Denzel Valentine,73,SF,,6'6,210,75,47,65,66,47,50
Rui Hachimura,73,SF,PF,6'8,235,71,68,75,51,49,56
Cheick Diallo,73,PF,C,6'9,220,66,61,65,30,47,73
Yogi Ferrell,73,PG,SG,6'0,180,81,40,67,75,42,35
Pat Connaughton,73,SG,SF,6'4,209,77,50,73,60,48,55
Glenn Robinson III,73,SF,SG,6'6,222,69,62,66,48,54,40
T.J. Leaf,73,PF,,6'10,225,68,63,64,46,49,65
Derrick Jones Jr.,73,SF,PF,6'7,200,66,60,74,50,56,61
Nicolo Melli,73,PF,,6'9,235,74,56,63,46,53,68
Torrey Craig,73,SF,,6'7,215,66,50,57,49,67,53
Harry Giles III,73,C,PF,6'10,240,73,68,70,54,54,69
Chandler Parsons,73,SF,PF,6'10,230,71,56,60,60,56,41
Christian Wood,73,PF,,6'10,214,72,60,60,30,52,69
Justin Jackson,73,SF,PF,6'8,210,74,47,66,55,45,39
Kyle Anderson,73,SF,PF,6'9,230,64,44,59,65,64,49
Zach Collins,73,C,PF,7'0,235,70,66,69,37,56,66
Dillon Brooks,73,SG,SF,6'6,220,77,61,70,54,49,39
Sterling Brown,72,SG,SF,6'6,232,73,49,65,58,51,48
Sekou Doumbouya,72,SF,PF,6'9,230,63,62,76,40,49,53
Tyson Chandler,72,C,,7'1,240,47,54,52,33,56,75
Tyler Herro,72,SG,,6'6,192,74,49,68,65,49,41
Matthew Dellavedova,72,PG,SG,6'4,200,71,37,65,72,54,35
Allen Crabbe,72,SG,SF,6'6,212,68,54,66,60,54,41
Vincent Poirier,72,C,,6'11,255,63,57,63,41,49,75
Jonah Bolden,72,PF,,6'10,220,61,56,67,48,57,62
Danuel House,72,SF,PF,6'7,220,72,52,62,53,43,42
Ante Zizic,72,C,,6'11,254,65,61,65,31,46,74
C.J. Miles,72,SF,,6'6,220,69,52,60,54,53,34
Alec Burks,72,SG,SF,6'6,214,68,56,68,67,56,48
Tony Snell,72,SF,,6'7,213,69,51,68,58,61,40
Alex Caruso,72,SG,,6'5,186,70,49,70,73,56,44
Brandon Clarke,72,SF,PF,6'8,207,57,58,70,51,65,57
Tyus Jones,72,PG,,6'2,196,79,44,65,74,52,36
Dorian Finney-Smith,72,SF,PF,6'8,220,66,50,66,48,60,56
Josh Okogie,72,SG,SF,6'4,212,63,46,76,61,61,41
Lonnie Walker IV,72,SG,,6'5,205,67,55,75,62,58,42
Frank Ntilikina,72,SG,SF,6'6,200,66,45,69,73,61,35
Omari Spellman,72,PF,C,6'9,245,64,62,66,32,49,62
Nassir Little,72,SF,,6'6,224,65,54,72,47,58,58
Stanley Johnson,72,SF,,6'7,245,70,45,66,52,62,48
OG Anunoby,72,SF,PF,6'8,232,62,50,74,51,62,45
Bruce Brown,72,SG,SF,6'5,202,66,45,76,60,63,43
Aaron Holiday,72,PG,,6'1,185,75,45,68,74,54,37
James Ennis,72,SF,PF,6'7,210,68,58,58,51,58,45
Mike Muscala,72,PF,C,6'11,240,74,55,55,40,47,48
David Nwaba,72,SF,PF,6'4,219,69,49,71,47,64,47
Garrett Temple,72,SF,SG,6'6,195,69,46,60,57,61,35
Royce O'Neale,72,SF,,6'6,226,69,58,64,54,58,45
Dwayne Bacon,72,SF,SG,6'7,221,70,62,70,52,44,37
DeAndre Bembry,72,SF,SG,6'6,210,66,57,65,66,58,50
Brad Wanamaker,72,PG,SG,6'4,210,77,51,65,69,41,37
Semi Ojeleye,72,SF,PF,6'7,241,63,64,78,50,49,46
Troy Brown Jr.,72,SF,,6'7,215,62,54,67,65,55,53
Furkan Korkmaz,72,SF,SG,6'7,190,73,54,67,54,48,44
Troy Daniels,71,SG,,6'4,205,79,42,66,52,42,34
Antonio Blakeney,71,SG,,6'4,192,74,47,68,55,42,39
Grant Williams,71,PF,,6'8,240,69,54,64,57,58,54
Goga Bitadze,71,C,,6'11,250,70,65,63,55,41,64
De'Anthony Melton,71,PG,SG,6'4,200,68,48,67,69,65,42
Nigel Williams-Goss,71,PG,SG,6'4,195,71,39,67,73,51,33
Ian Mahinmi,71,C,,6'11,262,59,60,65,38,62,67
Alfonzo McKinnie,71,SF,PF,6'8,215,65,55,65,41,51,61
Matt Thomas,71,SG,,6'5,193,77,51,65,57,46,30
Jared Dudley,71,PF,,6'7,237,71,47,58,45,58,40
D.J. Wilson,71,PF,C,6'10,231,67,57,63,51,46,57
Langston Galloway,71,SG,,6'2,200,73,42,68,61,45,37
Kevin Porter Jr.,71,SG,SF,6'6,213,65,50,71,64,54,49
Matisse Thybulle,71,SG,SF,6'6,200,63,46,66,58,69,37
Ty Jerome,71,SG,,6'6,194,68,46,68,74,55,42
Nickeil Alexander-Walker,71,SG,,6'6,204,67,54,66,68,60,40
Nicolas Claxton,71,C,,7'0,217,63,63,71,40,52,64
Raul Neto,71,PG,,6'1,179,69,45,68,70,57,40
Ryan Arcidiacono,71,PG,,6'3,200,78,40,61,71,45,36
Cameron Johnson,71,PF,C,6'9,205,69,51,67,48,47,50
Tim Frazier,71,PG,,6'1,170,69,46,68,75,45,43
Courtney Lee,71,SG,,6'5,215,71,51,64,60,54,37
Georges Niang,71,SF,PF,6'8,230,73,53,56,50,44,44
Grayson Allen,71,SG,,6'5,198,71,47,69,60,50,28
Rodney McGruder,71,SG,SF,6'4,200,68,47,64,59,60,46
Donte DiVincenzo,71,SG,,6'4,203,64,47,73,63,50,44
Zhaire Smith,71,SG,,6'4,199,63,52,78,53,57,37
Darius Miller,71,SF,,6'8,225,72,44,65,49,44,30
Kenrich Williams,71,SF,PF,6'7,210,61,56,68,56,57,56
Justin Holiday,71,SG,SF,6'6,181,65,51,64,50,63,39
Ryan Broekhoff,71,SG,SF,6'7,215,76,51,62,54,46,42
P.J. Washington,71,PF,,6'8,230,67,59,69,51,53,64
Mfiondu Kabengele,71,PF,C,6'10,256,63,55,67,36,52,62
Romeo Langford,71,SG,,6'6,215,67,50,73,66,51,47
Brandon Knight,71,SG,PG,6'3,195,67,45,69,66,48,31
Cristiano Felicio,71,C,PF,6'10,265,59,60,71,34,44,76
Anthony Tolliver,71,PF,SF,6'8,250,71,55,56,42,49,45
Keldon Johnson,71,SG,SF,6'6,211,69,59,74,60,53,55
Cameron Payne,71,PG,,6'3,190,75,43,66,71,47,37
Patrick McCaw,71,SF,,6'7,185,65,52,65,53,60,37
Thon Maker,71,C,,7'1,221,70,63,70,47,53,55
Chandler Hutchison,71,SF,PF,6'7,197,66,52,68,53,50,52
Anfernee Simons,71,PG,SG,6'4,185,71,49,71,71,42,37
Luka Samanic,71,PF,,6'11,227,65,56,66,52,49,55
Wesley Iwundu,71,SF,SG,6'7,195,67,53,63,54,54,44
Bruno Fernando,70,C,,6'10,237,61,62,70,45,52,66
Carsen Edwards,70,PG,,6'0,199,72,44,64,72,45,37
Dylan Windler,70,SF,SG,6'8,196,67,41,62,55,47,57
Jevon Carter,70,PG,SG,6'2,196,63,41,71,70,64,41
Frank Mason III,70,PG,,5'11,190,70,43,71,73,46,35
Admiral Schofield,70,SF,SG,6'5,241,67,56,66,52,52,44
Eric Paschall,70,PF,SF,6'7,254,67,62,70,50,46,48
Jordan Poole,70,SG,,6'6,191,69,49,67,62,50,34
Terrance Ferguson,70,SG,SF,6'7,190,65,58,67,57,58,34
Chris Boucher,70,PF,,6'10,200,65,47,58,29,48,71
Frank Jackson,70,PG,,6'3,205,72,48,77,63,46,40
Daniel Gafford,70,PF,C,6'11,238,49,53,66,33,50,64
Luke Kornet,70,C,PF,7'1,250,72,58,56,40,50,49
Moritz Wagner,70,C,,6'11,245,71,62,73,47,45,50
Alen Smailagic,70,PF,,6'9,216,59,57,66,49,53,65
Treveon Graham,70,SF,SG,6'5,225,72,53,67,46,52,43
JaKarr Sampson,70,SF,,6'9,207,63,44,58,49,59,53
Kezie Okpala,70,SF,,6'10,210,62,56,69,56,53,46
Jerome Robinson,70,SF,SG,6'5,190,66,45,67,62,47,37
Shake Milton,70,SG,SF,6'6,207,71,47,65,61,46,41
Jacob Evans III,70,SG,SF,6'6,210,66,54,72,63,57,38
Gary Trent Jr.,70,SG,,6'6,205,70,51,73,56,49,34
Chimezie Metu,70,PF,C,6'10,225,60,56,64,39,52,63
Deyonta Davis,70,C,,7'0,237,61,61,62,31,52,70
Ben McLemore,70,SG,,6'5,201,70,54,66,57,50,36
Edmond Sumner,70,SG,,6'6,176,63,55,73,57,55,42
Dzanan Musa,70,SG,SF,6'9,208,69,56,67,57,53,35
Deonte Burton,69,SG,SF,6'5,245,67,55,71,56,52,37
Miles Plumlee,69,C,,6'11,249,54,58,66,40,56,64
Devonte Graham,69,PG,,6'2,185,68,47,68,70,50,36
Naz Reid,69,PF,C,6'10,256,62,53,61,44,50,57
Elie Okobo,69,PG,,6'3,190,67,42,67,72,51,36
Kendrick Nunn,69,SG,,6'3,184,67,49,68,58,49,32
Hamidou Diallo,69,SG,,6'5,198,56,48,73,57,54,52
Darius Bazley,69,PF,SF,6'9,208,64,55,65,50,50,58
Terence Davis,69,SG,,6'4,205,66,49,64,63,57,40
Talen Horton-Tucker,69,SG,SF,6'4,235,64,49,66,58,60,40
Thanasis Antetokounmpo,69,SF,SG,6'6,216,61,52,68,52,47,44
Jemerrio Jones,69,PF,,6'5,201,56,50,66,54,51,69
Sviatoslav Mykhailiuk,69,SF,SG,6'8,205,64,47,69,59,42,35
Khyri Thomas,69,SG,,6'3,210,64,43,70,54,61,37
Alize Johnson,69,PF,,6'9,212,61,55,55,48,45,70
Jarred Vanderbilt,69,PF,SF,6'9,214,54,53,65,45,56,64
Kostas Antetokounmpo,69,PF,C,6'10,200,49,57,63,31,47,66
Caleb Swanigan,69,PF,,6'9,250,57,60,52,35,38,72
Tyler Lydon,69,PF,,6'10,225,65,53,61,44,48,48
Miye Oni,69,SG,,6'6,206,67,46,68,58,56,49
Tony Bradley,69,C,,6'10,248,58,64,58,37,50,68
Solomon Hill,69,SF,PF,6'7,225,61,48,63,48,54,42
Skal Labissiere,69,PF,C,6'11,235,60,57,65,42,46,57
Tyrone Wallace,69,SG,,6'5,198,58,49,70,61,60,48
Keita Bates-Diop,69,SF,PF,6'9,229,60,55,66,49,52,45
Abdel Nader,69,SF,SG,6'6,225,68,48,66,46,45,44
Gary Clark,69,PF,,6'8,225,69,55,62,40,47,50
