name,overallAttribute,closeShot,midRangeShot,threePointShot,freeThrow,shotIQ,offensiveConsistency,layup,standingDunk,drivingDunk,postHook,postFade,postControl,drawFoul,hands,interiorDefense,perimeterDefense,steal,block,lateralQuickness,helpDefenseIQ,passPerception,defensiveConsistency,speed,acceleration,strength,vertical,stamina,hustle,overallDurability,passAccuracy,ballHandle,speedWithBall,passIQ,passVision,offensiveRebound,defensiveRebound
Cameron Payne,76.0,80,92,77,84,85,90,83,25,25,25,36,31,80,72,31,60,43,51,70,51,52,40,75,75,39,72,82,75,84,75,86,75,79,75,35,56
Cameron Thomas,74.0,94,92,67,87,83,75,81,50,75,58,70,75,75,74,41,59,42,40,75,59,58,40,77,77,54,79,86,65,80,59,78,70,52,39,32,58
Caris LeVert,78.0,87,79,75,80,85,70,89,60,75,52,54,49,79,95,45,74,42,51,77,70,68,60,75,77,54,80,92,80,78,75,86,72,84,71,38,51
Carlik Jones,67.0,70,71,74,81,70,45,70,25,30,36,54,32,44,78,37,52,52,40,73,47,44,35,74,74,50,70,80,77,81,70,76,73,70,66,39,44
Cedi Osman,75.0,83,74,79,73,90,75,76,46,61,38,58,51,59,75,65,76,53,40,76,70,65,65,71,70,59,70,85,80,75,75,75,69,70,55,34,47
Charles Bassey,73.0,74,69,52,76,50,35,70,75,75,50,50,50,40,70,69,57,43,89,64,68,50,60,77,77,69,82,80,80,80,35,42,54,48,32,88,87
Charlie Brown Jr.,69.0,75,76,79,82,45,45,79,40,45,30,45,38,42,70,40,65,51,60,72,63,40,35,76,76,55,75,80,45,83,62,77,75,60,29,67,52
Chaundee Brown,67.0,70,74,80,70,60,50,68,25,50,33,43,48,45,84,45,66,36,28,69,62,63,40,72,72,52,72,84,75,80,60,74,66,64,30,30,65
Chet Holmgren,77.0,77,71,75,72,70,60,70,75,75,69,68,68,52,85,77,59,52,88,69,80,72,70,75,75,45,75,87,85,80,60,65,67,59,44,80,80
Chimezie Metu,75.0,88,73,73,77,85,60,78,80,75,58,40,49,55,95,67,51,56,62,60,68,55,40,52,52,69,75,80,80,83,48,37,30,58,33,39,87
Chris Boucher,76.0,84,59,72,72,65,40,74,85,80,72,64,72,50,85,78,37,42,81,42,84,50,70,57,55,80,74,89,95,77,33,41,25,59,27,74,79
Chris Duarte,77.0,79,79,80,74,95,85,79,40,70,44,46,46,69,95,50,69,53,40,68,68,69,65,65,65,59,63,92,92,80,69,71,60,78,42,39,60
Chris Paul,90.0,95,97,74,84,85,75,88,25,27,40,55,70,60,90,61,90,83,45,90,90,75,85,80,80,62,75,90,75,77,96,93,80,96,91,30,57
Chris Silva,73.0,65,69,72,69,40,30,67,70,65,53,52,60,54,78,62,55,42,87,51,60,52,35,62,62,69,75,82,75,83,65,65,54,54,40,88,74
Christian Braun,71.0,68,82,81,74,60,75,69,25,75,25,55,36,45,72,40,67,62,37,70,60,62,50,83,83,46,83,93,80,80,69,69,74,68,65,52,53
Christian Koloko,70.0,62,60,29,73,60,80,64,70,70,54,50,51,50,70,70,37,38,78,37,70,50,55,72,72,59,75,80,80,80,37,42,44,52,33,68,66
Christian Wood,84.0,89,54,83,58,95,90,87,90,85,81,79,81,85,95,74,51,40,67,56,74,62,45,56,59,74,66,93,94,83,30,60,44,40,46,53,92
Chuma Okeke,75.0,84,69,74,86,85,75,76,45,50,48,52,53,40,70,63,80,83,62,81,77,85,45,70,70,60,74,80,80,80,65,69,65,66,40,38,70
Clint Capela,84.0,79,60,25,51,93,75,79,95,80,71,48,69,74,70,86,53,41,80,60,86,74,85,58,57,85,80,92,97,83,34,48,30,35,32,91,93
Coby White,76.0,73,77,82,85,75,75,79,30,65,34,45,49,67,80,49,64,35,40,77,66,64,45,85,85,56,81,90,85,80,77,86,84,77,60,30,52
Cody Martin,75.0,72,60,82,73,95,70,85,25,75,59,59,55,79,75,48,69,70,56,72,69,69,60,58,58,58,75,90,90,80,74,73,57,78,46,47,54
Cole Anthony,78.0,83,68,77,84,98,95,82,40,89,49,58,44,79,98,45,69,38,45,74,55,52,45,84,84,59,77,88,85,98,82,84,84,82,74,33,66
Cole Swider,67.0,70,72,79,80,50,40,65,55,60,52,55,55,40,70,75,42,37,35,50,75,50,55,52,52,54,63,85,65,80,55,42,47,59,38,44,51
Collin Gillespie,68.0,74,75,80,87,50,50,74,40,54,31,46,40,37,95,33,62,38,56,74,60,58,55,82,82,33,72,85,80,80,79,77,82,75,57,35,53
Collin Sexton,78.0,82,76,76,74,85,90,85,30,75,25,38,28,85,95,45,67,46,25,76,67,69,50,88,88,58,84,95,90,81,78,86,87,76,44,47,44
Corey Kispert,75.0,93,78,78,87,65,80,73,40,60,38,39,39,45,85,54,70,37,50,74,69,67,65,76,76,60,69,84,80,80,66,71,66,69,32,41,48
Cory Joseph,73.0,82,71,83,84,75,65,72,25,30,27,39,29,55,85,54,75,41,50,80,68,59,65,72,72,40,65,88,70,84,80,84,72,80,70,34,50
D'Angelo Russell,82.0,88,79,79,83,70,90,85,25,45,35,55,60,88,81,40,64,42,50,75,68,79,55,81,81,54,71,93,65,83,87,90,81,88,85,31,50
D.J. Wilson,71.0,83,73,75,68,70,60,70,50,66,69,65,55,60,74,60,37,40,72,67,66,50,40,63,64,63,62,83,90,75,60,69,56,65,34,48,83
Daishen Nix,67.0,70,60,67,71,40,30,75,40,75,35,51,42,40,80,37,60,83,25,73,52,58,40,90,90,63,75,80,85,80,72,75,87,74,70,39,52
Dakota Mathias,67.0,71,80,72,83,70,65,78,25,45,33,43,48,44,84,45,60,35,61,69,62,63,35,67,66,52,60,84,69,80,70,74,65,70,59,37,37
Dalano Banton,72.0,63,75,64,75,88,55,79,30,65,30,45,48,65,80,40,60,59,53,72,60,62,50,76,76,66,75,80,75,80,74,70,72,76,69,52,61
Dalen Terry,71.0,77,72,73,74,70,50,77,25,80,40,46,42,45,85,43,69,72,51,75,69,70,65,76,76,58,69,85,85,80,72,80,74,74,64,52,59
Damian Jones,73.0,88,83,67,76,50,40,70,85,75,52,40,60,40,84,76,40,40,80,42,80,40,65,63,55,80,92,80,80,78,34,35,38,48,40,64,71
Damian Lillard,89.0,79,91,85,89,85,90,90,25,85,30,38,42,85,98,25,69,35,50,76,72,77,55,88,88,63,89,97,95,98,86,95,87,86,79,31,53
Damion Lee,73.0,84,65,77,85,95,80,79,40,65,44,48,51,62,78,57,60,43,37,74,60,66,35,68,68,55,75,80,70,79,62,70,66,57,33,36,63
Daniel Gafford,77.0,89,65,29,71,95,80,82,85,75,69,67,70,75,70,70,57,37,87,59,76,50,65,75,70,73,80,80,89,80,37,42,44,52,33,80,73
Daniel Theis,75.0,86,80,73,75,65,30,70,79,78,74,54,73,35,85,84,53,37,68,54,83,57,80,57,67,82,75,90,87,65,69,49,42,54,32,57,72
Danilo Gallinari,78.0,85,78,82,93,70,65,76,45,75,66,72,74,70,76,69,56,35,40,68,70,62,65,60,60,66,66,85,80,75,66,76,60,60,36,36,69
Danny Green,73.0,80,80,82,77,60,35,60,40,45,30,54,35,30,75,66,85,66,65,85,83,60,80,59,59,60,69,75,75,82,72,70,59,70,32,38,50
Danuel House Jr.,72.0,50,74,81,76,75,75,78,80,75,47,51,47,58,79,52,60,42,61,70,59,48,55,63,60,50,75,85,75,83,69,70,60,69,36,38,60
Dario Saric,76.0,80,65,78,87,80,80,79,45,70,74,74,81,60,92,70,49,49,35,61,74,50,65,63,69,65,60,82,86,81,75,69,57,84,41,55,71
Darius Bazley,76.0,83,70,72,69,85,80,79,50,80,59,54,50,69,80,55,56,43,73,67,60,59,35,73,75,60,82,80,75,80,50,69,70,47,34,43,75
Darius Days,67.0,65,69,73,71,65,40,70,50,70,41,37,41,40,70,64,65,42,47,68,50,50,50,70,70,66,78,85,80,80,49,50,60,52,35,49,60
Darius Garland,87.0,92,93,84,89,98,98,90,25,65,32,37,42,74,95,31,69,53,32,78,69,66,50,88,88,40,84,95,95,80,92,89,88,95,86,34,45
David Duke Jr.,72.0,68,73,69,79,90,75,70,40,60,30,40,39,70,70,40,60,59,57,70,55,37,35,83,83,55,72,80,45,83,62,73,78,60,32,69,53
David Nwaba,74.0,62,70,73,64,75,40,79,50,75,40,38,44,54,72,69,79,66,68,79,82,84,80,70,72,68,80,85,97,81,60,65,67,44,36,62,76
David Roddy,72.0,89,70,76,71,50,60,77,50,60,62,62,62,59,81,64,65,60,60,70,69,62,55,75,74,73,66,88,85,80,62,66,54,60,42,58,66
Davion Mitchell,77.0,87,75,74,67,70,40,74,25,40,30,30,30,44,95,44,84,41,50,87,85,85,85,82,82,60,70,90,95,80,82,86,82,83,71,33,42
Davis Bertans,73.0,70,70,76,88,70,60,69,65,65,43,66,52,60,88,64,40,37,52,63,69,58,50,57,55,64,52,80,80,68,38,72,47,45,30,33,62
Davon Reed,72.0,85,81,85,79,65,60,78,45,65,50,51,57,60,69,60,64,53,51,69,60,55,40,69,69,60,75,80,60,86,70,74,66,72,41,36,64
Day'Ron Sharpe,73.0,71,49,29,50,80,50,73,75,70,48,35,48,44,80,69,60,40,73,60,69,55,60,61,61,79,73,80,90,80,62,58,38,66,32,88,79
De'Aaron Fox,84.0,90,89,72,75,70,90,90,25,80,25,30,27,72,90,34,79,46,50,85,77,77,70,97,97,46,84,96,90,80,83,88,97,84,73,31,52
De'Andre Hunter,76.0,86,75,81,88,80,75,74,65,70,51,52,51,65,90,63,81,38,51,83,78,60,75,76,78,65,75,90,80,80,67,70,69,64,31,34,51
De'Anthony Melton,77.0,79,60,81,74,98,95,83,25,70,25,58,48,75,95,48,81,93,61,82,79,89,75,76,76,44,75,80,85,83,82,83,74,85,62,45,68
DeAndre Jordan,72.0,74,25,25,51,25,25,57,75,75,35,37,35,44,90,70,57,36,85,62,67,55,55,65,53,85,83,92,80,94,25,30,33,66,29,85,92
DeMar DeRozan,89.0,98,90,79,89,98,98,92,55,84,65,78,87,95,95,50,73,40,45,76,74,82,70,82,82,73,88,98,90,91,73,83,80,75,71,36,60
Dean Wade,73.0,80,68,79,78,85,65,60,80,75,60,60,64,60,70,50,44,43,40,58,70,68,45,62,62,60,83,80,85,79,38,60,43,55,33,42,58
Deandre Ayton,85.0,97,89,70,62,85,95,75,90,75,85,75,85,62,82,78,49,38,61,61,78,69,65,75,65,85,82,90,76,81,53,61,55,70,34,68,88
Dejounte Murray,86.0,85,88,75,70,98,95,93,40,75,40,48,49,78,95,53,86,86,45,87,85,89,85,83,83,40,60,90,90,80,86,86,83,86,87,42,80
Delon Wright,75.0,76,65,81,80,96,80,82,25,60,25,46,27,65,85,33,75,89,51,75,63,80,55,73,73,58,69,90,90,84,86,86,72,85,64,43,57
Deni Avdija,76.0,91,75,74,66,70,60,73,40,75,57,54,59,30,85,62,80,43,58,79,78,77,80,73,73,65,79,89,85,85,75,78,69,75,44,40,77
Denzel Valentine,72.0,79,75,82,84,92,75,66,40,35,35,52,58,40,69,60,50,49,25,65,47,72,30,64,61,58,65,88,75,85,75,75,62,69,34,49,63
Dereon Seabron,67.0,65,66,60,69,50,40,74,40,80,44,47,50,40,98,49,71,42,45,70,57,44,50,83,85,83,85,89,70,83,64,68,74,60,44,33,50
Derrick Favors,75.0,87,82,66,74,50,50,78,85,70,77,72,77,50,70,73,58,41,56,57,68,45,60,65,55,85,76,80,70,80,40,50,41,69,31,67,76
Derrick Jones Jr.,74.0,70,68,76,83,84,60,79,85,94,50,52,52,66,90,60,59,42,72,71,60,68,30,77,76,59,93,83,90,78,65,68,61,54,29,62,60
Derrick Rose,81.0,91,70,83,92,90,90,86,25,45,55,55,55,65,85,50,67,49,58,75,66,64,40,86,86,50,89,85,95,69,83,86,86,88,73,42,49
Derrick White,78.0,89,74,74,84,98,95,74,40,55,35,51,35,83,90,38,82,42,62,82,76,69,65,90,90,46,75,85,78,81,88,86,88,82,71,34,51
Desmond Bane,83.0,81,82,88,91,98,98,86,35,75,30,61,49,87,84,34,73,56,51,74,72,69,70,74,74,56,78,92,85,78,82,82,70,82,52,35,60
Devin Booker,91.0,92,94,87,86,98,98,92,30,75,74,79,82,91,85,38,74,46,50,74,65,62,65,79,79,49,74,95,85,81,89,92,76,92,79,35,58
Devin Cannady,67.0,67,76,81,87,55,45,79,25,50,25,45,25,35,82,25,50,49,37,65,52,55,30,79,79,40,81,80,85,78,74,76,79,70,40,28,34
Devin Vassell,76.0,85,83,80,70,95,80,66,40,60,37,44,70,40,80,62,82,56,57,80,81,85,75,72,72,60,77,89,80,82,69,66,65,70,39,36,62
Devontae Cacok,70.0,64,47,25,50,44,30,70,65,70,54,50,50,40,70,58,52,79,84,60,57,40,30,65,64,68,75,75,80,82,48,65,57,49,33,65,83
Devonte' Graham,75.0,64,72,77,79,75,80,80,25,60,30,32,36,66,85,30,70,46,37,76,65,68,55,82,82,34,79,95,85,83,82,86,82,83,70,34,43
Dewayne Dedmon,75.0,89,55,79,79,85,60,67,60,60,55,46,59,61,59,79,48,38,81,59,78,58,75,44,39,80,66,77,75,80,25,44,31,52,32,77,91
Didi Louzada,68.0,69,67,77,73,30,35,72,35,60,51,63,39,49,76,45,75,58,37,76,72,72,60,70,72,58,77,82,65,81,68,70,67,68,33,62,62
Dillon Brooks,80.0,74,79,73,90,80,90,79,35,75,55,59,64,78,85,57,85,56,45,86,85,84,80,75,75,65,75,88,95,85,59,74,69,58,61,41,47
Domantas Sabonis,86.0,98,65,74,75,98,95,88,70,75,86,86,86,85,95,70,49,41,51,49,69,45,60,48,44,82,54,92,95,86,82,60,43,80,71,71,90
Dominick Barlow,66.0,69,68,70,70,40,40,65,60,75,52,50,52,35,75,50,47,37,65,57,57,49,40,68,68,62,75,80,60,80,51,69,64,52,37,57,66
Donovan Mitchell,88.0,94,89,84,89,90,98,89,50,92,25,44,38,93,98,68,79,66,37,86,79,79,75,96,90,60,97,96,90,80,79,88,83,85,73,38,51
Donte DiVincenzo,75.0,58,63,77,74,75,70,75,25,75,28,45,38,44,70,58,82,70,42,85,84,88,80,89,89,60,95,90,85,81,77,77,81,74,62,46,61
Dorian Finney-Smith,78.0,74,71,83,62,95,90,77,40,84,47,40,40,48,72,72,79,49,52,79,74,74,70,67,67,62,83,80,80,81,65,60,44,61,35,50,51
Doug McDermott,74.0,86,79,86,81,70,70,79,50,65,60,66,62,60,75,52,58,31,35,60,63,50,40,59,53,60,67,81,67,83,65,67,47,65,33,32,46
Draymond Green,83.0,91,60,72,59,50,45,70,55,65,60,59,63,40,85,92,86,66,75,82,93,84,95,73,74,85,66,85,90,88,83,78,69,92,77,43,83
Drew Eubanks,75.0,89,73,54,81,80,70,69,75,70,72,70,72,60,75,60,47,40,67,59,59,50,45,61,62,68,75,80,85,83,42,37,38,55,40,75,81
Duane Washington Jr.,72.0,74,76,81,84,84,75,78,45,40,29,32,44,69,80,47,62,41,32,70,65,55,40,79,79,42,72,80,65,80,66,74,76,68,50,27,48
Duncan Robinson,74.0,81,81,84,71,75,65,75,30,70,40,44,35,64,90,50,52,37,42,65,50,50,30,59,59,35,72,85,75,83,66,72,56,70,38,32,49
Dwight Powell,76.0,85,65,78,70,80,85,70,75,65,77,79,79,83,90,74,45,37,60,58,68,74,65,71,48,80,67,90,95,83,55,60,44,64,35,73,62
Dylan Windler,71.0,77,77,77,80,85,75,72,35,50,32,44,44,35,80,42,65,43,40,65,57,60,45,68,69,55,75,80,80,80,62,72,67,60,38,51,66
Dyson Daniels,73.0,70,72,69,74,75,55,75,25,75,44,55,47,44,85,47,74,72,56,80,70,72,70,79,84,52,75,89,85,80,82,86,79,82,82,60,51
Edmond Sumner,75.0,75,72,81,81,85,75,74,50,80,37,44,45,67,80,44,62,53,47,75,60,60,35,82,82,40,93,86,80,82,70,70,81,69,34,36,48
Eric Gordon,75.0,85,72,85,72,70,50,79,30,70,35,63,50,60,94,42,78,35,50,78,73,68,50,79,79,60,82,92,85,78,69,79,78,73,55,30,41
Eric Paschall,75.0,94,86,81,75,70,60,80,70,80,65,64,62,65,95,64,65,32,40,63,65,40,40,71,70,69,87,85,95,80,57,77,64,62,33,47,52
Eugene Omoruyi,68.0,65,68,73,74,50,30,70,40,65,57,57,57,45,69,54,70,72,47,72,68,40,55,70,70,52,75,80,65,80,65,70,63,62,50,52,63
Evan Fournier,76.0,85,83,82,79,80,80,84,25,50,30,45,36,66,85,38,69,49,45,69,70,72,65,71,70,40,63,95,80,86,75,82,65,82,44,32,45
Evan Mobley,84.0,81,73,70,77,95,80,82,85,80,76,62,70,70,85,82,70,40,82,69,82,75,80,72,72,68,81,94,90,80,69,60,66,84,43,68,75
Feron Hunt,67.0,69,66,68,57,70,35,68,65,75,47,44,47,45,75,60,67,52,65,69,65,67,60,68,67,52,78,80,75,81,50,70,60,54,26,48,52
Frank Kaminsky III,74.0,94,68,78,83,88,80,78,50,65,79,79,78,68,90,65,40,63,73,42,63,50,40,47,53,66,67,89,85,82,40,54,38,50,40,58,68
Frank Ntilikina,72.0,90,87,77,86,50,40,65,30,45,32,48,40,39,85,35,82,59,47,82,80,70,70,80,82,47,70,81,80,80,77,86,80,77,58,34,52
Franz Wagner,80.0,89,68,79,79,95,90,77,55,80,57,59,59,60,76,56,73,42,52,73,74,73,70,70,70,65,75,85,80,80,70,73,68,69,61,42,54
Fred VanVleet,83.0,68,85,82,86,98,95,86,25,35,30,32,28,82,98,27,83,70,53,83,79,74,80,83,83,42,75,95,94,82,89,86,83,92,73,34,53
Furkan Korkmaz,73.0,72,70,71,82,85,75,75,40,75,30,60,45,69,88,40,64,40,40,69,56,62,45,70,69,50,80,85,81,80,54,73,64,65,50,34,54
Gabe Vincent,75.0,89,84,80,87,75,90,76,25,45,26,32,26,59,80,37,60,59,45,65,60,57,45,73,73,40,66,85,69,82,74,76,70,74,68,33,43
