name,overall,position,secondary_position,height,weight,shooting,inside_scoring,athleticism,playmaking,defense,rebounding
Tristan Thompson,76,C,,6'9,254,72,63,66,35,55,79
Larry Nance Jr.,76,PF,,6'7,245,78,68,70,56,61,57
Josh Hart,76,SF,,6'5,215,78,58,72,66,57,75
Al Horford,76,C,,6'9,240,78,65,61,53,61,50
Donte DiVincenzo,76,SG,SF,6'4,203,77,52,80,70,70,61
Kyle Kuzma,76,PF,,6'10,221,78,62,71,60,51,57
Devonte Graham,76,PG,SG,6'1,195,79,50,72,78,52,36
Will Barton,76,SG,SF,6'6,181,80,59,71,68,60,43
Monte Morris,76,PG,SG,6'2,183,82,51,71,78,48,34
Jordan Clarkson,76,SG,SF,6'4,194,83,57,74,73,48,45
P.J. Washington,76,PF,C,6'7,230,77,69,72,55,56,57
Ivica Zubac,76,C,,7'0,240,72,73,57,38,45,79
Danny Green,76,SF,SG,6'6,215,79,48,65,58,72,44
Rui Hachimura,76,PF,,6'8,230,82,71,74,50,44,47
Spencer Dinwiddie,76,SG,,6'5,215,80,56,68,81,56,37
Thaddeus Young,76,PF,,6'8,235,71,67,68,58,64,65
Jakob Poeltl,76,C,,7'1,245,71,67,58,43,59,73
Jae'Sean Tate,76,SF,PF,6'4,230,78,69,72,62,57,54
Kelly Olynyk,76,PF,C,6'11,240,80,72,56,47,51,65
Saddiq Bey,76,SF,PF,6'7,215,79,57,66,58,58,48
Blake Griffin,76,C,,6'9,250,76,73,75,68,53,51
Jalen Brunson,76,PG,,6'1,190,83,57,68,76,48,41
Terrence Ross,76,SG,SF,6'6,206,85,63,69,64,57,38
Cole Anthony,76,PG,SG,6'2,185,81,58,74,76,50,49
Kelly Oubre Jr.,76,SF,,6'7,203,76,58,73,62,59,54
Victor Oladipo,76,SG,,6'4,213,80,57,78,74,70,44
Kevin Huerter,76,SG,SF,6'7,190,85,51,71,69,52,39
Dillon Brooks,76,SF,SG,6'7,225,80,57,67,56,63,31
Kyle Anderson,76,PF,,6'9,230,80,53,58,66,62,47
Nicolas Batum,76,PF,,6'8,230,81,56,69,61,58,48
Coby White,76,PG,SG,6'5,195,81,55,76,75,52,42
Bobby Portis Jr.,76,C,PF,6'10,250,79,69,63,40,50,67
Joe Harris,75,SF,,6'6,220,83,47,66,61,49,40
Buddy Hield,75,SG,SF,6'4,220,81,55,66,68,52,43
Louis Williams,75,PG,SG,6'1,175,81,52,63,73,44,35
Jaxson Hayes,75,C,,6'11,220,75,67,67,30,56,67
Marcus Morris Sr.,75,PF,,6'8,218,81,63,61,39,50,40
Ricky Rubio,75,PG,,6'3,190,80,44,63,79,60,41
Luguentz Dort,75,SG,SF,6'3,215,79,59,78,58,70,40
Cameron Johnson,75,PF,,6'8,210,82,63,69,47,50,42
Hamidou Diallo,75,SF,,6'5,202,77,55,76,70,54,58
Moses Brown,75,C,,7'2,245,63,64,59,38,57,83
Dorian Finney-Smith,75,SF,PF,6'7,220,80,55,70,49,64,52
Immanuel Quickley,75,SG,,6'3,190,81,58,74,77,51,39
Nerlens Noel,75,C,,6'11,220,65,65,63,32,67,68
Jordan Poole,75,SG,,6'4,194,84,56,68,66,49,36
Cameron Payne,75,PG,,6'1,183,85,48,64,69,45,40
Derrick White,75,SG,,6'4,190,82,55,72,78,66,36
David Nwaba,75,SF,,6'5,219,77,57,74,50,72,53
Kenyon Martin Jr.,75,PF,,6'6,215,77,60,72,58,52,61
Kevin Porter Jr.,75,SG,,6'4,203,80,56,73,75,51,40
Gary Trent Jr.,75,SG,SF,6'5,209,80,59,74,61,50,35
Khem Birch,75,C,,6'9,233,75,66,71,29,57,66
Torrey Craig,75,SF,PF,6'7,221,77,59,57,49,69,66
JaMychal Green,75,PF,,6'8,227,78,65,65,40,50,65
Patrick Mills,75,PG,,6'1,180,85,44,69,73,46,32
Bruce Brown,75,SG,SF,6'4,202,79,53,76,65,64,64
Markelle Fultz,75,PG,SG,6'3,209,77,61,73,78,55,38
Talen Horton-Tucker,75,SF,,6'4,234,80,58,68,66,61,43
Malik Monk,75,SG,,6'3,200,81,58,73,68,52,39
Obi Toppin,75,PF,C,6'9,220,78,69,71,47,46,52
Alex Len,75,C,,7'0,250,76,70,61,30,57,67
Davion Mitchell,75,PG,,6'0,202,75,44,74,79,69,40
Royce O'Neale,75,SF,PF,6'4,226,76,62,66,55,66,55
Xavier Tillman,75,C,PF,6'8,245,75,68,61,48,66,60
Desmond Bane,75,SF,SG,6'5,215,83,55,65,62,47,42
Terance Mann,75,SF,PF,6'5,215,80,60,70,66,53,55
Evan Mobley,75,PF,C,7'0,215,72,68,67,53,57,69
Shake Milton,75,SG,SF,6'5,205,82,55,68,73,48,38
Tyrese Maxey,75,PG,SG,6'2,200,83,52,69,72,59,38
Matisse Thybulle,74,SF,PF,6'5,201,61,45,70,48,80,37
Patrick Beverley,74,PG,,6'1,180,73,44,73,67,75,46
Hassan Whiteside,74,C,,7'0,265,63,65,58,33,54,73
Dwight Howard,74,C,,6'10,265,66,61,62,30,56,77
Davis Bertans,74,PF,,6'10,225,81,61,59,41,47,36
Duncan Robinson,74,SG,SF,6'7,215,82,55,61,58,44,38
Kevin Love,74,PF,C,6'8,251,77,68,61,48,43,52
Facundo Campazzo,74,PG,,5'10,195,82,46,66,74,67,37
Brandon Clarke,74,PF,C,6'8,215,73,65,70,48,63,55
Isaiah Hartenstein,74,C,,7'0,250,70,63,70,53,56,83
Isaiah Stewart,74,C,PF,6'8,250,76,67,65,33,49,71
Luke Kennard,74,SG,SF,6'5,206,86,50,65,65,41,42
Seth Curry,74,SG,PG,6'2,185,87,45,70,69,45,33
Anfernee Simons,74,SG,,6'3,181,79,56,71,68,44,40
Jae Crowder,74,PF,,6'6,235,73,58,67,55,60,41
Carmelo Anthony,74,PF,,6'7,238,80,64,64,57,44,34
Furkan Korkmaz,74,SF,SG,6'7,202,77,58,69,56,51,38
Deni Avdija,74,PF,,6'9,210,75,56,72,59,54,50
Otto Porter,74,PF,,6'8,198,78,58,60,56,48,56
Derrick Favors,74,C,PF,6'9,265,70,67,61,37,53,74
Darius Bazley,74,PF,,6'8,208,74,63,71,51,49,56
Abdel Nader,74,SF,PF,6'5,225,81,52,67,56,47,47
Daniel Theis,74,PF,C,6'8,245,76,62,65,40,55,54
Cory Joseph,74,PG,SG,6'3,200,80,46,62,73,60,38
Saben Lee,74,PG,,6'2,183,78,54,67,75,50,42
Oshae Brissett,74,PF,C,6'7,210,79,65,69,43,46,57
Trey Burke,74,SG,,6'0,185,86,46,70,72,50,31
Wayne Ellington,74,SG,SF,6'4,207,83,53,65,61,44,35
Kendrick Nunn,74,PG,SG,6'2,190,85,54,70,67,49,39
Rajon Rondo,74,PG,,6'1,180,71,46,72,77,60,42
Alec Burks,74,SF,,6'6,214,79,57,62,60,49,42
Marvin Bagley III,74,PF,C,6'11,235,72,71,70,43,47,66
Eric Paschall,74,PF,,6'6,255,78,65,68,50,42,44
Delon Wright,74,SG,,6'5,185,79,51,70,77,62,48
Cameron Reddish,74,SF,,6'8,218,71,57,71,60,66,42
De'Anthony Melton,74,SG,PG,6'2,200,81,53,69,70,72,46
Eric Bledsoe,74,SG,PG,6'1,214,77,48,75,72,68,39
Juan Hernangomez,74,PF,PF,6'9,214,74,64,64,46,49,58
Payton Pritchard,74,PG,SG,6'1,195,83,51,66,72,46,42
Josh Richardson,74,SG,SF,6'5,200,81,52,71,62,68,39
Alex Caruso,74,PG,SG,6'4,186,72,51,67,71,68,43
Ed Davis,73,C,PF,6'9,218,48,60,70,42,59,88
Semi Ojeleye,73,PF,SF,6'6,240,76,66,81,53,50,51
Montrezl Harrell,73,C,,6'7,240,63,70,65,29,50,60
Derrick Jones Jr.,73,SF,PF,6'5,210,75,64,74,52,55,50
Maxi Kleber,73,PF,C,6'10,240,74,60,54,46,55,46
Bojan Bogdanovic,73,PF,,6'7,226,79,54,60,57,51,33
Thomas Bryant,73,C,PF,6'10,248,76,65,72,50,56,65
Juan Toscano,73,PF,,6'6,209,77,52,68,60,57,51
Bryn Forbes,73,SG,,6'2,205,85,51,63,50,43,33
Rodney McGruder,73,SG,PG,6'4,205,77,47,66,66,65,46
Raul Neto,73,PG,,6'1,180,84,47,67,65,59,36
James Wiseman,73,C,,7'0,240,73,66,64,41,52,60
Josh Okogie,73,SF,,6'4,213,69,47,73,61,69,46
Naz Reid,73,C,,6'9,264,75,66,60,43,52,56
Ty Jerome,73,SG,,6'5,195,80,50,66,73,50,36
Theo Maledon,73,PG,SG,6'4,175,80,52,65,74,40,37
Aleksej Pokusevski,73,C,PF,7'0,190,76,60,57,50,53,48
Dario Saric,73,C,,6'10,225,76,64,60,55,46,53
JaVale McGee,73,C,,7'0,270,68,66,57,28,55,75
Lonnie Walker IV,73,SG,,6'4,204,81,57,72,61,51,35
Yuta Watanabe,73,PF,,6'9,215,76,50,67,53,55,57
Sviatoslav Mykhailiuk,73,SF,,6'7,205,76,52,67,59,44,38
Josh Jackson,73,SF,,6'8,207,75,59,66,49,55,43
Austin Rivers,73,SG,,6'4,200,74,53,71,70,58,36
Jeff Green,73,PF,,6'8,235,77,65,63,49,50,37
Boban Marjanovic,73,C,,7'4,290,75,67,42,33,49,82
Reggie Bullock,73,SG,,6'6,205,84,49,62,56,47,36
Kent Bazemore,73,SG,SF,6'4,195,75,59,74,64,66,47
Taj Gibson,73,C,,6'9,232,75,67,56,28,54,63
Jalen McDaniels,73,PF,,6'10,205,76,61,68,51,47,52
James Bouknight,73,SG,,6'4,190,78,54,74,63,53,44
Gorgui Dieng,73,C,,6'10,252,79,61,56,32,53,58
John Konchar,73,SF,SG,6'5,210,81,47,64,62,54,59
Tyus Jones,73,PG,,6'0,196,82,47,62,72,53,37
Justise Winslow,73,SF,,6'6,222,70,55,70,62,63,56
Alize Johnson,73,PF,,6'7,212,71,63,60,54,50,84
George Hill,73,PG,SG,6'4,188,79,50,70,71,57,34
Grayson Allen,73,SG,,6'4,198,81,53,70,62,52,39
E'Twaun Moore,72,SG,PG,6'3,191,77,52,73,68,54,46
Avery Bradley,72,SG,PG,6'3,180,63,47,75,66,69,39
Denzel Valentine,72,SF,SG,6'4,220,80,49,68,67,50,54
DeAndre Jordan,72,C,,6'11,265,53,58,67,32,57,70
Timothe Luwawu-Cabarrot,72,SF,SG,6'7,220,64,56,74,66,57,45
Tony Snell,72,SF,,6'6,213,77,48,60,63,52,32
Leandro Bolmaro,72,SG,SF,6'7,200,68,57,63,72,61,40
Nemanja Bjelica,72,PF,,6'10,234,77,58,59,51,43,51
Doug McDermott,72,PF,,6'7,225,79,62,54,45,39,38
Robin Lopez,72,C,,7'0,281,76,65,52,31,49,52
Caleb Martin,72,SG,SF,6'5,205,73,56,65,56,57,54
Jonathan Kuminga,72,SF,PF,6'7,225,66,58,72,55,58,61
Damion Lee,72,SG,,6'5,210,82,55,64,53,50,45
Jordan McLaughlin,72,PG,SG,5'11,185,78,47,65,73,52,38
Jaylen Nowell,72,SG,,6'4,201,82,50,69,61,45,40
Taurean Prince,72,PF,,6'7,218,75,55,68,52,56,40
Mike Muscala,72,C,,6'10,240,80,60,52,37,43,45
Josh Giddey,72,SF,,6'8,205,72,53,65,71,51,62
Frank Kaminsky III,72,PF,C,7'0,240,72,65,57,38,39,58
Elfrid Payton,72,PG,,6'3,195,75,48,70,72,57,45
D.J. Augustin,72,PG,,5'11,183,76,45,68,76,45,35
Precious Achiuwa,72,C,,6'8,225,62,59,69,37,56,67
Scottie Barnes,72,PF,SF,6'7,225,66,60,72,66,62,53
Frank Jackson,72,SG,,6'3,205,82,50,72,60,44,39
Tomas Satoransky,72,SG,,6'7,210,80,50,62,66,51,32
Goga Bitadze,72,C,,6'11,250,72,64,57,44,43,63
Nicolas Claxton,72,C,,6'11,215,68,66,64,33,54,63
Willie Cauley-Stein,72,C,,7'0,240,62,66,66,39,54,61
Moritz Wagner,72,PF,C,6'11,245,78,61,67,38,40,46
Franz Wagner,72,PF,,6'9,220,75,55,60,56,56,43
Chuma Okeke,72,PF,SF,6'6,229,76,48,62,53,57,40
Gary Harris,72,SG,SF,6'4,210,73,53,68,63,64,34
Mohamed Bamba,72,C,,7'0,231,70,62,62,30,55,70
Jalen Suggs,72,PG,SG,6'4,205,76,55,72,72,54,32
Trevor Ariza,72,PF,,6'8,215,69,54,66,54,60,44
Chimezie Metu,72,PF,,6'9,225,74,60,63,36,51,61
Max Strus,72,SF,SG,6'5,215,79,54,67,56,43,34
Dylan Windler,72,SG,SF,6'6,196,82,49,63,56,49,55
Isaac Okoro,72,SF,SG,6'5,225,70,59,75,59,60,39
Tony Bradley,72,C,,6'10,248,64,64,55,33,47,75
Pat Connaughton,72,SF,SG,6'5,209,77,51,70,58,45,52
Georges Niang,72,PF,SF,6'7,230,80,50,59,51,48,45
Matt Thomas,71,SG,PG,6'4,190,76,53,67,57,46,45
Frank Ntilikina,71,PG,SG,6'4,200,71,48,73,71,68,40
Thanasis Antetokounmpo,71,PF,SF,6'6,219,66,61,74,61,52,65
Aaron Holiday,71,SG,,6'0,185,80,48,66,71,52,31
Moses Moody,71,SF,SG,6'5,211,74,52,65,51,57,49
Jake Layman,71,PF,,6'8,209,74,56,63,46,51,32
Jarred Vanderbilt,71,PF,,6'9,214,63,53,66,43,63,69
Gabriel Deck,71,PF,SF,6'6,231,75,57,62,58,40,48
Kenrich Williams,71,SF,,6'6,210,75,51,62,56,48,48
Landry Shamet,71,SG,SF,6'4,190,80,46,71,65,43,31
Joshua Primo,71,SG,SF,6'4,189,78,49,67,58,55,46
Malachi Flynn,71,PG,,6'1,175,79,45,63,68,53,39
Trey Lyles,71,PF,C,6'9,234,73,64,57,39,39,50
Willy Hernangomez,71,C,,6'11,250,72,61,53,26,45,76
Kira Lewis Jr.,71,PG,,6'1,170,73,47,73,74,54,34
Garrett Temple,71,SG,SF,6'5,195,78,48,60,59,59,36
Nickeil Alexander-Walker,71,SG,,6'6,205,79,53,62,62,56,38
Chris Duarte,71,SG,SF,6'6,190,79,50,66,53,59,45
DeAndre Bembry,71,SG,,6'5,210,73,60,67,67,63,45
Jevon Carter,71,SG,PG,6'1,200,79,42,69,65,60,40
Dwight Powell,71,C,,6'10,240,69,69,63,42,53,57
Michael Carter-Williams,71,SG,,6'5,190,69,59,67,72,62,49
Kevin Knox II,71,SF,PF,6'7,215,67,64,73,56,55,42
Cody Martin,71,SF,SG,6'5,205,72,55,66,59,56,56
Dewayne Dedmon,71,C,,7'0,245,68,52,53,30,56,78
Onyeka Okongwu,71,C,PF,6'8,235,67,59,67,40,60,63
Jalen Johnson,71,PF,,6'8,210,68,63,67,57,50,56
Keon Johnson,71,SG,SF,6'4,185,73,52,77,67,61,37
Aaron Nesmith,71,SF,SG,6'5,215,74,51,60,53,46,52
Javonte Green,71,SG,SF,6'4,205,76,51,67,54,57,48
Patrick Williams,71,SF,PF,6'7,215,77,48,64,48,57,42
Paul Reed,71,PF,C,6'9,210,71,62,59,42,55,65
Brad Wanamaker,70,PG,SG,6'3,210,72,58,73,77,49,40
Andre Iguodala,70,PF,,6'6,215,64,51,67,62,66,42
Wayne Selden Jr.,70,SG,SF,6'5,230,70,62,67,55,53,43
P.J. Tucker,70,PF,C,6'5,245,71,47,64,46,60,40
Santi Aldama,70,C,PF,6'11,224,69,64,62,49,55,69
Anthony Gill,70,PF,,6'7,230,75,58,63,37,46,55
Corey Kispert,70,SF,,6'6,224,77,45,64,51,51,33
Kentavious Caldwell-Pope,70,SG,,6'5,204,75,48,67,59,59,31
Chris Chiozza,70,PG,,5'11,175,75,42,66,73,54,37
Kevon Looney,70,C,,6'9,222,70,58,63,46,48,63
Dennis Smith Jr.,70,PG,,6'2,205,67,51,71,63,59,43
Nassir Little,70,SF,PF,6'5,220,73,55,69,43,52,49
Jaden McDaniels,70,PF,,6'9,185,73,51,67,43,46,40
Isaiah Roby,70,PF,C,6'8,230,74,59,65,38,48,54
Chandler Hutchison,70,PF,SF,6'6,210,71,52,63,50,47,48
Jalen Smith,70,C,PF,6'10,215,70,62,64,29,46,55
Drew Eubanks,70,C,,6'9,245,68,64,61,31,45,68
Devin Vassell,70,SF,SG,6'5,200,73,48,65,51,62,40
Armoni Brooks,70,SG,,6'3,195,80,48,65,59,47,42
Alperen Sengun,70,C,,6'10,243,67,64,53,44,48,68
Killian Hayes,70,SG,,6'5,195,73,52,70,74,57,35
Trey Murphy,70,PF,,6'8,206,72,50,68,46,52,39
Kelan Martin,70,SF,,6'5,230,77,49,57,51,49,60
Justin Holiday,70,SF,SG,6'6,180,72,51,59,48,56,33
Zeke Nnaji,70,C,PF,6'9,240,71,65,69,30,41,43
James Johnson,70,PF,C,6'7,240,67,61,64,54,62,42
Terence Davis,70,SF,,6'4,201,74,51,61,58,54,38
Maurice Harkless,70,PF,,6'7,220,71,52,65,44,57,33
Jared Butler,70,SG,PG,6'2,193,77,50,70,66,45,34
Kai Jones,70,C,,6'10,221,69,52,60,32,55,62
Ish Smith,70,PG,,6'0,175,71,43,62,73,46,39
Markieff Morris,70,PF,C,6'9,245,70,61,58,37,44,52
Kevin Pangos,70,SG,PG,6'1,179,72,45,69,75,51,36
Dean Wade,70,PF,,6'9,228,73,61,62,36,44,44
Rodney Hood,70,SF,,6'8,208,73,53,57,54,49,32
Jaden Springer,70,PG,SG,6'3,202,70,48,70,68,60,30
Charles Bassey,70,C,,6'10,230,56,59,67,35,56,58
Nathan Knight,69,C,PF,6'10,253,69,58,61,36,44,61
Tre Mann,69,SG,,6'3,178,77,49,62,67,46,33
Zach Collins,69,PF,C,6'11,250,71,63,61,29,48,38
Keita Bates-Diop,69,SF,PF,6'8,229,69,56,62,46,49,46
Tre Jones,69,PG,,6'1,185,70,41,68,71,53,33
Josh Christopher,69,SG,SF,6'3,215,73,54,67,57,51,40
Danuel House,69,SF,PF,6'6,220,70,58,58,51,44,37
Sam Dekker,69,SF,PF,6'9,219,66,55,72,60,51,56
Herbert Jones,69,SF,,6'6,206,66,53,63,55,58,49
Naji Marshall,69,SF,PF,6'7,220,71,54,59,56,46,46
Isaiah Jackson,69,C,,6'10,205,58,60,63,35,50,65
P.J. Dozier,69,SF,,6'6,205,70,49,63,56,49,43
Bol Bol,69,C,,7'2,220,66,64,56,40,47,53
Cameron Thomas,69,SG,,6'5,210,76,59,63,48,41,26
R.J. Hampton,69,SG,,6'4,175,74,53,67,64,47,46
Jahmi'us Ramsey,69,SG,,6'3,190,74,51,62,63,54,48
Damian Jones,69,C,,6'11,245,67,58,64,28,47,54
Udoka Azubuike,69,C,,6'10,280,48,54,67,26,48,65
Miye Oni,69,SG,SF,6'5,206,74,50,69,56,52,46
J.T. Thor,69,PF,,6'9,203,68,58,67,54,51,47
Vernon Carey Jr.,69,C,,6'9,270,73,64,59,31,42,54
Gabe Vincent,69,SG,,6'3,200,80,43,64,65,45,36
Solomon Hill,69,PF,SF,6'6,226,71,52,59,45,51,37
Sam Merrill,69,SG,,6'4,205,79,46,56,61,45,39
Jarrett Culver,69,SF,PF,6'6,195,65,54,68,54,50,52
Ziaire Williams,69,SF,PF,6'8,185,67,56,67,50,57,46
Jason Preston,69,PG,SG,6'3,181,74,50,66,68,47,44
Brodric Thomas,69,SG,SF,6'5,185,68,54,69,58,59,46
Bruno Fernando,69,C,,6'9,240,58,63,69,40,42,65
Lamar Stevens,69,PF,SF,6'6,230,72,57,68,47,47,49
Cedi Osman,69,SF,PF,6'7,230,69,49,62,61,52,37
Marko Simonovic,69,C,PF,6'11,220,73,62,50,37,38,59
Troy Brown Jr.,69,SF,SG,6'6,215,69,54,62,54,50,47
Sandro Mamukelashvili,69,PF,C,6'9,240,63,65,71,59,51,56
Jordan Nwora,69,SF,PF,6'8,225,76,52,56,39,47,47
Isaiah Joe,69,SG,SF,6'4,165,78,47,68,53,52,37
