name,overallAttribute,closeShot,midRangeShot,threePointShot,freeThrow,shotIQ,offensiveConsistency,layup,standingDunk,drivingDunk,postHook,postFade,postControl,drawFoul,hands,interiorDefense,perimeterDefense,steal,block,lateralQuickness,helpDefenseIQ,passPerception,defensiveConsistency,speed,acceleration,strength,vertical,stamina,hustle,overallDurability,passAccuracy,ballHandle,speedWithBall,passIQ,passVision,offensiveRebound,defensiveRebound
Alperen Sengun,78,77,50,70,71,90,70,79,65,65,78,78,78,72,80,69,63,59,83,64,69,85,60,52,52,68,49,80,80,80,63,54,48,62,70,70,69
Amir Coffey,75,92,69,81,88,90,85,84,25,40,38,53,54,69,81,47,64,38,47,69,68,64,50,75,75,52,75,80,70,79,72,75,75,74,40,36,54
Andre Drummond,81,62,47,47,56,50,60,73,95,85,70,45,75,40,80,77,52,87,82,52,81,76,75,60,58,95,79,89,85,81,52,45,49,70,62,93,98
Andre Iguodala,76,70,65,69,67,45,25,70,55,70,47,44,50,30,80,75,84,56,72,83,83,74,80,77,77,73,75,83,80,82,75,78,75,80,73,45,62
Andrew Wiggins,83,89,78,84,72,95,95,77,40,92,45,70,77,65,85,55,79,43,61,83,80,75,75,82,82,57,97,98,70,83,66,79,80,75,42,42,52
Anfernee Simons,81,92,83,83,91,95,95,89,40,89,25,44,32,69,75,34,59,36,35,76,50,55,40,86,89,27,90,79,85,80,79,84,79,82,70,34,46
Anthony Davis,92,88,76,70,72,80,90,85,90,88,83,86,86,70,95,94,80,46,88,78,97,82,95,79,78,92,86,97,98,78,60,75,67,72,54,66,78
Anthony Edwards,83,79,75,80,76,98,95,93,50,95,50,52,50,80,98,50,74,63,60,78,74,70,65,89,89,52,86,89,90,83,69,76,83,76,64,37,56
Anthony Gill,72,86,72,77,81,70,65,70,75,75,62,60,60,40,74,66,60,32,55,50,50,58,50,69,67,60,79,80,88,80,38,54,53,55,35,65,53
Anthony Lamb,68,71,69,74,78,50,30,72,40,65,35,51,49,30,82,52,57,33,51,67,59,50,35,62,62,65,70,85,80,81,66,65,61,45,34,58,53
Armoni Brooks,73,76,79,78,81,98,80,69,30,55,39,36,28,65,70,32,64,46,51,70,60,48,45,70,70,45,66,80,80,81,70,76,69,69,44,33,50
Arnoldas Kulboka,69,72,70,80,80,70,60,70,40,65,35,38,30,45,85,49,54,46,37,54,52,40,40,62,62,45,74,80,65,80,54,68,56,55,38,43,65
Austin Reaves,74,87,76,78,86,85,80,70,25,70,31,32,32,54,85,35,73,33,51,73,73,70,65,83,83,44,81,85,80,80,70,73,78,74,35,39,50
Austin Rivers,74,84,65,77,71,70,45,80,25,65,31,43,42,60,70,35,79,46,35,79,78,60,75,77,77,44,82,93,80,82,75,86,77,77,33,34,41
Avery Bradley,72,79,70,82,75,60,25,70,25,50,28,41,37,40,85,60,84,56,42,84,80,80,80,84,78,50,78,85,80,80,68,78,80,64,29,37,44
Ayo Dosunmu,77,88,89,84,78,80,80,79,25,75,35,50,42,69,87,38,69,41,51,78,68,69,65,76,76,52,75,85,75,80,72,79,73,79,62,32,51
Bam Adebayo,87,72,80,69,76,60,80,81,85,80,80,80,82,84,90,92,79,73,58,73,92,80,90,74,74,85,83,92,90,90,72,69,66,74,65,75,86
Ben McLemore,73,69,71,79,76,80,85,78,40,80,42,56,42,54,85,55,65,38,42,72,68,47,60,70,72,54,83,90,79,84,75,74,67,78,33,33,44
Ben Simmons,84,84,46,58,61,70,85,90,83,86,76,73,78,80,98,79,87,83,56,86,89,92,90,92,92,80,85,97,97,83,79,86,84,89,76,52,72
Bismack Biyombo,72,86,62,25,45,60,60,60,85,68,48,45,54,69,35,82,50,42,80,55,85,54,65,48,48,80,63,79,95,83,25,35,25,74,32,89,78
Blake Griffin,76,86,45,65,69,55,45,73,75,75,70,70,70,40,85,73,59,42,52,65,70,40,55,68,71,85,85,95,75,88,75,77,66,74,61,60,72
Boban Marjanovic,74,83,70,63,77,75,55,50,95,60,69,60,76,70,40,73,30,30,61,35,65,73,65,25,25,71,40,70,45,65,60,35,25,35,31,83,84
Bobby Portis,81,91,91,86,79,92,90,74,75,70,80,80,82,74,85,78,40,40,68,50,75,65,65,65,64,80,64,85,90,84,55,52,59,52,33,69,83
Bogdan Bogdanovic,80,93,92,80,89,75,90,79,50,65,62,57,57,69,85,51,63,43,40,75,60,60,50,75,75,63,78,89,67,77,74,79,73,79,59,31,58
Bojan Bogdanovic,81,91,74,84,85,90,85,79,40,70,49,60,64,75,70,54,78,35,27,77,75,62,70,67,62,60,72,93,75,84,77,74,66,82,36,40,55
Bol Bol,71,78,79,78,75,57,50,64,85,70,70,68,70,62,75,72,52,36,88,58,64,49,40,68,68,65,69,80,50,77,50,67,60,40,31,60,67
Bradley Beal,87,87,87,82,84,85,95,95,30,84,55,55,54,95,92,45,66,40,47,75,75,65,40,76,83,62,87,98,78,82,82,88,76,85,76,39,52
Brandon Boston Jr.,72,69,73,71,84,75,80,79,30,80,30,30,30,44,78,49,62,46,53,72,52,50,30,79,79,50,80,80,75,83,64,76,75,66,36,36,59
Brandon Clarke,78,91,72,60,65,60,30,65,80,84,63,62,62,44,80,78,75,40,85,78,78,72,75,82,83,64,82,90,95,80,59,69,65,62,44,73,70
Brandon Goodwin,75,69,69,78,66,90,75,84,30,65,30,31,29,45,85,34,67,80,25,72,59,58,40,84,83,52,83,80,85,81,83,83,83,83,73,40,57
Brandon Ingram,85,89,86,81,84,95,98,80,65,80,64,70,70,81,80,61,69,36,52,72,75,68,40,74,74,42,77,95,80,85,75,85,70,75,73,36,66
Brandon Knight,70,64,84,78,79,70,50,83,25,60,25,38,26,70,75,55,64,38,40,70,65,65,50,80,80,52,69,95,85,80,76,78,80,75,70,30,47
Brandon Williams,75,84,77,78,82,84,80,82,25,50,27,46,50,75,90,33,62,55,40,65,57,52,45,79,79,62,68,89,75,81,75,79,77,79,54,39,44
Braxton Key,67,69,69,69,65,60,35,68,75,75,59,58,58,33,74,52,52,30,55,58,52,54,35,69,68,70,81,80,79,80,48,49,59,54,36,69,69
Brodric Thomas,69,69,73,70,70,80,50,69,45,75,34,42,45,40,85,54,70,53,62,77,68,54,35,70,70,44,81,80,72,80,57,69,63,60,41,36,57
Brook Lopez,78,94,83,76,85,70,55,70,80,65,80,78,80,50,80,87,45,37,83,60,88,69,90,25,25,86,60,92,80,79,35,35,25,78,28,55,58
Bruce Brown Jr.,77,78,76,77,74,70,70,80,30,70,28,34,42,55,95,58,77,66,62,77,79,75,65,76,78,75,80,92,80,84,79,77,74,75,34,57,65
Bruno Fernando,73,53,65,42,55,65,50,75,80,78,64,63,65,50,75,64,44,36,51,60,65,62,40,74,74,85,75,85,85,80,52,50,50,65,31,64,86
Bryn Forbes,73,85,80,86,78,92,90,79,35,40,28,52,42,59,78,44,58,37,35,69,56,50,30,68,68,37,72,80,76,83,52,70,67,50,36,28,46
Buddy Hield,79,49,80,86,85,90,85,75,25,65,28,45,48,59,94,48,69,42,45,74,54,60,50,75,78,41,78,90,60,82,70,79,74,70,40,40,56
C.J. Elleby,72,70,70,70,76,95,70,69,40,50,35,51,45,59,85,48,67,53,52,71,62,60,50,69,69,58,72,81,68,81,50,62,64,60,42,56,66
C.J. McCollum,87,89,88,87,70,98,98,88,30,40,38,46,32,79,91,35,70,42,55,76,70,50,65,82,84,60,80,98,95,80,78,86,82,82,71,40,52
Cade Cunningham,82,87,79,80,83,80,90,79,40,75,60,62,60,70,98,59,75,59,60,80,75,76,75,83,83,62,80,88,80,80,76,86,83,80,73,40,66
Caleb Martin,77,56,82,81,73,95,85,86,25,70,55,54,54,70,75,68,75,63,62,74,74,72,70,55,55,58,74,85,90,80,62,69,54,69,33,56,58
Cam Reddish,77,79,60,80,91,85,75,78,50,80,43,52,47,70,95,55,81,66,53,81,80,80,75,85,85,52,84,90,65,80,68,81,79,69,33,37,46
Cameron Johnson,81,88,69,87,87,89,90,79,60,60,69,69,69,64,57,65,69,46,45,70,64,68,65,70,69,60,79,85,86,78,59,59,43,66,32,38,62
Cameron Payne,78,79,86,79,84,85,90,83,25,25,25,36,31,80,72,31,60,43,53,70,51,52,40,75,75,39,72,82,75,84,75,86,75,79,72,36,56
Cameron Thomas,75,94,91,68,87,83,75,81,50,75,58,70,75,75,74,41,59,42,42,75,59,58,40,77,77,54,79,86,65,80,59,78,70,52,38,31,57
Caris LeVert,78,88,82,76,80,85,90,89,60,75,52,54,49,79,95,45,74,43,52,77,70,68,60,75,77,54,80,92,80,78,75,86,72,84,71,37,51
Carmelo Anthony,79,86,91,83,81,80,90,80,55,70,64,87,83,50,90,63,62,41,67,69,58,40,40,76,76,74,74,90,60,79,75,80,75,72,31,41,58
Cassius Winston,69,76,75,82,85,75,65,74,25,30,25,25,25,40,70,25,54,36,47,65,52,50,30,66,66,52,52,80,70,83,77,80,66,80,63,25,49
Cedi Osman,76,85,74,82,73,90,85,76,46,61,38,58,51,59,75,65,76,56,42,76,70,65,65,71,70,59,70,85,80,75,75,75,69,70,50,34,46
Charles Bassey,73,74,69,52,76,50,35,70,75,75,50,50,50,40,70,69,57,38,88,64,68,50,60,77,77,69,82,80,80,80,35,42,54,48,32,88,88
Charlie Brown Jr.,69,75,76,79,82,45,45,79,40,45,30,45,38,42,70,40,65,41,51,72,63,40,35,76,76,55,75,80,45,83,62,77,75,60,35,35,49
Chimezie Metu,75,91,73,70,77,85,60,78,80,75,58,40,49,55,95,67,51,56,62,60,68,55,40,52,52,69,75,80,80,83,48,37,30,58,34,40,87
Chris Boucher,78,86,59,70,72,65,40,74,85,80,72,64,72,50,85,78,37,49,85,42,84,50,70,57,55,80,74,89,95,77,33,41,25,59,27,74,79
Chris Chiozza,72,69,73,78,76,77,50,70,25,30,35,30,30,40,78,31,68,53,25,71,65,75,45,73,76,42,68,80,79,81,79,78,70,72,70,46,45
Chris Duarte,77,80,79,80,74,95,85,79,40,70,44,46,46,69,95,50,69,53,40,68,68,69,65,65,65,59,63,92,92,80,69,71,60,78,43,38,58
Chris Paul,90,95,97,79,84,85,75,88,25,27,40,55,70,60,90,61,90,83,47,90,90,75,85,80,80,62,75,90,75,77,96,93,80,96,91,29,58
Chris Smith,67,70,70,72,79,50,40,73,35,60,44,52,49,52,80,55,62,33,25,69,60,49,45,69,69,32,68,80,70,80,54,68,64,59,30,45,74
Christian Wood,84,89,57,82,58,95,90,87,90,85,79,69,79,85,95,74,51,38,67,56,74,62,45,56,59,74,59,93,94,83,30,60,44,40,45,56,92
Chuma Okeke,75,89,69,75,86,85,75,76,45,50,48,52,53,40,70,63,80,86,61,81,77,85,45,70,70,60,74,80,80,80,65,69,65,66,38,40,70
Clint Capela,85,65,60,25,51,93,75,79,95,80,71,48,69,74,70,86,53,41,81,60,86,74,85,58,57,85,80,92,97,83,34,48,30,35,33,91,94
Coby White,77,82,86,83,85,75,75,79,30,65,34,45,49,67,80,49,64,36,45,77,66,64,45,85,85,56,81,90,85,80,77,86,84,77,53,31,51
Cody Martin,75,71,60,85,73,95,70,85,25,75,59,59,55,79,75,48,69,66,57,72,69,69,60,58,58,58,75,90,90,80,74,73,57,78,47,48,54
Cole Anthony,78,85,68,77,84,98,95,82,40,89,49,58,44,79,98,45,69,41,42,74,55,52,45,84,84,59,77,88,85,98,82,84,84,82,74,35,67
Collin Sexton,79,82,76,76,74,85,90,85,30,75,25,38,28,85,95,45,67,46,25,76,67,69,50,88,88,58,84,95,90,81,78,86,87,76,46,47,44
Corey Kispert,75,91,78,78,87,65,65,73,40,60,38,39,39,45,85,54,70,35,51,74,69,67,65,76,76,60,69,84,80,80,66,71,66,69,33,44,50
Cory Joseph,73,86,69,84,84,75,70,72,25,30,27,39,29,55,85,54,75,41,50,80,68,59,65,72,72,40,65,88,70,84,80,84,72,80,72,34,49
D'Angelo Russell,81,81,84,80,82,82,95,85,25,45,35,55,60,75,81,40,64,42,53,75,59,79,35,81,81,54,71,93,65,83,82,86,81,88,78,30,52
D.J. Augustin,73,53,78,84,90,95,65,70,25,25,25,59,32,40,80,25,60,38,25,70,54,60,50,82,82,28,68,85,82,84,82,81,81,84,71,31,41
D.J. Stewart Jr.,68,70,70,74,81,60,35,72,60,85,44,47,47,49,75,51,63,64,31,70,66,70,60,81,81,49,80,80,65,83,60,69,74,62,54,41,55
Daishen Nix,67,70,60,60,71,40,30,75,40,75,35,51,42,40,80,37,60,65,60,73,52,58,40,90,90,63,75,80,85,80,72,75,87,74,72,44,48
Dalano Banton,72,74,75,66,75,88,55,79,30,65,30,45,48,65,80,40,60,66,55,72,60,62,50,76,76,66,75,80,75,80,74,70,72,76,68,52,64
Damian Jones,73,71,83,57,76,50,40,70,85,75,52,40,60,40,84,76,40,36,74,42,80,40,65,63,55,80,92,80,80,78,34,35,38,48,42,69,70
Damian Lillard,90,80,91,85,89,85,90,90,25,85,30,38,42,85,98,25,69,35,50,76,72,77,55,88,88,63,89,97,95,98,86,95,87,86,78,31,53
Damion Lee,74,91,69,81,85,95,80,79,40,65,44,48,51,62,78,57,60,46,37,74,60,66,35,68,68,55,75,80,70,79,62,70,66,57,32,36,61
Daniel Gafford,79,83,65,29,71,95,80,82,85,75,69,67,70,75,70,70,57,37,89,59,76,50,65,75,70,73,80,80,89,80,37,42,44,52,34,80,75
Daniel Theis,75,79,80,73,75,65,30,70,79,78,74,54,73,35,85,84,53,35,66,54,83,57,80,57,67,82,75,90,87,65,69,49,42,54,30,53,65
Danilo Gallinari,78,65,80,83,93,70,65,76,45,75,66,72,74,70,76,69,56,36,45,68,70,62,65,60,60,66,66,85,80,75,66,76,60,60,35,38,69
Danny Green,73,80,80,82,77,60,35,60,40,45,30,54,35,30,75,66,85,70,68,85,83,60,80,59,59,60,69,75,75,82,72,70,59,70,31,36,48
Danuel House,72,50,74,81,76,75,75,78,80,75,47,51,47,58,79,52,60,36,60,70,59,48,55,63,60,50,75,85,75,83,69,70,60,69,44,35,67
Dario Saric,77,80,65,78,87,80,80,79,45,70,74,74,81,60,92,70,49,49,35,61,74,50,65,63,69,65,60,82,86,81,75,69,57,84,41,55,71
Darius Bazley,77,81,70,71,69,85,80,79,50,80,59,54,50,69,80,55,56,43,80,67,60,59,35,73,75,60,82,80,75,80,50,69,70,47,33,46,78
Darius Garland,88,96,96,85,89,98,98,90,25,65,32,37,42,74,95,31,69,49,30,78,69,66,50,88,88,40,84,95,95,80,92,89,88,95,89,33,46
David Duke Jr.,72,68,73,70,79,90,75,70,40,60,30,40,39,70,70,40,60,59,57,70,55,37,35,83,83,55,72,80,45,83,62,73,78,60,33,75,54
David Johnson,68,72,70,74,70,96,80,72,25,65,25,46,27,40,85,33,58,48,42,71,52,40,35,85,85,58,82,80,80,80,72,86,80,85,71,35,45
David Nwaba,74,54,70,70,64,75,40,79,50,75,40,38,44,54,72,69,79,66,73,79,82,84,80,70,72,68,80,85,97,81,60,65,67,44,37,57,83
Davion Mitchell,77,85,70,75,67,70,40,74,25,40,30,30,30,44,95,44,84,41,50,87,85,85,85,82,82,60,70,90,95,80,82,86,82,83,70,36,43
Davis Bertans,73,70,70,83,88,70,60,69,65,65,43,66,52,60,88,64,40,41,40,63,69,58,50,57,55,64,52,80,80,68,38,72,47,45,30,33,54
Davon Reed,73,85,81,81,79,65,60,78,45,65,50,51,57,60,69,60,64,63,42,69,60,55,40,69,69,60,75,80,60,86,70,74,66,72,39,39,68
Day'Ron Sharpe,74,71,49,29,50,80,50,73,75,70,48,35,48,44,80,69,60,41,75,60,69,55,60,61,61,79,73,80,90,80,62,58,38,66,32,88,79
De'Aaron Fox,84,88,89,73,75,70,90,90,25,80,25,30,27,72,90,34,79,46,50,85,77,77,70,97,97,46,84,96,90,80,83,88,97,84,82,32,52
De'Andre Hunter,78,88,77,82,88,80,75,74,65,70,51,52,51,65,90,63,81,38,51,83,78,60,75,76,78,65,75,90,80,80,67,70,69,64,32,34,52
De'Anthony Melton,80,77,74,77,74,98,85,79,25,65,25,58,48,69,95,48,81,95,62,82,79,89,75,76,76,44,75,80,85,83,79,81,74,82,69,48,67
DeAndre Jordan,73,74,25,25,51,40,25,57,80,80,54,40,61,44,90,80,57,41,88,62,82,60,80,65,53,88,83,92,95,94,25,30,33,66,29,85,93
DeAndre' Bembry,74,76,55,78,53,95,75,78,45,75,40,51,60,78,90,52,75,73,65,74,70,85,60,70,70,60,72,85,75,82,70,78,67,70,36,43,57
DeMar DeRozan,90,97,94,77,89,98,98,92,55,84,65,78,87,95,95,50,73,40,45,76,74,82,70,82,82,73,88,98,90,91,73,83,80,75,72,38,60
DeMarcus Cousins,78,82,72,74,72,65,50,77,80,75,82,80,83,60,90,70,48,83,67,49,60,58,40,63,62,88,71,70,70,72,60,72,60,84,40,74,91
Dean Wade,74,80,68,80,78,85,65,60,80,75,60,60,64,60,70,50,44,43,37,58,70,68,45,62,62,60,83,80,85,79,38,60,43,55,35,42,59
Deandre Ayton,86,95,74,70,62,85,85,75,90,75,85,75,85,62,82,78,49,41,62,61,78,69,65,75,65,85,82,90,76,81,53,61,55,70,34,75,88
Dejounte Murray,87,86,87,76,70,95,95,93,40,75,40,48,49,78,95,53,86,90,45,87,85,89,85,83,83,40,60,90,90,80,86,86,83,86,88,44,80
Delon Wright,77,75,65,81,80,96,80,82,25,60,25,46,27,65,85,33,75,86,50,75,63,80,55,73,73,58,69,90,90,84,86,86,72,85,66,44,56
Deni Avdija,78,95,75,72,66,70,60,73,40,75,57,54,59,30,85,62,80,46,61,79,78,77,80,73,73,65,79,89,85,84,75,78,69,75,40,40,75
Dennis Schroder,76,88,77,72,90,70,65,80,25,45,25,38,27,62,85,34,73,42,32,74,72,67,60,84,88,46,74,93,90,80,82,86,84,80,71,35,50
Derrick Favors,76,87,86,66,74,50,50,78,85,70,77,72,77,50,70,73,58,40,56,57,68,45,60,65,55,85,76,80,70,80,40,50,41,69,32,68,76
Derrick Jones Jr.,74,70,68,79,83,84,60,79,85,94,50,52,52,66,90,60,59,42,78,71,60,68,30,77,76,59,93,83,90,78,65,68,61,54,29,64,60
Derrick Rose,83,91,70,83,92,90,90,86,25,45,55,55,55,65,85,50,67,49,58,75,66,64,40,86,86,50,89,85,95,69,83,86,86,88,73,42,49
Derrick White,79,93,79,74,84,98,90,74,40,55,35,51,35,83,90,38,82,46,62,82,76,69,65,90,90,46,75,85,78,81,84,86,88,82,72,34,51
Desmond Bane,84,89,83,85,91,95,95,84,35,69,30,61,49,84,84,34,73,56,53,74,69,65,65,72,72,46,72,92,85,78,79,79,66,79,57,34,61
Devin Booker,91,88,89,87,86,95,98,88,30,75,69,74,82,91,85,38,74,42,47,74,65,62,65,79,79,49,74,95,85,81,83,87,76,90,70,37,60
Devin Vassell,76,94,86,79,70,95,80,66,40,60,37,44,70,40,80,62,82,53,60,80,81,85,75,72,72,60,77,89,80,82,69,66,65,70,36,36,64
Devontae Cacok,70,64,47,25,50,44,30,70,65,70,54,50,50,40,70,58,52,69,76,60,57,40,30,65,64,68,75,75,80,82,48,65,57,49,26,85,82
Devonte' Graham,75,61,72,78,79,75,80,80,25,60,30,32,36,66,85,30,70,43,37,76,65,68,55,82,82,34,79,95,85,83,82,86,82,83,71,33,43
Dewayne Dedmon,76,89,55,70,79,85,60,67,60,60,55,46,59,61,59,79,48,41,74,59,78,58,75,44,39,80,66,77,75,80,25,44,31,52,33,83,91
Didi Louzada,68,69,67,76,73,30,35,72,35,60,51,63,39,49,76,45,75,58,37,76,72,72,60,70,72,58,77,82,65,81,68,70,67,68,33,62,62
Dillon Brooks,81,81,70,76,90,80,90,79,35,75,55,59,64,78,85,57,85,66,40,86,85,84,80,75,75,65,75,88,95,85,59,74,69,58,61,40,48
Domantas Sabonis,87,95,70,75,75,98,95,88,70,75,86,86,86,85,95,70,49,42,51,49,69,45,60,48,44,82,54,92,95,86,82,60,43,80,71,72,90
Donovan Mitchell,87,96,91,84,89,90,98,89,50,92,25,44,38,93,98,68,79,73,42,86,79,79,75,96,90,60,97,96,90,80,79,88,83,85,73,41,50
Donte DiVincenzo,76,69,63,75,74,75,70,75,25,75,28,45,38,44,70,58,82,62,45,85,84,88,80,89,89,60,95,90,85,81,77,77,81,74,49,53,56
Dorian Finney-Smith,78,78,71,83,62,95,85,77,40,84,47,40,40,48,72,72,79,53,53,79,74,74,70,67,67,62,83,80,80,81,65,60,44,61,36,51,52
Doug McDermott,74,85,79,86,81,70,70,79,50,65,60,66,62,60,75,52,58,31,32,60,63,50,40,59,53,60,67,81,67,83,65,67,47,65,33,33,47
Draymond Green,83,95,60,73,59,59,55,70,55,65,60,59,63,40,85,92,86,70,78,82,93,84,95,73,74,85,66,85,90,88,83,78,69,92,78,46,82
Drew Eubanks,76,89,73,30,81,80,70,69,75,70,72,70,72,60,75,60,47,40,83,59,59,50,45,61,62,68,75,80,85,83,42,37,38,55,44,68,85
Duane Washington Jr.,73,68,76,79,84,84,75,78,45,40,29,32,44,69,80,47,62,40,30,70,65,55,40,79,79,42,72,80,65,80,66,74,76,68,57,27,50
Duncan Robinson,75,81,81,86,71,75,65,75,30,70,40,44,35,64,90,50,52,40,45,65,50,50,30,59,59,35,72,85,75,83,66,72,56,70,36,32,52
Dwight Howard,78,86,69,68,61,40,30,77,85,80,70,50,68,30,80,76,55,70,77,52,75,77,70,70,54,88,80,75,70,82,33,40,25,57,30,90,86
Dwight Powell,78,79,65,78,70,80,85,70,75,65,77,79,79,83,90,74,45,40,58,58,68,74,65,71,48,80,67,90,95,83,55,60,44,64,35,73,58
Dylan Windler,73,77,77,84,80,70,75,72,35,50,32,44,44,35,80,42,65,41,42,65,57,60,45,68,69,55,75,80,80,80,62,72,67,60,44,50,64
Ed Davis,72,74,52,25,62,50,30,60,75,69,60,57,55,42,63,67,40,41,86,54,67,55,50,65,38,78,75,80,85,81,32,45,38,60,26,70,91
Elfrid Payton,73,74,70,68,69,98,60,84,25,50,25,32,25,69,95,25,79,63,45,79,70,82,75,76,76,58,77,80,88,83,78,86,75,77,71,48,58
Elijah Hughes,69,69,72,76,77,75,65,69,45,70,57,57,41,51,82,49,64,46,42,69,57,52,40,75,75,55,78,85,75,84,57,72,68,47,33,34,60
Eric Bledsoe,76,85,72,74,76,60,60,75,25,70,25,40,28,35,80,59,86,76,51,85,82,80,85,84,84,55,88,84,75,81,72,80,83,70,72,36,53
Eric Gordon,75,80,72,85,72,70,65,79,30,70,35,63,50,60,94,42,78,35,51,78,73,68,50,79,79,60,82,92,85,78,69,79,78,73,63,30,40
Eric Paschall,76,89,86,78,75,70,60,80,70,80,65,64,62,65,95,64,65,31,40,63,65,40,40,71,70,69,87,85,95,80,57,77,64,62,32,50,53
Evan Fournier,76,88,80,83,79,80,80,84,25,50,30,45,36,66,85,38,69,46,47,69,70,72,65,71,70,40,63,95,80,86,75,82,65,82,40,34,47
Evan Mobley,83,82,79,70,77,95,80,82,85,80,76,62,70,70,85,82,70,38,81,69,82,75,80,72,72,68,81,94,90,80,69,60,66,84,43,68,73
Facundo Campazzo,73,75,70,75,77,70,50,72,25,25,43,40,35,44,81,40,78,83,57,79,82,86,65,72,72,49,58,80,95,80,80,79,70,80,70,35,45
Feron Hunt,67,69,66,68,57,70,35,68,65,75,47,44,47,45,75,60,67,52,65,69,65,67,60,68,67,52,78,80,75,81,50,70,60,54,26,48,52
Frank Jackson,72,75,88,74,83,88,75,79,35,65,30,38,26,60,76,25,62,38,45,70,60,60,45,85,85,41,95,85,81,81,70,77,84,60,33,32,41
Frank Kaminsky III,77,94,68,78,83,88,80,78,50,65,79,79,78,68,90,65,40,63,74,42,63,50,40,47,53,66,67,89,85,82,40,54,38,50,41,55,66
Frank Ntilikina,72,90,79,77,86,50,40,65,30,45,32,48,40,39,85,35,82,63,47,82,80,70,70,80,82,47,70,81,80,80,77,86,80,77,50,31,51
Franz Wagner,79,87,68,80,79,95,90,77,55,80,57,59,59,60,76,56,73,41,52,73,74,73,70,70,70,65,75,85,80,80,70,73,68,69,61,42,54
Fred VanVleet,83,68,86,84,86,98,95,86,25,35,30,32,28,82,98,27,83,63,52,83,79,74,80,83,83,42,75,95,94,82,89,86,83,92,74,35,53
Furkan Korkmaz,73,75,70,70,82,85,75,75,40,75,30,60,45,69,88,40,64,41,37,69,56,62,45,70,69,50,80,85,81,80,54,73,64,65,56,32,54
Gabe Vincent,73,89,82,83,87,95,90,76,25,45,26,32,26,59,80,37,60,59,51,65,60,57,45,73,73,40,66,85,69,82,74,76,70,74,70,34,43
Gabriel Lundberg,69,70,79,75,77,65,40,70,25,60,44,52,50,45,85,50,71,75,55,75,68,79,50,73,73,54,70,85,85,83,74,77,70,70,42,44,52
Garrett Temple,70,82,55,74,79,70,40,70,25,30,37,55,46,40,85,46,78,56,61,76,77,74,70,57,57,44,69,85,79,82,75,75,57,74,38,40,54
Garrison Mathews,74,74,78,81,80,82,80,79,45,55,36,47,48,74,95,42,59,40,51,60,58,52,45,50,50,44,65,89,88,79,71,76,47,82,30,36,54
Gary Clark,72,75,78,82,80,70,40,66,55,60,60,54,62,54,90,69,73,53,65,74,68,66,65,53,54,65,75,80,80,80,52,54,35,54,29,55,77
Gary Harris,75,89,71,82,81,50,55,79,40,50,28,51,47,60,75,68,84,42,37,81,80,55,80,70,75,53,78,85,70,83,75,76,70,70,39,36,38
Gary Payton II,78,88,70,80,66,90,75,79,35,75,30,42,42,75,89,50,79,96,57,80,76,91,80,81,81,48,85,85,80,83,75,78,81,72,34,58,66
Gary Trent Jr.,79,86,84,82,91,90,90,82,40,75,44,57,46,69,73,50,61,86,47,74,60,64,35,85,85,58,90,80,70,82,70,71,77,71,36,30,44
George Hill,73,68,78,74,93,70,60,79,25,45,33,61,38,42,90,48,75,43,40,78,73,70,70,76,76,52,88,92,74,79,78,86,76,77,49,42,48
