name,overall,position,secondary_position,height,weight,shooting,inside_scoring,athleticism,playmaking,defense,rebounding
Jarrett Allen,81,C,,6'10,243,78,77,75,31,60,77
Tyrese Maxey,81,SG,,6'2,200,85,62,77,80,62,37
Jaren Jackson Jr.,81,PF,C,6'11,242,81,75,69,38,71,55
Klay Thompson,80,SG,SF,6'6,220,84,54,70,67,68,40
Mikal Bridges,80,SF,,6'6,209,84,60,76,66,68,39
Desmond Bane,80,SG,,6'5,215,85,61,73,71,59,42
Robert Williams III,80,C,,6'9,237,69,67,71,43,69,78
Ben Simmons,80,PF,,6'11,240,66,69,84,77,68,67
Tyrese Haliburton,80,SG,,6'5,185,85,57,73,81,64,38
John Collins,80,PF,C,6'9,226,82,79,75,45,52,63
Nikola Vucevic,80,C,,6'10,260,79,77,66,53,52,69
Tyler Herro,80,SG,,6'5,195,85,58,72,76,49,43
Al Horford,80,PF,C,6'9,240,79,70,68,56,68,63
Fred VanVleet,80,PG,SG,6'1,197,82,48,72,79,64,38
Jamal Murray,80,PG,SG,6'3,215,85,63,75,77,58,39
Jalen Brunson,80,SG,PG,6'1,190,87,62,73,84,51,39
Andrew Wiggins,80,SF,,6'7,197,82,69,78,65,70,43
Evan Mobley,80,PF,C,6'11,215,76,73,74,59,67,71
Cade Cunningham,80,SG,,6'6,220,82,67,77,79,63,47
Wendell Carter Jr.,80,C,,6'10,270,79,77,69,51,56,72
Christian Wood,80,C,,6'9,214,75,82,69,39,55,72
R.J. Barrett,80,SF,,6'6,214,78,69,78,75,61,47
Scottie Barnes,80,PF,,6'7,225,80,70,78,68,64,59
Marcus Smart,79,SG,,6'4,220,76,53,77,65,76,38
Jonas Valanciunas,79,C,,6'11,265,76,73,66,39,52,78
Myles Turner,79,C,,6'11,250,77,73,62,34,66,61
Julius Randle,79,PF,C,6'8,250,74,77,76,70,59,63
Kyle Lowry,79,PG,,6'0,196,82,47,77,83,68,41
Jordan Poole,79,SG,,6'4,194,86,58,66,76,53,37
D'Angelo Russell,79,SG,,6'4,193,83,60,72,82,58,38
Tobias Harris,79,PF,C,6'7,226,83,72,70,66,53,50
Keldon Johnson,79,PF,SF,6'6,220,80,66,74,63,53,49
Jerami Grant,79,PF,,6'8,210,78,75,74,61,63,40
Josh Giddey,79,SG,,6'8,205,79,67,71,84,60,61
Gordon Hayward,79,SF,PF,6'7,225,80,61,73,68,56,42
Kyle Kuzma,79,PF,,6'9,221,81,72,73,65,52,58
Kevin Love,78,C,PF,6'8,251,81,73,67,52,50,67
Jusuf Nurkic,78,C,,6'11,290,76,71,59,50,57,78
Steven Adams,78,C,,6'11,265,58,71,63,48,64,81
Mike Conley,78,PG,,6'1,175,80,46,72,80,64,37
OG Anunoby,78,SF,PF,6'7,232,76,58,76,54,73,46
Jalen Green,78,SG,SF,6'4,186,82,67,77,71,54,36
Harrison Barnes,78,SF,PF,6'8,225,80,67,74,62,55,47
Malcolm Brogdon,78,SG,,6'5,229,82,60,72,78,61,46
Bobby Portis Jr.,78,C,,6'10,250,79,72,69,45,54,71
Lonzo Ball,77,SG,,6'6,190,74,53,72,78,74,46
Cameron Johnson,77,PF,,6'8,210,81,66,69,47,56,44
Dillon Brooks,77,SF,,6'7,225,80,63,73,59,67,39
Bojan Bogdanovic,77,SF,PF,6'7,226,81,62,66,62,55,42
Brook Lopez,77,C,,7'0,282,75,70,58,36,65,51
Monte Morris,77,PG,SG,6'2,183,83,50,69,79,44,35
Josh Hart,77,SF,,6'5,215,80,59,71,69,56,55
Saddiq Bey,77,SF,PF,6'7,215,80,57,68,60,59,48
Michael Porter Jr.,77,PF,,6'10,218,77,65,75,58,52,55
Mitchell Robinson,77,C,,7'0,240,65,67,63,39,65,78
Jarred Vanderbilt,77,PF,C,6'9,214,64,57,73,47,73,77
Bogdan Bogdanovic,77,SG,SF,6'6,225,85,62,69,68,51,40
Anfernee Simons,77,SG,,6'3,181,86,58,71,77,43,34
Spencer Dinwiddie,77,SG,,6'6,215,81,60,67,79,53,42
Terry Rozier III,77,SG,PG,6'1,190,83,60,76,77,55,39
Andre Drummond,76,C,,6'10,279,56,66,70,48,59,81
Jakob Poeltl,76,C,,7'1,245,62,67,58,45,58,77
Derrick Rose,76,PG,SG,6'2,200,83,56,76,78,53,40
Aaron Gordon,76,PF,,6'8,235,74,73,75,54,62,53
T.J. Warren,76,SF,PF,6'8,220,77,69,65,55,48,38
Kelly Oubre Jr.,76,SF,,6'6,203,77,57,73,60,58,45
Norman Powell,76,SG,,6'3,215,83,53,73,64,61,35
Collin Sexton,76,SG,PG,6'1,190,80,54,78,71,53,40
Caris LeVert,76,SG,SF,6'6,205,77,65,71,72,55,39
Lauri Markkanen,76,SF,PF,6'11,240,80,71,59,47,48,49
Gary Trent Jr.,76,SG,SF,6'5,209,85,59,73,60,53,32
Mohamed Bamba,76,C,,7'0,231,73,70,67,34,60,70
Franz Wagner,76,PF,,6'10,220,80,65,69,63,59,43
Cole Anthony,76,PG,SG,6'3,185,80,63,74,78,47,44
John Wall,76,PG,,6'3,210,71,56,77,76,69,35
Matisse Thybulle,75,SF,SG,6'5,201,61,45,71,46,80,35
Patrick Beverley,75,SG,PG,6'1,180,67,43,73,70,73,47
Buddy Hield,75,SG,SF,6'4,220,83,52,65,64,50,43
Brandon Clarke,75,C,,6'8,215,62,61,77,44,67,67
Luguentz Dort,75,SF,SG,6'3,215,75,58,77,56,64,39
Daniel Gafford,75,C,,6'9,234,60,72,72,36,57,69
Isaiah Stewart,75,C,,6'8,250,65,66,70,37,52,79
Seth Curry,75,SG,SF,6'2,185,86,46,68,69,42,33
Grant Williams,75,PF,,6'6,236,77,61,66,54,56,43
Larry Nance Jr.,75,PF,,6'7,245,74,68,70,54,59,63
Jaxson Hayes,75,C,,6'11,220,75,67,67,30,57,61
Danilo Gallinari,75,PF,,6'10,236,77,63,64,54,53,47
Herbert Jones,75,SF,PF,6'7,206,74,64,69,60,69,42
Chris Duarte,75,SF,SG,6'5,190,78,57,67,59,55,44
Nicolas Claxton,75,C,,6'11,215,67,71,70,37,57,67
Russell Westbrook,75,PG,,6'3,200,67,59,83,75,54,54
Ivica Zubac,75,C,,7'0,240,64,67,58,39,48,79
Jonathan Kuminga,75,PF,,6'7,225,70,66,78,58,59,53
Onyeka Okongwu,75,C,,6'8,240,61,65,72,44,64,72
Robert Covington,75,PF,,6'7,209,68,56,66,51,76,51
Alex Caruso,75,SG,,6'5,186,72,51,67,72,72,41
Will Barton,75,SG,SF,6'5,181,78,60,69,69,58,43
Chet Holmgren,75,C,,7'0,195,71,67,63,50,65,70
Jabari Smith Jr.,75,PF,C,6'10,220,72,68,69,59,61,60
Kelly Olynyk,75,C,,6'11,240,75,73,56,48,51,61
Bruce Brown,75,PF,SF,6'4,202,76,50,75,64,65,54
Kentavious Caldwell-Pope,75,SG,SF,6'5,204,81,52,73,64,64,37
Dwight Powell,75,C,,6'10,240,69,74,69,46,55,62
Markelle Fultz,75,SG,,6'4,209,75,62,74,80,59,39
Jonathan Isaac,75,PF,,6'10,230,64,64,74,54,71,60
Paolo Banchero,75,PF,C,6'10,250,66,71,72,63,58,65
Keegan Murray,75,PF,SF,6'8,225,69,69,72,54,64,67
Jordan Clarkson,75,SG,SF,6'4,194,80,56,70,70,46,41
P.J. Washington,75,PF,C,6'7,230,77,71,70,53,52,51
Victor Oladipo,75,SF,SG,6'4,213,74,55,76,73,63,41
De'Andre Hunter,75,SF,PF,6'8,221,77,61,72,55,61,37
Tyus Jones,75,PG,,6'0,196,84,48,63,73,50,36
Nicolas Batum,75,PF,,6'8,230,77,56,69,59,58,45
Marcus Morris Sr.,75,PF,,6'8,218,79,67,67,46,55,42
Derrick White,75,SG,,6'4,190,81,54,72,78,59,37
Ricky Rubio,74,PG,SG,6'2,190,75,46,61,77,58,42
P.J. Tucker,74,PF,C,6'5,245,76,51,70,52,64,54
Max Strus,74,SF,,6'5,215,81,53,66,58,48,39
Jose Alvarado,74,PG,,6'0,179,74,44,66,67,67,40
Tim Hardaway Jr.,74,SG,SF,6'5,205,77,57,68,64,48,39
JaVale McGee,74,C,,7'0,270,58,58,62,29,59,86
Evan Fournier,74,SG,SF,6'6,205,80,50,64,64,54,33
Precious Achiuwa,74,C,,6'8,225,69,64,74,41,59,68
Derrick Favors,74,C,,6'9,265,65,71,66,41,52,66
Alperen Sengun,74,C,,6'10,243,68,72,58,54,63,66
Daniel Theis,74,C,,6'9,245,66,65,71,44,59,59
Reggie Bullock,74,SF,,6'6,205,81,49,62,56,48,39
Jae Crowder,74,PF,,6'6,235,71,61,74,59,64,47
Eric Gordon,74,SF,,6'3,215,73,56,74,65,54,30
Marvin Bagley III,74,PF,C,6'11,235,61,69,74,47,45,70
Dorian Finney-Smith,74,PF,,6'7,220,75,55,68,48,63,45
Obi Toppin,74,PF,,6'9,220,72,70,71,49,46,56
Kevin Huerter,74,SG,SF,6'7,198,83,50,69,64,49,37
Richaun Holmes,74,C,,6'10,235,68,68,69,40,51,70
Mason Plumlee,74,C,,6'11,254,51,72,64,54,57,72
Joe Ingles,74,SF,,6'8,220,74,51,64,64,60,36
De'Anthony Melton,74,SG,PG,6'2,200,76,57,67,72,71,51
Rui Hachimura,74,PF,,6'8,230,74,71,75,50,46,47
Deni Avdija,74,SF,,6'9,210,70,56,72,63,64,53
Kevon Looney,74,C,,6'9,222,64,63,68,51,55,80
Gary Payton II,74,SG,,6'3,195,75,55,71,63,70,55
Jaden McDaniels,74,PF,,6'9,185,72,58,72,47,65,47
Taurean Prince,74,SF,PF,6'6,218,77,60,73,54,62,43
Kyle Anderson,74,PF,,6'9,230,72,55,63,68,68,59
Dario Saric,74,C,,6'10,225,72,67,65,60,51,58
Devin Vassell,74,SG,SF,6'5,200,80,53,70,60,67,44
Jae'Sean Tate,74,PF,SF,6'4,230,72,67,71,63,59,57
Kevin Porter Jr.,74,SG,,6'4,203,73,59,71,75,51,42
Otto Porter,74,PF,,6'8,198,72,61,66,59,60,63
Chris Boucher,74,PF,C,6'9,200,63,68,69,33,55,71
Alec Burks,74,SF,,6'6,214,72,62,67,67,56,46
Jaden Ivey,74,SG,,6'4,195,74,57,78,76,60,37
Jalen Smith,74,PF,C,6'10,215,69,67,69,32,53,77
Isaiah Jackson,74,C,,6'10,205,65,65,70,40,59,71
Moritz Wagner,74,C,,6'11,245,79,64,72,48,42,57
Thomas Bryant,74,C,,6'10,248,74,70,66,39,51,62
Immanuel Quickley,74,PG,SG,6'3,190,81,56,72,74,47,41
Terence Davis,74,SG,SF,6'4,201,78,57,68,64,61,47
Davion Mitchell,74,PG,SG,6'0,202,72,42,74,78,65,32
Rudy Gay,74,PF,,6'8,250,70,67,72,56,51,59
Cody Martin,74,SF,,6'6,205,71,63,66,60,59,45
Dewayne Dedmon,74,C,,7'0,245,72,59,58,32,59,79
Caleb Martin,74,PF,,6'5,205,72,59,64,52,64,51
Frank Kaminsky III,74,C,,7'0,240,74,70,62,39,47,58
Ziaire Williams,74,SF,PF,6'9,185,72,62,74,54,57,35
Xavier Tillman,74,C,,6'8,245,70,65,62,49,69,60
Reggie Jackson,74,PG,,6'2,208,75,53,74,74,56,37
Cedi Osman,74,SF,,6'7,230,76,56,67,63,58,35
Robin Lopez,74,C,,7'0,281,69,70,56,39,53,59
Ayo Dosunmu,74,SG,,6'4,200,80,55,68,68,55,35
Javonte Green,74,PF,SF,6'5,205,74,59,67,54,61,54
Coby White,74,SG,,6'4,195,77,54,75,71,50,36
Pat Connaughton,74,SG,SF,6'5,209,80,55,72,59,48,45
Joe Harris,73,SF,,6'6,220,77,46,65,58,46,39
Luke Kennard,73,SG,,6'5,206,83,51,64,63,40,36
T.J. McConnell,73,PG,,6'1,190,75,47,68,75,66,43
Hamidou Diallo,73,SF,,6'5,202,68,57,75,65,56,57
Derrick Jones Jr.,73,PF,SF,6'6,210,71,67,74,50,52,56
Kenyon Martin Jr.,73,PF,,6'5,215,73,58,70,57,49,51
Lamar Stevens,73,SF,SG,6'6,230,72,63,74,52,55,48
Corey Kispert,73,SF,,6'6,224,81,49,69,55,55,39
JaMychal Green,73,PF,C,6'8,227,73,65,66,40,53,66
James Wiseman,73,C,,7'0,240,60,67,69,45,57,65
Donte DiVincenzo,73,SG,,6'4,203,69,50,79,69,68,48
Justise Winslow,73,PF,SF,6'6,222,62,55,71,64,67,64
Nassir Little,73,SF,PF,6'5,220,73,59,74,48,59,57
Drew Eubanks,73,C,,6'9,245,69,69,66,37,48,73
Jaylen Nowell,73,SG,,6'4,201,82,52,69,65,45,39
Naz Reid,73,C,,6'9,264,70,71,66,48,54,60
Mike Muscala,73,C,,6'10,240,76,65,57,41,53,52
Aleksej Pokusevski,73,C,,7'0,190,74,61,57,53,54,61
Tre Mann,73,SG,,6'3,178,79,55,67,66,49,38
Kenrich Williams,73,SF,,6'6,210,75,55,67,61,53,55
Darius Bazley,73,PF,,6'8,208,74,63,69,49,51,54
Torrey Craig,73,SF,PF,6'7,221,72,58,55,47,65,54
Cameron Payne,73,PG,,6'1,183,79,48,64,69,44,40
Josh Richardson,73,SF,,6'5,200,72,51,71,61,64,38
Doug McDermott,73,SF,PF,6'7,225,76,63,59,50,43,34
Tre Jones,73,PG,SG,6'1,185,78,41,68,77,56,40
Josh Christopher,73,SG,SF,6'3,215,78,58,72,64,55,44
Khem Birch,73,C,,6'9,233,63,66,71,29,56,66
Willy Hernangomez,73,C,,6'11,250,60,65,58,31,49,84
Devonte Graham,73,PG,,6'1,195,74,49,70,75,50,33
Oshae Brissett,73,PF,C,6'7,210,72,65,69,43,43,61
Bennedict Mathurin,73,SG,SF,6'7,210,73,59,75,65,51,51
Nah'Shon Hyland,73,PG,SG,6'2,169,80,49,67,67,47,41
Zeke Nnaji,73,PF,C,6'9,240,68,70,74,33,47,59
Jeff Green,73,PF,,6'8,235,73,70,68,54,55,39
Ish Smith,73,PG,,6'0,175,70,44,67,79,52,39
Cameron Thomas,73,SF,,6'3,210,76,62,68,54,46,40
Royce O'Neale,73,PF,SF,6'5,226,72,60,64,53,66,44
Chuma Okeke,73,PF,,6'6,229,72,53,67,56,67,49
Terrence Ross,73,SF,SG,6'6,206,78,60,67,62,53,36
Jalen Suggs,73,SG,,6'5,205,70,59,78,76,62,39
Kendrick Nunn,73,PG,,6'2,190,83,53,68,65,47,37
Talen Horton-Tucker,73,SF,,6'4,234,76,55,66,63,57,39
Lonnie Walker IV,73,SG,,6'4,204,76,59,74,63,52,36
Cameron Reddish,73,SF,,6'8,217,71,54,71,55,66,37
Isaiah Hartenstein,73,C,,7'0,250,73,65,65,50,51,66
Alex Len,73,C,,7'0,250,70,67,60,30,53,65
Trey Lyles,73,PF,C,6'9,234,73,68,62,45,47,62
Malik Monk,73,SG,SF,6'3,200,80,56,71,65,52,38
Udoka Azubuike,73,C,,7'0,270,46,58,73,29,53,75
Gabe Vincent,73,PG,SG,6'3,200,84,45,62,67,48,33
Omer Yurtseven,73,C,,6'11,275,64,60,63,43,48,84
Aaron Holiday,73,PG,SG,6'0,185,79,48,66,74,52,38
John Konchar,73,SF,,6'5,210,80,46,64,60,49,62
Terance Mann,73,SG,,6'5,215,79,58,69,66,51,50
Amir Coffey,73,SF,,6'7,210,76,54,66,62,50,38
Payton Pritchard,73,PG,,6'1,195,83,45,64,72,43,42
Raul Neto,73,PG,SG,6'2,180,78,48,67,70,56,34
Tony Bradley,73,C,PF,6'10,248,62,68,59,37,51,70
Goran Dragic,73,PG,,6'3,190,75,52,69,73,56,41
Patrick Williams,73,PF,SF,6'7,215,72,52,69,52,60,48
Serge Ibaka,73,C,,6'10,235,68,65,65,36,57,64
Malik Beasley,72,SG,SF,6'4,187,74,62,72,59,48,37
Danny Green,72,SF,,6'6,215,71,44,61,55,68,39
Taj Gibson,72,C,,6'9,232,67,68,61,31,58,60
Bismack Biyombo,72,C,,6'8,255,52,56,63,35,58,79
Grayson Allen,72,SG,SF,6'4,198,79,52,70,61,52,38
Johnny Davis,72,SF,,6'5,195,72,55,68,62,55,32
Delon Wright,72,SG,,6'5,185,76,50,70,73,60,45
Trendon Watford,72,C,,6'8,237,70,71,70,52,48,61
Eric Paschall,72,PF,C,6'6,255,72,63,70,53,42,44
Jordan McLaughlin,72,PG,SG,5'11,185,77,50,65,73,57,37
Austin Rivers,72,SF,SG,6'4,200,70,51,70,65,56,32
Jeremiah Robinson-Earl,72,C,,6'8,242,71,67,64,52,47,61
Landry Shamet,72,SG,SF,6'4,190,79,48,71,66,43,33
Gorgui Dieng,72,C,,6'10,248,68,59,62,36,55,72
Zach Collins,72,C,,6'11,250,64,64,66,35,54,70
Isaiah Roby,72,C,,6'8,230,72,61,70,44,55,60
Keita Bates-Diop,72,PF,,6'8,229,72,60,67,50,51,60
David Nwaba,72,SF,,6'5,219,57,54,73,49,70,64
Usman Garuba,72,C,PF,6'8,229,59,59,70,53,65,71
Garrison Mathews,72,SF,,6'5,215,77,53,59,56,46,37
Malachi Flynn,72,PG,,6'1,175,80,46,63,67,53,38
Jalen Duren,72,C,,6'11,250,55,59,76,47,53,65
Naji Marshall,72,SF,PF,6'7,220,74,62,64,58,52,54
Trey Murphy,72,SF,PF,6'8,206,71,54,73,50,55,51
Dyson Daniels,72,SG,,6'6,199,69,54,72,77,62,50
Terry Taylor,72,PF,,6'5,230,72,52,70,53,48,67
Goga Bitadze,72,C,,7'0,250,70,64,62,50,48,66
Josh Green,72,SF,,6'5,200,65,52,76,59,58,48
Maxi Kleber,72,C,,6'10,240,63,65,59,50,62,61
R.J. Hampton,72,SG,,6'4,175,71,57,74,72,52,40
Gary Harris,72,SG,SF,6'4,210,75,52,66,60,61,32
Troy Brown Jr.,72,SF,,6'6,215,71,58,67,59,55,52
Wenyen Gabriel,72,PF,,6'9,205,62,58,68,47,53,68
Stanley Johnson,72,PF,,6'6,242,76,49,66,52,59,42
Chimezie Metu,72,PF,C,6'9,225,74,62,63,36,52,58
Simone Fontecchio,72,PF,,6'8,209,75,54,61,49,50,52
Kai Jones,72,PF,C,6'10,221,68,56,65,36,60,67
Mark Williams,72,C,,7'0,240,58,69,70,34,53,59
Jalen McDaniels,72,PF,,6'9,205,71,63,68,51,47,51
Jalen Johnson,72,PF,,6'8,219,66,67,72,54,52,52
AJ Griffin,72,SF,,6'6,220,69,60,77,61,58,45
Moses Brown,72,C,,7'2,245,56,61,56,37,53,79
Dean Wade,72,PF,,6'9,228,74,65,67,40,47,45
Isaac Okoro,72,SG,SF,6'5,225,69,59,73,58,63,38
Danuel House,72,SF,PF,6'6,220,71,62,63,55,50,44
Shake Milton,72,SG,SF,6'5,205,77,53,66,71,46,40
Georges Niang,72,PF,,6'7,230,76,60,60,51,46,38
Furkan Korkmaz,72,SF,,6'7,202,74,57,67,56,47,39
Nerlens Noel,71,C,,6'11,220,52,66,68,34,64,60
Duncan Robinson,71,SG,SF,6'7,215,76,52,59,55,42,35
Thaddeus Young,71,PF,C,6'8,235,58,64,71,61,59,46
Vernon Carey Jr.,71,C,,6'9,270,72,68,64,35,47,59
Moses Moody,71,SF,,6'5,211,69,57,70,55,57,41
Brandon Williams,71,PG,,6'2,190,74,53,70,68,47,39
Shaedon Sharpe,71,SG,SF,6'6,200,74,51,76,60,60,45
Bryn Forbes,71,SG,,6'2,205,82,50,61,49,41,31
Jalen Williams,71,SF,,6'6,195,69,56,74,69,44,30
Ousmane Dieng,71,SF,,6'10,185,68,55,70,64,45,52
Aaron Wiggins,71,SF,SG,6'4,190,76,50,66,57,43,44
Malaki Branham,71,SF,,6'5,180,73,58,70,56,43,39
Jeremy Sochan,71,PF,,6'9,230,64,60,67,58,57,56
Tari Eason,71,PF,,6'8,215,66,54,75,51,59,59
Dalano Banton,71,SF,,6'7,204,67,53,69,67,52,51
Isaiah Livers,71,PF,,6'6,232,75,47,65,56,52,45
Cory Joseph,71,PG,SG,6'3,200,76,43,62,72,56,37
DeAndre Jordan,71,C,,6'11,265,43,52,71,32,55,81
Day'Ron Sharpe,71,C,,6'9,265,48,57,69,46,55,78
Edmond Sumner,71,SG,,6'4,196,76,57,72,59,49,37
Davis Bertans,71,PF,,6'10,225,73,60,59,41,49,42
Damian Jones,71,C,,6'11,245,64,59,70,34,48,62
Juan Toscano,71,SF,PF,6'6,209,72,55,69,60,60,48
Austin Reaves,71,SG,SF,6'5,197,79,47,71,62,54,41
Jericho Sims,71,C,,6'9,250,53,63,73,27,48,73
Quentin Grimes,71,SG,SF,6'4,210,72,54,74,59,58,40
Kent Bazemore,71,SF,,6'4,195,63,56,72,61,62,39
Nickeil Alexander-Walker,71,SG,,6'5,205,73,60,68,68,57,40
Leandro Bolmaro,71,SF,,6'6,200,71,55,58,62,52,52
Walker Kessler,71,C,,7'1,245,67,65,56,35,56,62
J.T. Thor,71,SF,PF,6'9,203,65,62,72,54,55,47
Nick Richards,71,C,,7'0,245,66,57,69,32,52,61
Trent Forrest,71,SG,,6'4,210,73,62,71,66,50,41
Justin Holiday,71,SG,SF,6'6,180,77,55,64,53,60,34
Maurice Harkless,71,PF,SF,6'7,220,70,56,70,48,61,39
Jake LaRavia,71,SF,,6'8,235,71,58,65,59,51,52
Ochai Agbaji,71,SG,SF,6'5,215,71,62,79,59,57,39
Marko Simonovic,71,C,PF,6'11,220,71,66,55,42,43,64
George Hill,71,SG,,6'4,188,72,49,71,67,57,40
Jevon Carter,71,PG,,6'1,200,74,42,69,65,58,37
Thanasis Antetokounmpo,71,PF,,6'6,219,68,62,69,54,46,58
Jordan Nwora,71,PF,,6'8,225,74,58,61,44,46,48
Wesley Matthews,71,SF,SG,6'4,220,68,59,67,59,57,36
Charles Bassey,71,C,,6'9,230,55,54,72,37,55,71
Paul Reed,71,PF,C,6'9,210,69,64,57,39,56,72
Isaiah Todd,70,PF,C,6'9,219,67,63,65,50,46,52
Anthony Gill,70,PF,,6'7,230,71,63,68,42,48,55
Keon Johnson,70,SG,SF,6'4,185,65,50,77,70,59,40
Greg Brown,70,PF,,6'7,206,62,59,70,44,55,57
Nathan Knight,70,C,,6'10,253,59,61,66,43,48,70
Wendell Moore Jr.,70,SF,,6'5,215,67,59,71,53,61,38
Theo Maledon,70,SG,,6'4,175,74,52,65,74,42,41
Duane Washington Jr.,70,SG,PG,6'3,197,73,50,64,61,46,34
Damion Lee,70,SG,,6'5,210,77,56,64,52,49,44
Josh Okogie,70,PF,SF,6'4,213,65,46,73,59,68,45
Blake Wesley,70,SG,,6'5,185,69,60,69,65,51,44
Romeo Langford,70,SF,,6'5,216,68,51,70,57,49,43
Joshua Primo,70,SG,,6'4,189,78,46,65,57,54,39
Boban Marjanovic,70,C,,7'3,290,70,67,42,33,49,68
D.J. Wilson,70,C,,6'10,231,67,62,65,51,49,60
Sviatoslav Mykhailiuk,70,SG,SF,6'7,205,78,51,67,56,42,41
Saben Lee,70,PG,,6'2,183,70,54,65,72,51,44
Killian Hayes,70,SG,,6'5,195,69,52,70,74,59,40
Kira Lewis Jr.,70,PG,,6'1,170,68,46,73,72,48,39
Davon Reed,70,SG,,6'5,206,70,58,63,59,51,45
Peyton Watson,70,SF,,6'8,200,66,52,70,54,56,55
Christian Braun,70,SG,SF,6'6,220,73,50,73,64,51,47
Patrick Mills,70,SG,,6'0,180,76,43,67,69,45,30
Frank Ntilikina,70,SG,,6'4,200,71,45,68,70,60,38
Miles McBride,70,PG,SG,6'1,195,70,53,72,64,52,36
Neemias Queta,70,C,,7'0,248,59,58,64,38,51,69
Jared Butler,70,PG,SG,6'3,193,74,50,70,69,50,38
James Bouknight,70,SG,,6'4,190,70,53,75,64,50,51
Udonis Haslem,70,C,PF,6'8,235,63,59,59,33,54,63
Nikola Jovic,70,PF,,6'10,205,67,54,62,63,46,43
Santi Aldama,70,PF,C,6'11,215,67,64,57,40,50,62
David Roddy,70,PF,,6'6,255,67,58,71,51,53,57
Jason Preston,70,PG,,6'3,181,68,53,71,73,52,49
Mfiondu Kabengele,70,PF,,6'9,250,63,62,70,40,53,51
Luke Kornet,70,C,,7'2,250,65,57,57,41,51,65
Dalen Terry,70,SG,,6'7,195,69,53,69,67,59,50
MarJon Beauchamp,70,SF,PF,6'6,199,68,50,68,51,58,58
Patrick Baldwin Jr.,69,SF,PF,6'9,220,67,59,61,48,46,45
Didi Louzada,69,SF,,6'5,188,65,54,65,55,56,43
Jock Landale,69,C,,6'11,255,66,58,62,47,47,62
Sterling Brown,69,SF,PF,6'5,219,68,56,62,58,49,58
TyTy Washington Jr.,69,SG,,6'3,195,70,48,73,67,54,50
Armoni Brooks,69,SG,,6'3,195,77,48,63,60,47,39
Kevin Knox II,69,SF,PF,6'7,215,59,62,72,54,52,55
Andrew Nembhard,69,SG,SF,6'5,191,73,52,65,70,45,36
Aaron Nesmith,69,SF,,6'5,215,72,51,60,53,47,44
