name,overall,position,secondary_position,height,weight,shot_close,shot_mid,shot_3pt,shot_iq,free_throw,offensive_consistency,driving_layup,standing_dunk,driving_dunk,draw_foul,post_moves,post_hook,post_fade,hands,speed,acceleration,vertical,strength,stamina,hustle,speed_with_ball,ball_handle,passing_accuracy,passing_vision,passing_iq,interior_defense,perimeter_defense,help_defense_iq,lateral_quickness,pass_perception,steal,block,defensive_consistency,offensive_rebound,defensive_rebound,intangibles,potential
Eric Paschall,72,PF,C,6'6,255,76,80,70,99,70,40,65,45,70,60,55,55,55,99,66,65,75,64,80,70,59,72,52,28,57,50,52,50,58,35,27,35,35,42,47,99,79
David Nwaba,72,SF,,6'5,219,47,55,60,99,59,25,68,45,70,49,39,35,33,99,65,67,75,63,80,89,62,60,55,31,39,64,74,77,74,79,61,63,75,57,71,99,76
Trey Murphy,72,SF,PF,6'8,206,65,67,77,99,79,40,65,60,70,26,38,37,39,99,79,79,77,55,80,70,69,45,54,27,59,64,64,64,65,54,36,40,60,49,53,99,80
Danuel House,72,SF,PF,6'6,220,45,69,76,99,71,70,73,75,70,53,42,42,46,99,58,55,70,45,80,70,55,65,64,31,64,47,55,54,65,43,37,56,50,33,55,99,74
Brandon Williams,71,PG,,6'2,190,70,70,66,99,77,65,77,25,45,70,45,25,41,99,74,74,63,57,84,70,72,74,67,60,68,28,57,52,60,47,48,50,40,35,44,99,75
Juan Toscano,71,SF,PF,6'6,209,82,60,70,99,60,65,63,35,83,45,53,25,39,99,63,64,65,57,80,87,59,63,64,61,57,62,62,63,64,55,68,51,55,36,60,99,76
Kent Bazemore,71,SF,,6'4,195,57,47,70,99,63,45,72,30,70,45,65,25,42,99,75,75,77,41,83,84,72,68,70,30,65,40,72,72,74,63,61,50,70,32,47,99,75
J.T. Thor,71,SF,PF,6'9,203,66,65,60,99,69,35,65,50,65,36,63,62,61,99,79,79,77,45,80,75,64,55,60,32,61,60,58,57,59,57,38,73,45,42,53,99,77
Maurice Harkless,71,PF,SF,6'7,220,76,57,68,99,66,55,73,50,77,45,35,35,37,99,67,71,77,55,80,74,56,58,60,25,43,55,71,73,71,59,41,58,65,27,52,99,73
Greg Brown,70,PF,,6'7,206,61,60,63,99,65,25,61,70,75,35,47,47,44,99,73,73,89,35,75,75,60,63,40,30,30,57,57,55,60,48,54,71,40,51,63,99,76
D.J. Wilson,70,C,,6'10,231,70,58,60,99,63,55,65,45,61,55,50,64,60,99,58,59,57,58,78,85,51,64,55,29,60,55,32,61,62,45,35,67,35,43,78,99,74
Sviatoslav Mykhailiuk,70,SG,SF,6'7,205,81,75,68,99,83,65,69,35,50,44,33,37,42,99,77,77,64,49,76,60,70,59,64,32,59,32,50,45,62,49,48,32,25,34,48,99,76
Patrick Mills,70,SG,,6'0,180,49,69,79,99,85,75,74,25,25,45,25,25,32,99,78,78,61,46,77,65,78,81,74,36,79,25,60,56,67,56,33,35,35,25,35,99,77
Didi Louzada,69,SF,,6'5,188,64,62,72,99,68,30,67,30,55,44,34,46,58,99,65,67,72,53,77,60,62,65,63,25,63,40,70,67,71,67,30,50,55,40,46,99,76
Armoni Brooks,69,SG,,6'3,195,71,74,67,99,76,75,64,25,50,60,25,34,31,99,65,65,61,40,75,75,64,71,65,36,64,27,59,55,65,43,41,46,40,32,47,99,72
Kevin Knox II,69,SF,PF,6'7,215,50,50,64,99,60,35,62,60,70,44,63,54,47,99,70,70,75,65,85,68,67,70,54,27,55,52,64,63,67,64,31,40,35,53,58,99,75
Killian Tillie,69,PF,C,6'9,220,57,67,69,99,73,65,52,70,55,45,64,64,63,99,45,45,66,55,75,70,28,55,45,26,55,44,27,45,29,49,68,63,25,43,42,99,72
Quinndary Weatherspoon,68,SG,,6'3,205,52,69,70,99,73,45,65,30,70,50,31,30,39,99,78,78,78,45,75,80,75,69,63,32,59,43,57,55,69,54,70,48,30,32,37,99,75
Feron Hunt,68,PF,,6'8,195,64,61,63,99,52,30,63,60,70,40,42,42,39,99,63,62,73,47,75,70,55,65,45,25,49,55,62,60,64,62,47,60,55,43,47,99,72
Marcus Garrett,68,SG,,6'5,205,61,65,67,99,72,30,70,25,60,35,25,27,29,99,73,73,70,55,80,71,73,74,70,28,65,29,70,65,75,64,54,60,55,59,50,99,75
Chaundee Brown,67,SG,SF,6'5,215,65,69,75,99,65,45,63,25,45,40,43,28,38,99,67,67,67,47,79,70,61,69,55,25,59,40,61,57,64,58,31,25,35,25,60,99,71
