name,overall,position,secondary_position,height,weight,shot_close,shot_mid,shot_3pt,shot_iq,free_throw,offensive_consistency,driving_layup,standing_dunk,driving_dunk,draw_foul,post_moves,post_hook,post_fade,hands,speed,acceleration,vertical,strength,stamina,hustle,speed_with_ball,ball_handle,passing_accuracy,passing_vision,passing_iq,interior_defense,perimeter_defense,help_defense_iq,lateral_quickness,pass_perception,steal,block,defensive_consistency,offensive_rebound,defensive_rebound,intangibles,potential,Rk,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
P.J. Tucker,74,PF,C,6'5,245,88,69,80,99,70,50,50,45,55,31,45,44,43,99,58,58,61,77,83,85,39,60,65,36,64,72,75,69,75,70,38,40,75,48,61,99,78,480,PF,37,PHI,75,75,1920,96,225,0.427,55,140,0.393,41,85,0.482,0.549,19,23,0.826,95,200,295,60,39,15,44,180,266
Tim Hardaway Jr.,74,SG,SF,6'5,205,74,78,72,99,68,75,69,30,73,77,33,31,48,99,63,67,73,50,80,78,63,73,70,38,79,40,65,58,70,53,38,30,35,26,52,99,79,189,SF,30,DAL,71,45,2152,340,847,0.401,212,550,0.385,128,297,0.431,0.527,127,165,0.77,21,230,251,129,49,12,60,120,1019
Marvin Bagley III,74,PF,C,6'11,235,74,55,50,99,60,30,65,70,70,50,67,67,67,99,68,69,81,75,80,75,59,57,42,25,55,55,44,55,42,50,31,48,40,64,77,99,82,19,C,23,DET,42,25,990,202,382,0.529,19,66,0.288,183,316,0.579,0.554,81,108,0.75,94,175,269,36,19,30,46,81,504
Kevin Porter Jr.,74,SG,,6'4,203,59,67,76,99,58,80,74,35,75,74,39,25,57,99,80,80,70,47,83,67,78,77,77,70,77,39,64,59,70,55,44,45,35,32,53,99,80,389,PG,22,HOU,59,59,2024,391,884,0.442,141,385,0.366,250,499,0.501,0.522,207,264,0.784,76,238,314,338,82,17,188,156,1130
T.J. McConnell,73,PG,,6'1,190,86,74,67,99,61,65,72,25,25,35,33,39,53,99,71,71,60,39,80,87,68,74,83,69,81,44,77,65,79,82,61,47,75,36,50,99,78,321,PG,30,IND,75,6,1526,283,521,0.543,26,59,0.441,257,462,0.556,0.568,58,68,0.853,45,189,234,397,81,10,143,105,650
Derrick Jones Jr.,73,PF,SF,6'6,210,65,63,71,99,78,55,74,80,86,61,47,45,47,99,72,71,88,54,78,85,56,63,60,25,49,55,54,55,66,63,37,67,25,57,55,99,75,252,PF,25,CHI,64,0,893,115,230,0.5,27,80,0.338,88,150,0.587,0.559,62,84,0.738,60,93,153,34,29,37,25,86,319
Ish Smith,73,PG,,6'0,175,70,80,66,99,50,60,74,25,25,57,25,25,27,99,82,82,65,27,75,73,82,81,81,71,80,25,69,59,72,47,54,52,45,31,47,99,74,452,PG,34,DEN,43,0,398,52,131,0.397,2,12,0.167,50,119,0.42,0.405,2,4,0.5,5,49,54,100,8,7,44,33,108
Lonnie Walker IV,73,SG,,6'4,204,82,68,69,99,78,65,77,35,70,62,43,43,48,99,86,86,78,59,80,60,72,73,65,46,62,50,69,57,73,60,36,45,30,26,46,99,76,496,SG,24,LAL,56,32,1297,236,527,0.448,91,249,0.365,145,278,0.522,0.534,91,106,0.858,14,95,109,64,30,17,46,71,654
R.J. Hampton,72,SG,,6'4,175,60,66,73,99,54,75,78,35,70,35,45,49,52,99,85,85,78,49,84,65,83,78,70,59,72,44,66,55,72,58,37,40,45,28,52,99,79,188,SGSGSG,63,TOTORLDET,94,6,1500,204,474,0.43,82,232,0.353,122,242,0.504,0.517,114,152,0.75,36,138,174,108,54,18,84,102,604
Troy Brown Jr.,72,SF,,6'6,215,72,64,74,99,66,55,65,25,65,60,49,49,54,99,65,66,64,53,80,75,56,72,70,30,70,43,67,67,73,66,44,30,50,41,63,99,74,68,SF,23,LAL,76,45,1860,200,465,0.43,107,281,0.381,93,184,0.505,0.545,34,39,0.872,62,246,308,95,59,16,49,120,541
Vernon Carey Jr.,71,C,,6'9,270,79,68,58,99,69,60,52,75,65,73,62,64,57,99,44,44,67,78,77,75,32,39,34,25,47,61,31,57,39,47,25,76,40,47,71,99,76,82,C,21,WAS,11,0,28,2,8,0.25,0,0,,2,8,0.25,0.25,2,2,1.0,3,8,11,3,2,2,2,5,6
Wendell Moore Jr.,70,SF,,6'5,215,60,60,68,99,76,40,66,45,75,47,47,47,47,99,65,65,78,53,80,85,63,62,52,39,49,61,67,65,77,67,65,34,55,32,44,99,87,345,SG,21,MIN,29,2,153,18,43,0.419,2,17,0.118,16,26,0.615,0.442,4,5,0.8,4,14,18,18,8,5,8,13,42
Duane Washington Jr.,70,SG,PG,6'3,197,69,71,73,99,79,50,73,40,35,64,39,25,27,99,74,74,67,37,75,60,71,69,61,45,63,42,57,60,65,50,36,27,35,25,43,99,74,499,SG,22,PHO,31,3,394,94,256,0.367,40,111,0.36,54,145,0.372,0.445,16,24,0.667,2,34,36,63,6,4,34,23,244
Joshua Primo,70,SG,,6'4,189,73,77,70,99,70,80,64,35,55,34,29,29,29,99,71,71,66,25,80,80,68,65,59,36,59,39,65,65,72,50,32,55,55,37,42,99,81,398,SG,20,SAS,4,0,93,9,26,0.346,3,12,0.25,6,14,0.429,0.404,7,9,0.778,2,11,13,18,1,2,11,8,28
Kira Lewis Jr.,70,PG,,6'1,170,73,55,63,99,75,45,68,25,40,45,27,25,40,99,87,88,65,44,80,75,77,81,70,65,70,29,62,63,70,60,41,27,35,34,45,99,80,291,PG,21,NOP,25,0,235,40,88,0.455,15,34,0.441,25,54,0.463,0.54,19,22,0.864,5,28,33,23,10,2,10,24,114
Santi Aldama,70,PF,C,6'11,215,60,66,55,99,64,60,61,65,55,40,64,64,64,99,39,39,54,65,75,75,35,37,55,29,45,60,49,58,49,54,30,60,40,63,61,99,76,5,PF,22,MEM,77,20,1682,247,525,0.47,94,266,0.353,153,259,0.591,0.56,108,144,0.75,85,286,371,97,45,48,60,143,696
Patrick Baldwin Jr.,69,SF,PF,6'9,220,65,67,67,99,69,40,69,50,65,47,47,49,47,99,52,52,57,64,80,65,50,53,50,32,55,51,54,50,59,49,35,35,35,39,51,99,88,20,SF,20,GSW,31,0,226,43,109,0.394,32,84,0.381,11,25,0.44,0.541,4,6,0.667,1,39,40,11,6,4,11,14,122
TyTy Washington Jr.,69,SG,,6'3,195,65,72,73,99,70,45,71,25,70,40,25,25,33,99,75,75,74,49,87,80,75,81,63,56,64,50,61,57,71,65,65,35,35,44,57,99,79,501,PG,21,HOU,31,2,433,58,160,0.362,19,80,0.238,39,80,0.488,0.422,10,18,0.556,2,43,45,47,15,2,14,29,145
David Duke Jr.,69,SG,SF,6'4,204,63,68,64,99,74,70,65,35,55,65,34,25,35,99,78,78,67,50,75,40,73,68,57,27,55,35,55,50,65,32,54,52,30,64,48,99,76,135,SG,23,BRK,23,0,228,36,78,0.462,1,12,0.083,35,66,0.53,0.468,12,17,0.706,11,18,29,21,10,1,18,31,85
McKinley Wright IV,69,PG,,5'11,192,64,64,66,99,79,40,69,25,45,40,25,25,27,99,79,79,78,27,75,73,79,70,65,64,61,25,66,65,74,64,58,40,45,35,36,99,74,533,PG,24,DAL,27,1,335,46,98,0.469,9,28,0.321,37,70,0.529,0.515,13,19,0.684,9,38,47,58,8,5,19,24,114
Brandon Boston Jr.,68,SG,,6'6,188,32,69,68,99,79,75,74,25,75,39,25,25,25,99,74,74,75,45,75,70,70,71,59,35,61,44,57,47,67,45,44,50,25,31,52,99,78,50,SF,21,LAC,22,1,248,51,122,0.418,12,29,0.414,39,93,0.419,0.467,29,38,0.763,7,23,30,20,9,0,12,21,143
