name,overall,position,secondary_position,height,weight,shot_close,shot_mid,shot_3pt,shot_iq,free_throw,offensive_consistency,driving_layup,standing_dunk,driving_dunk,draw_foul,post_moves,post_hook,post_fade,hands,speed,acceleration,vertical,strength,stamina,hustle,speed_with_ball,ball_handle,passing_accuracy,passing_vision,passing_iq,interior_defense,perimeter_defense,help_defense_iq,lateral_quickness,pass_perception,steal,block,defensive_consistency,offensive_rebound,defensive_rebound,intangibles,potential
Kenyon Martin Jr.,75,PF,,6'6,215,67,63,78,99,71,89,71,62,77,52,41,41,41,99,80,80,79,59,77,57,66,73,61,30,61,47,64,59,67,41,38,70,37,57,66,99,80
Patrick Mills,75,PG,,6'1,180,81,82,79,99,82,89,73,25,25,47,25,25,34,99,80,80,63,48,79,67,80,83,76,49,81,25,62,58,69,58,37,27,37,27,37,99,77
Xavier Tillman,75,C,PF,6'8,245,80,58,66,99,62,89,71,70,60,61,61,62,61,99,41,39,64,67,77,82,32,56,57,33,63,73,61,75,62,79,51,62,70,56,65,99,79
Otto Porter,74,PF,,6'8,198,64,73,70,99,73,89,65,35,60,47,48,55,57,99,58,57,63,50,76,60,56,67,60,39,60,53,63,56,66,54,31,30,35,41,71,99,78
Kendrick Nunn,74,PG,SG,6'2,190,81,85,78,99,83,89,86,25,72,34,37,39,44,99,72,72,73,52,85,67,66,79,67,54,69,32,59,54,66,54,43,44,42,29,49,99,78
Cameron Reddish,74,SF,,6'8,218,57,71,67,99,77,60,68,45,75,47,42,38,47,99,80,80,79,47,80,60,74,76,63,27,64,50,76,75,76,75,61,46,70,36,49,99,80
Juan Hernangomez,74,PF,PF,6'9,214,64,63,73,99,59,89,67,55,65,37,65,65,63,99,57,57,65,55,75,75,42,59,50,26,57,59,59,57,61,42,32,37,50,46,71,99,76
Juan Toscano,73,PF,,6'6,209,76,60,77,99,64,89,63,35,65,44,53,25,39,99,63,64,65,57,80,83,59,63,64,61,57,62,62,63,64,55,44,56,55,33,70,99,76
James Wiseman,73,C,,7'0,240,71,60,66,99,53,89,61,70,65,55,61,67,54,99,60,60,58,60,77,70,44,40,44,25,54,67,40,68,53,44,25,67,55,50,70,99,86
Dario Saric,73,C,,6'10,225,70,55,68,99,77,89,69,35,60,50,71,64,64,99,53,59,50,55,72,76,47,59,65,31,74,60,39,64,51,40,39,25,55,45,61,99,77
Sviatoslav Mykhailiuk,73,SF,,6'7,205,53,75,70,99,72,89,69,35,50,57,33,37,42,99,77,77,64,49,76,60,70,59,64,44,59,32,50,45,62,49,51,40,25,29,48,99,76
E'Twaun Moore,72,SG,PG,6'3,191,89,65,74,92,67,80,73,25,55,44,47,40,57,79,70,76,78,54,80,82,70,76,75,53,70,43,62,51,69,65,56,51,40,46,47,85,75
Frank Kaminsky III,72,PF,C,7'0,240,75,58,68,99,47,89,68,40,55,58,68,69,69,99,37,43,57,56,79,75,28,44,30,50,40,55,30,53,32,40,27,51,30,43,74,99,76
Nicolas Claxton,72,C,,6'11,215,70,54,57,99,40,89,65,70,65,56,62,62,54,99,53,52,69,61,75,79,34,39,30,25,38,64,54,62,54,34,46,78,45,56,70,99,79
Mohamed Bamba,72,C,,7'0,231,69,58,64,99,57,75,56,75,60,40,59,59,54,99,65,51,65,58,68,65,25,36,25,25,41,67,38,70,54,54,26,76,55,62,79,99,78
DeAndre Bembry,71,SG,,6'5,210,81,50,59,99,64,85,73,40,70,67,55,35,46,99,65,65,67,55,80,70,62,73,70,56,77,47,70,65,69,80,69,53,55,37,54,99,74
Michael Carter-Williams,71,SG,,6'5,190,59,58,61,99,56,85,69,35,55,67,46,45,57,99,69,69,70,33,80,83,68,73,73,67,79,53,70,65,73,80,38,53,65,44,54,99,76
Kevin Knox II,71,SF,PF,6'7,215,52,52,77,99,62,65,64,62,72,46,65,56,49,99,72,72,77,67,82,70,69,72,56,28,57,54,66,65,69,66,38,48,37,33,51,99,75
Wayne Selden Jr.,70,SG,SF,6'5,230,71,74,73,80,70,55,76,50,80,60,57,52,53,69,76,71,75,42,80,60,69,62,57,33,55,60,63,60,70,55,38,42,40,33,53,70,74
Trey Murphy,70,PF,,6'8,206,60,62,69,99,74,70,60,55,65,25,33,32,34,99,74,74,72,50,75,65,64,40,49,25,54,59,59,59,60,49,40,40,55,34,44,99,80
Danuel House,69,SF,PF,6'6,220,40,64,67,99,66,85,68,70,65,48,37,37,41,99,53,50,65,40,75,65,50,60,59,31,59,42,50,49,60,38,27,45,45,25,50,99,74
P.J. Dozier,69,SF,,6'6,205,63,64,67,99,54,75,65,40,65,32,29,34,31,99,73,73,75,30,70,60,67,66,58,32,59,38,64,55,66,50,32,50,40,33,54,99,75
Cameron Thomas,69,SG,,6'5,210,64,65,66,99,77,85,67,40,65,60,35,48,60,99,67,67,69,44,76,55,60,68,49,25,42,31,49,49,65,48,34,25,30,25,27,99,81
J.T. Thor,69,PF,,6'9,203,61,60,59,99,64,65,60,45,60,35,58,57,56,99,74,74,72,40,75,70,59,50,55,52,56,55,53,52,54,52,50,58,40,40,54,99,77
Jason Preston,69,PG,SG,6'3,181,70,70,69,99,52,85,60,30,35,35,47,48,47,99,72,72,65,42,75,75,70,65,74,61,74,30,54,55,63,58,50,27,45,31,57,99,77
Greg Brown,68,SF,PF,6'8,206,69,59,60,99,65,65,70,65,70,50,42,42,39,99,68,68,79,30,70,70,55,58,35,25,25,52,52,50,55,43,32,46,35,39,52,99,76
C.J. Elleby,68,SG,SF,6'6,200,66,65,67,99,71,65,60,35,45,47,40,30,46,99,64,64,67,53,76,63,59,57,45,28,55,43,62,57,66,55,38,48,45,50,50,99,74
Nah'Shon Hyland,68,SG,,6'2,169,60,67,68,99,74,89,66,25,50,60,25,25,25,99,77,77,58,25,78,60,74,69,59,33,56,25,51,50,62,49,51,25,35,25,34,99,79
