name,overall,position,secondary_position,height,weight,shot_close,shot_mid,shot_3pt,shot_iq,free_throw,offensive_consistency,driving_layup,standing_dunk,driving_dunk,draw_foul,post_moves,post_hook,post_fade,hands,speed,acceleration,vertical,strength,stamina,hustle,speed_with_ball,ball_handle,passing_accuracy,passing_vision,passing_iq,interior_defense,perimeter_defense,help_defense_iq,lateral_quickness,pass_perception,steal,block,defensive_consistency,offensive_rebound,defensive_rebound,intangibles,potential
Kezie Okpala,70,SF,,6'10,210,61,59,68,90,61,34,68,79,79,42,38,36,32,74,69,69,77,46,79,74,64,54,59,41,63,53,60,54,71,62,48,51,25,41,51,95,79
Jacob Evans III,70,SG,SF,6'6,210,60,68,65,90,69,44,68,39,59,48,45,51,54,74,74,70,63,62,79,87,65,69,59,47,77,53,67,62,73,69,34,45,54,35,42,95,77
Deyonta Davis,70,C,,7'0,237,76,77,25,90,63,39,66,79,69,34,59,56,54,73,51,48,60,60,74,79,26,56,26,25,25,63,40,73,54,39,34,70,44,62,78,95,74
Miles Plumlee,69,C,,6'11,249,74,52,25,90,50,37,47,77,66,42,61,55,57,59,49,36,76,72,76,87,27,32,29,55,57,70,39,75,41,68,43,57,57,69,59,95,73
Devonte Graham,69,PG,,6'2,185,58,67,67,90,73,57,70,25,57,62,33,27,29,76,71,72,76,31,79,84,71,78,69,69,65,27,64,62,73,65,46,29,37,30,43,95,75
Jemerrio Jones,69,PF,,6'5,201,63,58,61,90,42,25,58,52,57,44,32,46,50,67,68,70,67,62,77,56,67,66,54,35,50,58,49,58,51,50,57,60,32,72,67,95,77
Sviatoslav Mykhailiuk,69,SF,SG,6'8,205,57,56,72,90,57,57,66,37,52,39,35,39,44,71,79,79,66,51,78,62,72,61,66,39,61,34,52,47,64,51,40,27,27,33,37,95,76
Tyler Lydon,69,PF,,6'10,225,65,64,73,90,70,31,60,55,55,30,56,52,54,66,50,55,66,56,71,72,45,60,45,25,47,51,48,56,55,53,30,65,26,46,51,95,74
Melvin Frazier Jr.,69,SG,SF,6'6,200,62,53,69,90,65,29,69,34,64,35,25,27,34,74,85,85,77,36,74,69,70,65,54,34,54,40,66,64,75,64,68,31,44,34,41,95,76
Yante Maten,69,PF,C,6'8,240,64,68,68,90,72,48,58,73,63,43,62,53,40,61,52,52,68,66,73,68,34,45,43,28,54,59,43,62,57,53,25,46,28,40,55,95,73
Thomas Welsh,68,C,,7'0,255,64,72,71,90,77,40,47,65,50,43,57,50,54,70,43,41,65,58,75,65,26,35,47,39,50,55,25,61,26,45,45,63,35,65,65,95,75
