Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
13,Harrison Barnes,PF,30,SAC,7,7,196,25,60,0.417,6,25,0.24,19,35,0.543,0.467,19,26,0.731,10,14,24,5,8,2,3,5,75
14,RJ Barrett,SG,22,NYK,11,11,377,71,164,0.433,20,61,0.328,51,103,0.495,0.494,50,65,0.769,5,44,49,31,9,2,25,25,212
15,Nicolas Batum,PF,34,LAC,5,3,92,8,19,0.421,6,17,0.353,2,2,1.0,0.579,0,0,,1,10,11,6,2,2,2,10,22
16,Malik Beasley,SG,26,LAL,11,0,91,10,34,0.294,7,26,0.269,3,8,0.375,0.397,6,6,1.0,3,5,8,2,1,0,2,6,33
17,MarJon Beauchamp,SF,22,MIL,2,0,5,2,3,0.667,1,1,1.0,1,2,0.5,0.833,0,0,,0,1,1,0,0,0,0,0,5
18,Saddiq Bey,SF,23,ATL,6,0,133,15,40,0.375,7,18,0.389,8,22,0.364,0.462,8,9,0.889,7,17,24,6,3,0,2,3,45
19,Bismack Biyombo,C,30,PHO,8,0,78,9,16,0.562,0,0,,9,16,0.562,0.562,9,18,0.5,10,17,27,6,0,10,6,18,27
20,Bogdan Bogdanovic,SG,30,ATL,6,1,157,30,54,0.556,15,33,0.455,15,21,0.714,0.694,5,7,0.714,2,16,18,15,6,5,3,16,80
21,Devin Booker,SG,26,PHO,11,11,459,141,241,0.585,31,61,0.508,110,180,0.611,0.649,58,67,0.866,12,41,53,79,19,9,32,37,371
22,Brandon Boston Jr.,SF,21,LAC,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,1,0,0
23,Christian Braun,SG,21,DEN,19,0,247,24,45,0.533,2,10,0.2,22,35,0.629,0.556,11,19,0.579,12,27,39,11,11,4,10,29,61
24,Mikal Bridges,SG,26,BRK,4,4,157,33,77,0.429,10,25,0.4,23,52,0.442,0.494,18,23,0.783,2,19,21,16,2,2,8,5,94
25,Malcolm Brogdon,PG,30,BOS,19,0,474,82,196,0.418,33,87,0.379,49,109,0.45,0.503,29,35,0.829,13,53,66,55,3,5,19,29,226
26,Dillon Brooks,SF,27,MEM,6,6,167,24,77,0.312,10,42,0.238,14,35,0.4,0.377,5,7,0.714,3,15,18,11,1,0,7,20,63
27,Bruce Brown,SF,26,DEN,20,0,530,90,176,0.511,18,57,0.316,72,119,0.605,0.562,42,49,0.857,15,65,80,38,21,9,23,49,240
28,Jaylen Brown,SF,26,BOS,20,20,751,181,365,0.496,40,113,0.354,141,252,0.56,0.551,51,74,0.689,25,87,112,68,21,8,66,61,453
29,Troy Brown Jr.,SF,23,LAL,12,0,124,10,28,0.357,2,15,0.133,8,13,0.615,0.393,0,0,,4,20,24,11,2,1,0,4,22
30,Jalen Brunson,PG,26,NYK,11,11,443,109,230,0.474,26,80,0.325,83,150,0.553,0.53,62,68,0.912,9,45,54,62,17,1,23,26,306
31,Thomas Bryant,C,25,DEN,1,0,0,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
32,Jimmy Butler,PF,33,MIA,22,22,874,207,442,0.468,28,78,0.359,179,364,0.492,0.5,150,186,0.806,47,95,142,129,39,14,41,37,592
33,Kentavious Caldwell-Pope,SG,29,DEN,20,20,671,74,162,0.457,35,92,0.38,39,70,0.557,0.565,29,35,0.829,14,51,65,31,26,13,15,48,212
34,Vlatko Cancar,PF,25,DEN,5,0,10,0,5,0.0,0,4,0.0,0,1,0.0,0.0,0,0,,0,3,3,1,0,0,0,0,0
35,Clint Capela,C,28,ATL,6,6,151,23,38,0.605,0,0,,23,38,0.605,0.605,4,6,0.667,15,35,50,3,6,3,4,5,50
36,Jevon Carter,PG,27,MIL,4,0,49,2,9,0.222,1,7,0.143,1,2,0.5,0.278,0,0,,0,4,4,4,1,0,0,1,5
37,Justin Champagnie,SF,21,BOS,4,0,10,1,4,0.25,0,3,0.0,1,1,1.0,0.25,0,0,,0,0,0,0,0,0,0,2,2
38,Max Christie,SG,19,LAL,9,0,33,5,10,0.5,1,4,0.25,4,6,0.667,0.55,2,4,0.5,1,6,7,3,0,1,0,0,13
39,Nic Claxton,C,23,BRK,4,4,117,18,25,0.72,0,0,,18,25,0.72,0.72,6,10,0.6,5,27,32,6,1,7,3,8,42
40,Amir Coffey,SF,25,LAC,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
41,John Collins,PF,25,ATL,6,6,164,26,60,0.433,11,32,0.344,15,28,0.536,0.525,5,6,0.833,7,19,26,5,2,6,9,13,68
42,Mike Conley,PG,35,MIN,5,5,183,20,42,0.476,10,22,0.455,10,20,0.5,0.595,10,11,0.909,2,11,13,32,3,0,7,11,60
43,Pat Connaughton,SF,30,MIL,4,0,88,17,30,0.567,11,23,0.478,6,7,0.857,0.75,3,4,0.75,4,16,20,7,4,1,2,10,48
44,Robert Covington,PF,32,LAC,2,0,12,0,3,0.0,0,2,0.0,0,1,0.0,0.0,0,0,,0,2,2,2,0,1,0,2,0
45,Torrey Craig,PF,32,PHO,11,5,183,26,45,0.578,11,25,0.44,15,20,0.75,0.7,8,9,0.889,7,18,25,6,5,2,3,23,71
46,Jae Crowder,PF,32,MIL,4,0,41,3,13,0.231,0,6,0.0,3,7,0.429,0.231,1,2,0.5,1,3,4,3,2,0,1,5,7
47,Seth Curry,SG,32,BRK,3,0,58,10,19,0.526,3,9,0.333,7,10,0.7,0.605,2,3,0.667,0,3,3,6,0,0,1,2,25
48,Stephen Curry,PG,34,GSW,13,13,493,145,311,0.466,57,157,0.363,88,154,0.571,0.558,49,58,0.845,9,58,67,79,13,6,42,34,396
49,Anthony Davis,C,29,LAL,16,16,608,132,254,0.52,5,15,0.333,127,239,0.531,0.53,92,108,0.852,38,187,225,41,22,50,34,46,361
50,Terence Davis,SG,25,SAC,4,0,58,8,20,0.4,6,17,0.353,2,3,0.667,0.55,2,2,1.0,2,7,9,6,1,0,2,12,24
51,Dewayne Dedmon,C,33,PHI,1,0,5,0,1,0.0,0,1,0.0,0,0,,0.0,0,0,,0,1,1,0,0,0,1,1,0
52,Spencer Dinwiddie,PG,29,BRK,4,4,159,22,51,0.431,7,18,0.389,15,33,0.455,0.5,15,22,0.682,1,12,13,26,5,1,12,7,66
53,Donte DiVincenzo,SG,26,GSW,13,1,235,24,64,0.375,15,44,0.341,9,20,0.45,0.492,8,12,0.667,11,28,39,36,11,3,17,20,71
54,PJ Dozier,SF,26,SAC,3,0,6,3,6,0.5,2,4,0.5,1,2,0.5,0.667,0,0,,1,1,2,0,0,0,0,0,8
55,Goran Dragic,PG,36,MIL,2,0,7,0,2,0.0,0,1,0.0,0,1,0.0,0.0,4,4,1.0,0,0,0,1,0,0,0,0,4
56,David Duke Jr.,SG,23,BRK,1,0,5,1,3,0.333,0,1,0.0,1,2,0.5,0.333,0,0,,0,0,0,0,0,0,1,1,2
57,Kevin Durant,PF,34,PHO,11,11,466,107,224,0.478,17,51,0.333,90,173,0.52,0.516,88,96,0.917,7,89,96,61,9,15,39,29,319
58,Anthony Edwards,SG,21,MIN,5,5,199,55,114,0.482,15,43,0.349,40,71,0.563,0.548,33,39,0.846,3,22,25,26,9,10,8,13,158
59,Kessler Edwards,SF,22,SAC,6,0,7,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,0,0
60,Joel Embiid,C,28,PHI,9,9,336,66,153,0.431,5,28,0.179,61,125,0.488,0.448,76,84,0.905,16,72,88,24,6,25,35,27,213
61,Dorian Finney-Smith,PF,29,BRK,4,4,101,9,23,0.391,7,17,0.412,2,6,0.333,0.543,0,0,,6,12,18,3,3,2,5,7,25
62,De'Aaron Fox,PG,25,SAC,7,7,270,70,165,0.424,21,63,0.333,49,102,0.48,0.488,31,41,0.756,12,26,38,54,15,4,28,23,192
63,Wenyen Gabriel,C,25,LAL,10,0,37,4,10,0.4,0,0,,4,10,0.4,0.4,2,3,0.667,8,1,9,0,2,3,2,8,10
64,Darius Garland,PG,23,CLE,5,5,189,35,80,0.438,12,31,0.387,23,49,0.469,0.512,21,25,0.84,0,9,9,25,8,1,18,17,103
65,Rudy Gobert,C,30,MIN,5,5,177,29,46,0.63,0,0,,29,46,0.63,0.63,17,27,0.63,18,43,61,10,2,5,8,24,75
66,Aaron Gordon,PF,27,DEN,20,20,713,101,195,0.518,18,46,0.391,83,149,0.557,0.564,45,69,0.652,49,71,120,52,11,13,20,58,265
67,Eric Gordon,SG,34,LAC,5,5,149,18,44,0.409,10,29,0.345,8,15,0.533,0.523,5,6,0.833,1,6,7,13,3,2,4,12,51
68,Danny Green,SG,35,CLE,4,0,40,1,5,0.2,1,4,0.25,0,1,0.0,0.3,0,0,,2,5,7,1,2,1,2,7,3
69,Draymond Green,PF,32,GSW,12,9,367,42,91,0.462,5,20,0.25,37,71,0.521,0.489,24,33,0.727,19,64,83,82,18,12,27,48,113
70,JaMychal Green,PF,32,GSW,7,2,49,9,23,0.391,5,18,0.278,4,5,0.8,0.5,0,0,,0,5,5,3,0,1,2,10,23
71,Jeff Green,PF,36,DEN,20,0,343,28,62,0.452,9,28,0.321,19,34,0.559,0.524,17,19,0.895,6,25,31,14,5,7,9,43,82
72,Blake Griffin,C,33,BOS,1,0,6,0,1,0.0,0,0,,0,1,0.0,0.0,0,0,,1,1,2,0,0,0,0,2,0
73,Quentin Grimes,SG,22,NYK,9,6,242,14,46,0.304,9,37,0.243,5,9,0.556,0.402,9,11,0.818,3,22,25,13,9,5,10,17,46
74,Rui Hachimura,PF,24,LAL,16,1,388,73,131,0.557,19,39,0.487,54,92,0.587,0.63,30,34,0.882,9,49,58,10,8,4,10,25,195
75,James Harden,PG,33,PHI,11,11,427,72,183,0.393,31,82,0.378,41,101,0.406,0.478,48,55,0.873,6,62,68,91,20,4,35,28,223
76,Montrezl Harrell,C,29,PHI,2,0,7,0,3,0.0,0,0,,0,3,0.0,0.0,0,0,,0,1,1,0,0,0,0,0,0
77,Joe Harris,SF,31,BRK,4,0,44,2,13,0.154,1,12,0.083,1,1,1.0,0.192,2,2,1.0,0,5,5,0,2,0,3,5,7
78,Tobias Harris,SF,30,PHI,11,11,392,70,134,0.522,15,41,0.366,55,93,0.591,0.578,13,15,0.867,17,63,80,18,7,6,8,28,168
79,Shaquille Harrison,SG,29,LAL,8,0,28,4,7,0.571,1,1,1.0,3,6,0.5,0.643,1,2,0.5,0,3,3,9,2,0,0,3,10
80,Josh Hart,SF,27,NYK,11,5,353,45,94,0.479,10,32,0.312,35,62,0.565,0.532,14,22,0.636,18,63,81,24,9,3,21,38,114
81,Isaiah Hartenstein,C,24,NYK,11,0,220,11,23,0.478,0,0,,11,23,0.478,0.478,12,16,0.75,23,28,51,14,9,15,5,29,34
82,Udonis Haslem,C,42,MIA,2,0,3,0,3,0.0,0,1,0.0,0,2,0.0,0.0,0,0,,0,1,1,0,0,0,0,0,0
83,Sam Hauser,SF,25,BOS,15,0,104,10,29,0.345,8,24,0.333,2,5,0.4,0.483,2,2,1.0,5,12,17,4,1,2,0,8,30
84,Tyler Herro,SG,23,MIA,1,1,19,5,9,0.556,2,4,0.5,3,5,0.6,0.667,0,0,,0,2,2,2,0,1,1,1,12
85,Haywood Highsmith,PF,26,MIA,18,0,161,24,39,0.615,8,16,0.5,16,23,0.696,0.718,4,5,0.8,10,14,24,5,10,2,2,20,60
86,Aaron Holiday,PG,26,ATL,1,0,4,0,0,,0,0,,0,0,,,0,0,,0,0,0,1,0,0,1,0,0
87,Jrue Holiday,PG,32,MIL,5,5,191,34,85,0.4,12,42,0.286,22,43,0.512,0.471,9,13,0.692,4,29,33,40,5,2,12,12,89
88,Al Horford,C,36,BOS,20,20,617,51,132,0.386,28,94,0.298,23,38,0.605,0.492,3,4,0.75,30,113,143,59,22,34,11,47,133
89,Danuel House Jr.,SF,29,PHI,7,0,42,9,21,0.429,1,10,0.1,8,11,0.727,0.452,1,1,1.0,0,12,12,1,0,0,1,4,20
90,Kevin Huerter,SG,24,SAC,7,7,183,25,72,0.347,8,39,0.205,17,33,0.515,0.403,6,8,0.75,1,30,31,8,3,9,4,23,64
91,De'Andre Hunter,SF,25,ATL,6,6,224,39,85,0.459,14,38,0.368,25,47,0.532,0.541,8,10,0.8,7,27,34,7,4,2,9,20,100
92,Bones Hyland,PG,22,LAC,5,0,82,15,44,0.341,5,20,0.25,10,24,0.417,0.398,8,10,0.8,1,3,4,4,4,1,4,9,43
93,Joe Ingles,SF,35,MIL,5,0,89,12,23,0.522,10,20,0.5,2,3,0.667,0.739,0,0,,1,5,6,10,3,1,6,7,34
94,Jaren Jackson Jr.,C,23,MEM,6,6,220,35,83,0.422,7,25,0.28,28,58,0.483,0.464,31,36,0.861,20,27,47,9,6,12,18,24,108
95,Reggie Jackson,PG,32,DEN,6,0,18,1,2,0.5,1,2,0.5,0,0,,0.75,0,0,,0,2,2,2,1,0,1,0,3
96,LeBron James,PF,38,LAL,16,16,619,147,295,0.498,28,106,0.264,119,189,0.63,0.546,70,92,0.761,25,133,158,104,17,18,40,28,392
97,DaQuan Jeffries,SG,25,NYK,2,0,5,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,2,0
98,Cameron Johnson,PF,26,BRK,4,4,152,28,55,0.509,12,28,0.429,16,27,0.593,0.618,6,7,0.857,3,20,23,11,3,1,5,10,74
99,Jalen Johnson,SF,21,ATL,6,0,56,10,24,0.417,4,11,0.364,6,13,0.462,0.5,2,2,1.0,2,13,15,8,3,0,5,5,26
100,Nikola Jokic,C,27,DEN,20,20,789,227,414,0.548,35,76,0.461,192,338,0.568,0.591,111,139,0.799,69,200,269,190,21,20,70,69,600
101,Tyus Jones,PG,26,MEM,6,1,120,11,36,0.306,3,19,0.158,8,17,0.471,0.347,2,3,0.667,3,15,18,22,8,0,8,5,27
102,DeAndre Jordan,C,34,DEN,4,0,14,2,3,0.667,0,0,,2,3,0.667,0.667,1,2,0.5,0,4,4,1,0,1,2,2,5
103,Nikola Jovic,PF,19,MIA,7,0,13,1,4,0.25,0,2,0.0,1,2,0.5,0.25,0,0,,1,4,5,0,0,0,0,0,2
104,Luke Kennard,SG,26,MEM,5,0,107,12,23,0.522,8,16,0.5,4,7,0.571,0.696,4,4,1.0,5,15,20,7,4,0,1,8,36
105,Nathan Knight,C,25,MIN,2,0,5,1,4,0.25,0,2,0.0,1,2,0.5,0.25,0,0,,1,0,1,0,0,0,1,0,2
106,John Konchar,SF,26,MEM,5,0,49,2,9,0.222,0,4,0.0,2,5,0.4,0.222,0,0,,4,6,10,4,2,2,1,6,4
107,Furkan Korkmaz,SG,25,PHI,3,0,11,0,2,0.0,0,1,0.0,0,1,0.0,0.0,2,2,1.0,0,1,1,1,0,0,1,0,2
108,Luke Kornet,C,27,BOS,8,0,32,7,8,0.875,1,1,1.0,6,7,0.857,0.938,2,2,1.0,5,5,10,0,0,1,0,2,17
109,Jonathan Kuminga,PF,20,GSW,10,0,61,13,24,0.542,3,7,0.429,10,17,0.588,0.604,5,9,0.556,4,5,9,5,2,0,4,5,34
110,Anthony Lamb,SF,25,GSW,6,0,31,2,5,0.4,1,4,0.25,1,1,1.0,0.5,0,0,,1,5,6,0,1,1,2,3,5
111,Jock Landale,C,27,PHO,7,1,113,17,27,0.63,0,1,0.0,17,26,0.654,0.63,9,14,0.643,10,18,28,3,3,3,2,15,43
112,Damion Lee,SG,30,PHO,8,0,89,6,20,0.3,3,15,0.2,3,5,0.6,0.375,2,2,1.0,4,7,11,5,2,0,1,8,17
113,Alex Len,C,29,SAC,7,0,54,7,9,0.778,0,0,,7,9,0.778,0.778,5,6,0.833,7,13,20,1,0,3,7,15,19
114,Kawhi Leonard,SF,31,LAC,2,2,80,24,44,0.545,6,10,0.6,18,34,0.529,0.614,15,17,0.882,3,10,13,12,4,1,6,5,69
115,Meyers Leonard,C,30,MIL,2,0,5,0,1,0.0,0,0,,0,1,0.0,0.0,0,0,,0,1,1,0,0,0,0,0,0
116,Caris LeVert,SG,28,CLE,5,3,170,27,63,0.429,13,36,0.361,14,27,0.519,0.532,8,13,0.615,4,19,23,13,2,1,5,10,75
117,Kenneth Lofton Jr.,PF,20,MEM,4,0,12,3,8,0.375,0,2,0.0,3,6,0.5,0.375,1,2,0.5,1,2,3,1,0,0,0,0,7
118,Kevon Looney,C,26,GSW,13,8,325,37,64,0.578,0,0,,37,64,0.578,0.578,10,18,0.556,61,109,170,43,8,5,13,36,84
119,Brook Lopez,C,34,MIL,5,5,182,39,67,0.582,7,17,0.412,32,50,0.64,0.634,10,13,0.769,14,18,32,6,7,9,11,10,95
120,Robin Lopez,C,34,CLE,2,0,6,3,3,1.0,0,0,,3,3,1.0,1.0,2,2,1.0,1,0,1,0,0,0,1,2,8
121,Kevin Love,PF,34,MIA,20,18,359,45,119,0.378,33,88,0.375,12,31,0.387,0.517,14,16,0.875,14,97,111,24,9,7,10,35,137
122,Kyle Lowry,PG,36,MIA,23,1,599,74,174,0.425,33,88,0.375,41,86,0.477,0.52,31,33,0.939,12,69,81,101,24,14,40,59,212
123,Trey Lyles,PF,27,SAC,7,0,118,17,40,0.425,9,27,0.333,8,13,0.615,0.538,3,5,0.6,9,31,40,5,2,0,3,12,46
124,Terance Mann,SG,26,LAC,5,0,133,19,33,0.576,9,19,0.474,10,14,0.714,0.712,6,9,0.667,7,9,16,11,4,1,9,17,53
125,Caleb Martin,SF,27,MIA,23,4,694,109,206,0.529,44,104,0.423,65,102,0.637,0.636,29,35,0.829,27,98,125,36,20,9,24,55,291
126,Wesley Matthews,SF,36,MIL,2,0,41,4,9,0.444,4,7,0.571,0,2,0.0,0.667,0,0,,1,2,3,1,2,1,0,3,12
127,Tyrese Maxey,SG,22,PHI,11,11,423,82,192,0.427,34,85,0.4,48,107,0.449,0.516,28,31,0.903,9,44,53,25,15,5,8,26,226
128,Miles McBride,PG,22,NYK,8,0,20,1,4,0.25,1,3,0.333,0,1,0.0,0.375,0,0,,0,2,2,1,0,1,0,1,3
129,Jalen McDaniels,SF,25,PHI,8,0,102,8,20,0.4,3,9,0.333,5,11,0.455,0.475,0,0,,3,13,16,5,1,0,3,8,19
130,Jordan McLaughlin,PG,26,MIN,2,0,14,0,4,0.0,0,2,0.0,0,2,0.0,0.0,0,0,,0,2,2,2,0,0,0,2,0
131,De'Anthony Melton,SG,24,PHI,11,0,274,31,81,0.383,19,49,0.388,12,32,0.375,0.5,6,8,0.75,14,22,36,18,13,9,8,20,87
132,Chimezie Metu,PF,25,SAC,3,0,6,0,1,0.0,0,0,,0,1,0.0,0.0,2,3,0.667,1,0,1,0,0,0,1,0,2
133,Khris Middleton,SF,31,MIL,5,5,173,40,86,0.465,13,32,0.406,27,54,0.5,0.541,26,30,0.867,7,25,32,31,3,0,17,15,119
134,Patty Mills,PG,34,BRK,1,0,5,0,2,0.0,0,2,0.0,0,0,,0.0,0,0,,0,0,0,0,0,0,0,1,0
135,Shake Milton,SG,26,PHI,6,0,21,3,5,0.6,0,1,0.0,3,4,0.75,0.6,2,2,1.0,0,3,3,2,2,0,1,3,8
136,Josh Minott,SF,20,MIN,1,0,6,0,1,0.0,0,1,0.0,0,0,,0.0,0,0,,0,0,0,0,2,1,1,1,0
137,Davion Mitchell,PG,24,SAC,7,0,140,19,46,0.413,7,27,0.259,12,19,0.632,0.489,5,6,0.833,3,6,9,12,6,1,6,7,50
138,Donovan Mitchell,SG,26,CLE,5,5,207,45,104,0.433,13,45,0.289,32,59,0.542,0.495,13,18,0.722,3,22,25,36,10,3,19,14,116
139,Evan Mobley,PF,21,CLE,5,5,188,22,48,0.458,0,1,0.0,22,47,0.468,0.458,5,8,0.625,15,35,50,10,3,6,12,13,49
140,Malik Monk,SG,24,SAC,7,0,205,38,93,0.409,13,39,0.333,25,54,0.463,0.478,44,49,0.898,6,32,38,25,5,3,14,15,133
141,Moses Moody,SG,20,GSW,12,0,161,23,43,0.535,13,22,0.591,10,21,0.476,0.686,11,12,0.917,7,24,31,8,5,4,2,18,70
142,Wendell Moore Jr.,SG,21,MIN,1,0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,1,0,0
143,Ja Morant,PG,23,MEM,5,5,187,45,106,0.425,13,31,0.419,32,75,0.427,0.486,20,26,0.769,8,26,34,35,9,1,17,12,123
144,Marcus Morris,PF,33,LAC,3,2,68,10,29,0.345,2,12,0.167,8,17,0.471,0.379,4,4,1.0,1,11,12,0,1,1,1,6,26
145,Dejounte Murray,SG,26,ATL,5,5,190,46,103,0.447,14,37,0.378,32,66,0.485,0.515,9,9,1.0,9,27,36,34,10,1,10,7,115
146,Jamal Murray,PG,25,DEN,20,20,799,194,410,0.473,59,149,0.396,135,261,0.517,0.545,75,81,0.926,15,98,113,142,30,5,50,41,522
147,Keegan Murray,SF,22,SAC,7,7,194,26,58,0.448,12,32,0.375,14,26,0.538,0.552,4,6,0.667,15,29,44,5,4,2,4,18,68
148,Mike Muscala,C,31,BOS,6,0,21,2,4,0.5,2,4,0.5,0,0,,0.75,3,4,0.75,3,1,4,1,0,0,1,1,9
149,Raul Neto,PG,30,CLE,2,0,7,0,1,0.0,0,1,0.0,0,0,,0.0,1,2,0.5,0,0,0,1,0,0,2,2,1
150,Georges Niang,PF,29,PHI,11,0,157,18,36,0.5,12,26,0.462,6,10,0.6,0.667,0,0,,0,4,4,2,0,2,5,16,48
151,Zeke Nnaji,PF,22,DEN,5,0,12,2,4,0.5,1,3,0.333,1,1,1.0,0.625,0,0,,0,2,2,0,1,0,1,0,5
152,Jaylen Nowell,SG,23,MIN,5,0,62,6,26,0.231,3,9,0.333,3,17,0.176,0.288,1,2,0.5,4,1,5,3,0,0,2,4,16
153,Royce O'Neale,SF,29,BRK,4,0,118,7,29,0.241,4,22,0.182,3,7,0.429,0.31,2,2,1.0,4,13,17,14,5,1,4,11,20
154,Josh Okogie,SG,24,PHO,10,5,175,14,37,0.378,2,14,0.143,12,23,0.522,0.405,11,13,0.846,12,9,21,13,6,2,3,18,41
155,Onyeka Okongwu,C,22,ATL,6,0,131,15,25,0.6,1,1,1.0,14,24,0.583,0.62,5,10,0.5,19,19,38,7,2,8,7,18,36
156,Isaac Okoro,SF,22,CLE,5,2,75,11,23,0.478,4,13,0.308,7,10,0.7,0.565,6,6,1.0,3,4,7,4,2,2,4,10,32
157,Victor Oladipo,SG,30,MIA,2,0,45,10,19,0.526,2,5,0.4,8,14,0.571,0.579,1,3,0.333,1,6,7,2,2,1,2,5,23
158,Cedi Osman,SF,27,CLE,5,0,93,9,25,0.36,6,20,0.3,3,5,0.6,0.48,6,9,0.667,1,14,15,5,2,1,5,12,30
159,Chris Paul,PG,37,PHO,7,7,250,38,91,0.418,9,28,0.321,29,63,0.46,0.467,2,4,0.5,5,30,35,52,12,5,7,16,87
160,Cameron Payne,PG,28,PHO,7,4,152,23,48,0.479,11,27,0.407,12,21,0.571,0.594,0,3,0.0,0,14,14,20,3,2,9,15,57
161,Gary Payton II,SG,30,GSW,12,3,192,36,54,0.667,4,15,0.267,32,39,0.821,0.704,6,9,0.667,22,22,44,9,8,6,11,19,82
162,Mason Plumlee,C,32,LAC,5,0,91,14,16,0.875,0,0,,14,16,0.875,0.875,13,14,0.929,16,18,34,9,2,2,3,15,41
163,Jordan Poole,PG,23,GSW,13,4,284,46,135,0.341,16,63,0.254,30,72,0.417,0.4,26,34,0.765,4,24,28,46,10,3,15,32,134
164,Michael Porter Jr.,SF,24,DEN,20,20,654,99,234,0.423,46,131,0.351,53,103,0.515,0.521,23,29,0.793,20,142,162,31,10,11,9,42,267
165,Bobby Portis,PF,27,MIL,5,2,107,20,41,0.488,5,18,0.278,15,23,0.652,0.549,3,3,1.0,10,31,41,6,3,2,4,15,48
166,Norman Powell,SG,29,LAC,5,3,167,36,76,0.474,13,32,0.406,23,44,0.523,0.559,24,31,0.774,4,11,15,11,4,2,8,16,109
167,Jason Preston,PG,23,LAC,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
168,Taurean Prince,PF,28,MIN,5,1,100,12,33,0.364,8,21,0.381,4,12,0.333,0.485,7,9,0.778,3,4,7,4,3,1,5,9,39
169,Payton Pritchard,PG,25,BOS,10,0,57,12,22,0.545,4,10,0.4,8,12,0.667,0.636,4,5,0.8,0,6,6,11,1,0,5,3,32
170,Immanuel Quickley,SG,23,NYK,8,0,175,23,66,0.348,9,37,0.243,14,29,0.483,0.417,17,20,0.85,2,11,13,8,4,0,9,11,72
171,Julius Randle,PF,28,NYK,10,10,330,55,147,0.374,17,66,0.258,38,81,0.469,0.432,39,55,0.709,17,66,83,36,5,3,35,24,166
172,Austin Reaves,SG,24,LAL,16,16,579,90,194,0.464,39,88,0.443,51,106,0.481,0.564,51,57,0.895,20,51,71,73,10,3,25,39,270
173,Paul Reed,C,23,PHI,11,2,157,22,38,0.579,0,0,,22,38,0.579,0.579,7,7,1.0,27,33,60,7,6,4,6,15,51
174,Austin Rivers,SG,30,MIN,4,0,46,4,8,0.5,2,6,0.333,2,2,1.0,0.625,0,0,,1,4,5,1,1,0,1,1,10
175,Duncan Robinson,SF,28,MIA,23,1,418,75,158,0.475,50,113,0.442,25,45,0.556,0.633,7,8,0.875,1,33,34,39,8,3,20,36,207
176,Mitchell Robinson,C,24,NYK,11,11,298,29,48,0.604,0,0,,29,48,0.604,0.604,13,33,0.394,55,47,102,9,7,16,10,29,71
177,David Roddy,PF,21,MEM,6,0,76,8,29,0.276,6,20,0.3,2,9,0.222,0.379,1,1,1.0,4,13,17,4,0,2,1,6,23
