Player,Rating
Nerlens Noel,76
Hamidou Diallo,76
Precious Achiuwa,76
Chris Boucher,76
Otto Porter,76
Devin Vassell,76
Josh Richardson,76
Jae Crowder,76
Cameron Payne,76
Dario Saric,76
Darius Bazley,76
Kyle Anderson,76
Taurean Prince,76
Nassir Little,76
JaMychal Green,76
Deni Avdija,76
Rui Hachimura,76
Grayson Allen,75
Serge Ibaka,75
Patrick Williams,75
Isaac Okoro,75
Robin Lopez,75
Lamar Stevens,75
Cedi Osman,75
Raul Neto,75
Amir Coffey,75
Terance Mann,75
Xavier Tillman,75
John Konchar,75
Aaron Holiday,75
Omer Yurtseven,75
Gabe Vincent,75
Dewayne Dedmon,75
Mason Plumlee,75
Cody Martin,75
Rudy Gay,75
Malik Beasley,75
Richaun Holmes,75
Trey Lyles,75
Chimezie Metu,75
Lonnie Walker,75
Jalen Suggs,75
Terrence Ross,75
Chuma Okeke,75
Moritz Wagner,75
Reggie Bullock,75
Maxi Kleber,75
Edmond Sumner,75
Ishmael Smith,75
Daniel Theis,75
Goga Bitadze,75
Oshae Brissett,75
TJ McConnell,75
Devonte Graham,75
Trey Murphy,75
Khem Birch,75
Eric Gordon,75
KJ Martin,75
Josh Christopher,75
Isaiah Roby,75
Derrick Favors,75
Kenrich Williams,75
Tre Mann,75
Aleksej Pokusevski,75
Mike Muscala,75
Naz Reid,75
Jaden McDaniels,75
Jaylen Nowell,75
Jordan McLaughlin,75
Eric Paschall,75
Drew Eubanks,75
Justise Winslow,75
Kevon Looney,75
Donte DiVincenzo,75
James Wiseman,75
Corey Kispert,75
Delon Wright,75
Shake Milton,74
Goran Dragic,74
Tony Bradley,74
Derrick Jones,74
Ziaire Williams,74
Frank Kaminsky,74
Duncan Robinson,74
Talen Horton-Tucker,74
Jared Butler,74
Alex Len,74
Isaiah Hartenstein,74
Cam Reddish,74
Austin Reaves,74
Kendrick Nunn,74
Gary Harris,74
Royce O'Neale,74
Cam Thomas,74
Bennedict Mathurin,74
Terry Taylor,74
Willy Hernangomez,74
Saben Lee,74
Thaddeus Young,74
David Nwaba,74
Tre Jones,74
Doug McDermott,74
Keita Bates-Diop,74
Zach Collins,74
Gorgui Dieng,74
Torrey Craig,74
Trendon Watford,74
Taj Gibson,74
Johnny Davis,74
Furkan Korkmaz,73
Georges Niang,73
Paul Reed,73
Charles Bassey,73
George Hill,73
Dean Wade,73
Danny Green,73
Jalen Johnson,73
Chris Silva,73
Nick Richards,73
Jalen McDaniels,73
Ochai Agbaji,73
Davis Bertans,73
Josh Green,73
Day'Ron Sharpe,73
Dyson Daniels,73
Naji Marshall,73
Jalen Duren,73
Cory Joseph,73
Garrison Mathews,73
Usman Garuba,73
Boban Marjanovic,73
Marquese Chriss,73
Jeremy Sochan,73
Landry Shamet,73
Damion Lee,73
Jeremiah Robinson-Earl,73
Aaron Wiggins,73
Bryn Forbes,73
Austin Rivers,73
Brandon Williams,73
Moses Moody,73
Vernon Carey,73
Danuel House,72
Wesley Matthews,72
Thanasis Antetokounmpo,72
Jevon Carter,72
BJ Boston,72
Moses Brown,72
David Roddy,72
Justin Holiday,72
AJ Griffin,72
Mark Williams,72
James Bouknight,72
Kai Jones,72
Stanley Johnson,72
Nickeil Alexander-Walker,72
Simone Fontecchio,72
Quentin Grimes,72
Juan Toscano-Anderson,72
Troy Brown,72
Damian Jones,72
RJ Hampton,72
Frank Ntilikina,72
Patrick Mills,72
Markieff Morris,72
Yuta Watanabe,72
David Duke,72
DeAndre Jordan,72
Davon Reed,72
Kira Lewis,72
Isaiah Livers,72
Dalano Banton,72
Juan Hernangomez,72
Josh Jackson,72
Tari Eason,72
Josh Primo,72
Malaki Branham,72
Alize Johnson,72
Bismack Biyombo,72
Duane Washington Jr,72
Ty Jerome,72
Theo Maledon,72
Ousmane Dieng,72
Jalen Williams,72
CJ Elleby,72
Greg Brown,72
Shaedon Sharpe,72
Anthony Gill,72
MarJon Beauchamp,71
Luca Vildoza,71
Sandro Mamukelashvili,71
Dalen Terry,71
Dylan Windler,71
Sam Hauser,71
Jake LaRavia,71
Moe Harkless,71
Nikola Jovic,71
Walker Kessler,71
Leandro Bolmaro,71
Sam Merrill,71
Miles McBride,71
Jericho Sims,71
Wenyen Gabriel,71
Bol Bol,71
Kessler Edwards,71
Christian Braun,71
Vlatko Cancar,71
Aaron Nesmith,71
Killian Hayes,71
Kevin Knox,71
Rodney McGruder,71
Armoni Brooks,71
DJ Wilson,71
TyTy Washington,71
Trey Burke,71
Blake Wesley,71
Josh Okogie,71
Lindy Waters III,71
Wendell Moore,71
Nathan Knight,71
Luka Garza,71
Keon Johnson,71
Jaden Springer,70
Marko Simonovic,70
Luke Kornet,70
Mfiondu Kabengele,70
Jason Preston,70
Santiago Aldama,70
Kennedy Chandler,70
Udonis Haslem,70
JT Thor,70
Bryce McGowens,70
Neemias Queta,70
Max Christie,70
Caleb Houstan,70
Jaden Hardy,70
Peyton Watson,70
Andrew Nembhard,70
Garrett Temple,70
Justin Champagnie,70
Christian Koloko,70
Sterling Brown,70
Romeo Langford,70
Joe Wieskamp,70
Jock Landale,70
Ishmail Wainright,70
Jaylin Williams,70
Vit Krejci,70
Devontae Cacok,70
Patrick Baldwin,70
Isaiah Todd,70
Isaiah Joe,69
Lindell Wigginton,69
Isaiah Mobley,69
JD Davison,69
Moussa Diabate,69
Killian Tillie,69
Vince Williams Jr,69
Kenneth Lofton,69
Admiral Schofield,69
Julian Champagnie,68
Haywood Highsmith,68
Marcus Garrett,68
Johnny Juzang,68
Xavier Sneed,68
Keon Ellis,68
Trevor Keels,68
Scottie Pippen Jr,68
Theo Pinson,68
McKinley Wright,68
Alondes Williams,68
Collin Gillespie,68
Buddy Boeheim,68
Ron Harper Jr,68
Trevor Hudgins,68
Eugene Omoruyi,68
Josh Minott,68
Jabari Walker,68
Didi Louzada,68
Ryan Rollins,68
Quinndary Weatherspoon,68
Trevelin Queen,67
AJ Green,67
Carlik Jones,67
Justin Lewis,67
RJ Nembhard,67
Xavier Moon,67
Chaundee Brown,67
Darius Days,67
Feron Hunt,67
Jay Huff,67
Cole Swider,67
Devin Cannady,67
Kevon Harris,67
Justin Tillman,67
Jack White,67
Braxton Key,67
Jeff Dowtin,67
Daishen Nix,67
Jordan Hall,67
AJ Lawson,67
Olivier Sarr,67
Mac McClung,67
Lester Quinones,67
Jordan Schakel,67
Tyler Hall,66
Dominick Barlow,66
