Player,Rating
Travis Outlaw,69
Charlie Villanueva,69
Perry Jones,69
Chuck Hayes,69
Glen Rice Jr,69
Russ Smith,69
Pero Antic,69
Henry Sims,69
Alexis Ajinca,68
Lavoy Allen,68
Aron Baynes,68
Dante Cunningham,68
Matthew Dellavedova,68
Jerami Grant,68
Joe Harris,68
John Jenkins,68
Tyler Johnson,68
Alex Len,68
Meyers Leonard,68
E'Twaun Moore,68
Mike Muscala,68
Quincy Pondexter,68
Otto Porter,68
Andre Roberson,68
Ishmael Smith,68
Garrett Temple,68
James Young,68
Darius Miller,68
Arnett Moultrie,68
Carrick Felix,68
Quincy Miller,68
Joel Freeland,68
Christapher Johnson,68
Ronny Turiaf,68
Markel Brown,68
Robbie Hummel,68
Mitch McGary,68
Devyn Marble,68
Erick Green,68
Furkan Aldemir,68
Quincy Acy,67
Cole Aldrich,67
Kyle Anderson,67
Leandro Barbosa,67
Clint Capela,67
Ian Clark,67
Allen Crabbe,67
Festus Ezeli,67
James Michael McAdoo,67
Shabazz Muhammad,67
Lucas Nogueira,67
Dwight Powell,67
Glenn Robinson III,67
CJ Wilcox,67
Nemanja Nedovic,67
Ognjen Kuzmic,67
Jannero Pargo,67
Ricky Ledo,67
Austin Daye,67
Louis Amundson,67
Jarvis Varnado,67
Robert Sacre,67
Aaron Gray,67
Ryan Hollins,67
Gal Mekel,67
Gigi Datome,67
Johnny O'Bryant,67
Jeff Ayres,67
Miroslav Raduljica,67
Jeremy Tyler,67
Josh Powell,67
Luke Babbitt,66
Dwight Buycks,66
Dewayne Dedmon,66
Solomon Hill,66
Lance Thomas,66
Reggie Williams,66
Victor Claver,66
Sergey Karasev,66
Joel Anthony,66
Malcolm Thomas,66
Cory Jefferson,66
Seth Curry,65
Eric Moreland,65
Brendan Haywood,65
Donald Sloan,65
Brandon Davies,65
Shayne Whittington,65
Hasheem Thabeet,65
Bruno Caboclo,64
Justin Holiday,64
JaKarr Sampson,64
Shavlik Randolph,64
Hassan Whiteside,59
