Player,Rating
Steve Blake,68
Chuck Hayes,68
Phil Pressey,68
Cleanthony Early,68
Lamar Patterson,68
Michael Beasley,67
Reggie Bullock,67
Pat Connaughton,67
Allen Crabbe,67
Seth Curry,67
Troy Daniels,67
Tyler Ennis,67
JaMychal Green,67
Joe Harris,67
Richaun Holmes,67
RJ Hunter,67
John Jenkins,67
Jarell Martin,67
James Michael McAdoo,67
Chris McCullough,67
Glenn Robinson III,67
CJ Wilcox,67
Alan Williams,67
Christian Wood,67
Maurice Ndour,67
Jimmer Fredette,67
Martell Webster,67
Chris Copeland,67
Russ Smith,67
Devyn Marble,67
Shayne Whittington,67
Ian Clark,66
Cristiano Felicio,66
Aaron Harrison,66
Steve Novak,66
Josh Richardson,66
Elliot Williams,66
Quincy Miller,66
Christapher Johnson,66
Joel Anthony,66
Ryan Kelly,66
Branden Dawson,66
Bruno Caboclo,65
Rakeem Christmas,65
Jarell Eddie,65
Gary Harris,65
Josh Huestis,65
Luis Montero,65
Eric Moreland,65
Brandon Rush,65
Walter Tavares,65
Erick Green,65
Chris Babb,65
Johnny O'Bryant,64
Duje Dukan,63
Sean Kilpatrick,62
